Idx	IdName	Description	Unknown	Category
8	CerebellarVol	Total cerebellar volume	0	NEUROLOGICAL
286	Thyroid	Hypothyroidism	1	GLYCEMIC
287	SmokingFGint	Smoking-fasting glucose interaction	0	GLYCEMIC
288	SmokingFGjoint	Smoking-fasting glucose interaction, joint 2-degree-of-freedom test	0	GLYCEMIC
289	SmokingFGmain	Smoking-fasting glucose interaction, main effect model	0	GLYCEMIC
290	SmokingT2Dint	Smoking-T2D interaction	0	GLYCEMIC
291	SmokingT2Djoint	Smoking-T2D interaction, joint 2-degree-of-freedom test	0	GLYCEMIC
292	SmokingT2Dmain	Smoking-T2D interaction, main effect model	0	GLYCEMIC
293	AllergicRhinitis	Allergic rhinitis	1	IMMUNOLOGICAL
294	Asthma	Asthma	1	LUNG
295	Cancer	Any cancer	1	CANCER
296	Dermatophytosis	Dermatophytosis	1	OTHER
297	Dyslipid	Dyslipidemia	1	LIPIDS
298	Hemorrhoids	Hemorrhoids	1	DIGESTIVE
299	HerniaAbdomin	Hernia abdominopelvic cavity	1	MUSCULOSKELETAL
300	IBS	Irritable bowel syndrome (IBS)	1	DIGESTIVE
301	IronDef	Iron deficiency	1	NUTRITIONAL
302	Osteoporosis	EHR-defined osteoporosis	1	MUSCULOSKELETAL
303	PVD	Peripheral vascular disease	1	CARDIOVASCULAR
305	Psychiatric	Psychiatric disorders	1	PSYCHIATRIC
306	Stress	Acute reaction to stress	1	PSYCHIATRIC
307	VaricoseVeins	Varicose veins	1	CARDIOVASCULAR
308	SCOOPvSTILTS	Obese vs thin	1	ANTHROPOMETRIC
309	SCOOPvUKHLS	Obese vs controls	1	ANTHROPOMETRIC
310	STILTSvUKHLS	Controls vs thin	1	ANTHROPOMETRIC
311	AFR	Arm fat ratio	0	ANTHROPOMETRIC
312	LFR	Leg fat ratio	0	ANTHROPOMETRIC
313	TFR	Trunk fat ratio	0	ANTHROPOMETRIC
314	RA	Low relative amplitude cases vs controls	1	SLEEP AND CIRCADIAN
315	RAQT	Relative amplitude	0	SLEEP AND CIRCADIAN
316	Snoring	Snoring	1	SLEEP AND CIRCADIAN
317	SnoringAdjBMI	Snoring adj BMI	1	SLEEP AND CIRCADIAN
318	EaseOfWakingUp	Ease of waking up	0	SLEEP AND CIRCADIAN
319	mRS012v3456	Modified Rankin scale score 0-2 vs 3-6	1	STROKE
320	mRS012v3456AdjSever	Modified Rankin scale score 0-2 vs 3-6 adj stroke severity	1	STROKE
321	mRS01v23456	Modified Rankin scale score 0-1 vs 2-6	1	STROKE
322	mRS01v23456AdjSever	Modified Rankin scale score 0-1 vs 2-6 adj stroke severity	1	STROKE
323	mRSOrdinal	Modified Rankin scale score	0	STROKE
324	mRSOrdinalAdjSever	Modified Rankin scale score adj stroke severity	0	STROKE
325	IPF	Idiopathic pulmonary fibrosis	1	LUNG
326	ALBUMIN	Urinary albumin	0	RENAL
329	LDL_CALCULATED	Calculated LDL cholesterol	0	LIPIDS
331	AnyCVD	Any cardiovascular disease (CVD)	1	CARDIOVASCULAR
334	ChildSleepDurationAdjBMI	Sleep duration in children adj BMI	0	SLEEP AND CIRCADIAN
335	ClaudicationinT2D	Claudication in type 2 diabetes	1	DIABETIC COMPLICATIONS
336	DiabeticNephro	Diabetic nephropathy	1	DIABETIC COMPLICATIONS
337	DiabeticRetino	Diabetic retinopathy	1	DIABETIC COMPLICATIONS
338	DRvNoDR	Diabetic retinopathy (DR) vs no DR	1	DIABETIC COMPLICATIONS
339	DRvNoDRwDoD	Diabetic retinopathy (DR) vs no DR acct DoD-GC	1	DIABETIC COMPLICATIONS
340	FGovertime	Fasting glucose change over time	0	GLYCEMIC
341	HIPKNEEOA	Knee and-or hip osteoarthritis	1	MUSCULOSKELETAL
342	HIPOA	Hip osteoarthritis	1	MUSCULOSKELETAL
343	HYPERTENSION	Hypertension	1	CARDIOVASCULAR
344	HypertensioninT2D	Hypertension in type 2 diabetes	1	DIABETIC COMPLICATIONS
345	KNEEOA	Knee osteoarthritis	1	MUSCULOSKELETAL
346	LVEDV	Left ventricular end-diastolic volume	0	CARDIOVASCULAR
347	LVEDVI	Left ventricular end-diastolic volume (BSA-indexed)	0	CARDIOVASCULAR
348	LVEF	Left ventricular ejection fraction	0	CARDIOVASCULAR
349	LVESV	Left ventricular end-systolic volume	0	CARDIOVASCULAR
350	LVESVI	Left ventricular end-systolic volume (BSA-indexed)	0	CARDIOVASCULAR
351	MIinT2D	Myocardial infarction in type 2 diabetes	1	DIABETIC COMPLICATIONS
352	NPDRvNoDR	Non-proliferative diabetic retinopathy vs no DR	1	DIABETIC COMPLICATIONS
353	NPDRvNoDRwDoD	Non-proliferative diabetic retinopathy vs no DR acct DoD-GC	1	DIABETIC COMPLICATIONS
354	Obesity	Obesity	1	ANTHROPOMETRIC
355	PDRvNoDR	Proliferative diabetic retinopathy vs no DR	1	DIABETIC COMPLICATIONS
356	PDRvNoDRwDoD	Proliferative diabetic retinopathy vs no DR acct DoD-GC	1	DIABETIC COMPLICATIONS
357	PDRvNoPDR	Proliferative diabetic retinopathy (PDR) vs no PDR	1	DIABETIC COMPLICATIONS
358	PDRvNoPDRwDoD	Proliferative diabetic retinopathy (PDR) vs no PDR acct DoD-GC	1	DIABETIC COMPLICATIONS
359	PVDinT2D	Peripheral vascular disease in type 2 diabetes	1	DIABETIC COMPLICATIONS
360	RedCount	Red blood cell count	0	HEMATOLOGICAL
361	StrokeinT2D	Stroke in type 2 diabetes	1	DIABETIC COMPLICATIONS
362	SVI	Left ventricular stroke volume (BSA-indexed)	0	CARDIOVASCULAR
363	SVL	Left ventricular stroke volume	0	CARDIOVASCULAR
364	T1D	Type 1 diabetes (T1D)	1	TYPE 1 DIABETES
3068	2hrG	Two-hour (2hr) glucose	0	GLYCEMIC
3069	2hrI	Two-hour (2hr) insulin	0	GLYCEMIC
3070	Adiponectin	Adiponectin	0	GLYCEMIC
3071	AD	Alzheimer's disease	1	NEUROLOGICAL
3072	AF	Atrial fibrillation	1	ATRIAL FIBRILLATION
3073	AFxAGE	AF-SNP age interaction	1	ATRIAL FIBRILLATION
3074	AFxAGEo65	AF-over age 65	1	ATRIAL FIBRILLATION
3075	AFxAGEy65	AF-age 65 and under	1	ATRIAL FIBRILLATION
3076	AFxBMI	AF-SNP BMI interaction	1	ATRIAL FIBRILLATION
3077	AFxHTN	AF-SNP hypertension interaction	1	ATRIAL FIBRILLATION
3078	AFxSEX	AF-SNP sex interaction	1	ATRIAL FIBRILLATION
3080	allDKD	All diabetic kidney disease (DKD)	1	RENAL
3082	ALP	Alkaline phosphatase (ALP)	0	HEPATIC
3083	ALS	Amyotrophic lateral sclerosis (ALS)	1	NEUROLOGICAL
3084	ALT	Alanine transaminase (ALT)	0	HEPATIC
3085	AMD	Age-related macular degeneration (AMD)	1	OCULAR
3086	AST	Aspartate aminotransferase (AST)	0	HEPATIC
3087	AUCins	Area under the curve (AUC) for insulin	0	GLYCEMIC
3088	AUCinsAUCgluc	AUCins over AUCgluc	0	GLYCEMIC
3089	BFP	Body fat percentage	0	ANTHROPOMETRIC
3090	BIP	Bipolar disorder	1	PSYCHIATRIC
3091	BMI	Body mass index (BMI)	0	ANTHROPOMETRIC
3092	CAD	Coronary artery disease (CAD)	1	CARDIOVASCULAR
3103	CD	Crohn's disease	1	INFLAMMATORY BOWEL
3104	ChildObesity	Childhood obesity	1	ANTHROPOMETRIC
3105	CHOL	Total cholesterol	0	LIPIDS
3106	CIR	Corrected insulin response (CIR)	0	GLYCEMIC
3107	CIRadjISI	Corrected insulin response adj Matsuda ISI	0	GLYCEMIC
3108	CKD	Chronic kidney disease (CKD)	1	RENAL
3112	CKDpDKD	Chronic kidney disease and diabetic kidney disease (CKD and DKD)	1	RENAL
3114	Creatinine	Serum creatinine	0	RENAL
3115	DBP	Diastolic blood pressure	0	CARDIOVASCULAR
3116	DI	Disposition index	0	GLYCEMIC
3118	eGFRcrea	eGFRcreat (serum creatinine)	0	RENAL
3119	eGFRcys	eGFRcys (serum cystatin C)	0	RENAL
3130	FG	Fasting glucose	0	GLYCEMIC
3132	FGadjBMI	Fasting glucose adj BMI	0	GLYCEMIC
3133	FI	Fasting insulin	0	GLYCEMIC
3134	FIadjBMI	Fasting insulin adj BMI	0	GLYCEMIC
3135	GA	Geographic atrophy	1	OCULAR
3137	GGT	Gamma-glutamyl transferase (GGT)	0	HEPATIC
3138	HBA1C	Hemoglobin A1c	0	GLYCEMIC
3141	HDL	HDL cholesterol	0	LIPIDS
3142	HEIGHT	Height	0	ANTHROPOMETRIC
3143	HF	Heart failure	1	CARDIOVASCULAR
3144	HIPC	Hip circumference	0	ANTHROPOMETRIC
3145	HIPCadjBMI	Hip circumference adj BMI	0	ANTHROPOMETRIC
3146	HOMAB	HOMA-B	0	GLYCEMIC
3147	HOMAIR	HOMA-IR	0	GLYCEMIC
3148	HR	Heart rate	0	CARDIOVASCULAR
3149	IBD	Inflammatory bowel disease (IBD)	1	INFLAMMATORY BOWEL
3150	IGI	Insulinogenic index	0	GLYCEMIC
3151	Incr30	Incremental insulin at 30 min OGTT	0	GLYCEMIC
3152	Ins30	Insulin at 30 min OGTT	0	GLYCEMIC
3153	Ins30adjBMI	Insulin at 30 min OGTT adj BMI	0	GLYCEMIC
3154	ISen	Insulin sensitivity	0	GLYCEMIC
3155	ISenBMI	Insulin sensitivity adj BMI	0	GLYCEMIC
3156	ISI	Matsuda insulin sensitivity index (ISI)	0	GLYCEMIC
3157	ISIadjAgeSex	Modified Stumvoll ISI adj age-sex	0	GLYCEMIC
3158	ISIadjAgeSexBMI	Modified Stumvoll ISI adj age-sex-BMI	0	GLYCEMIC
3159	ISIadjBMIinterGenoBMI	Modified Stumvoll ISI adj genotype-BMI interaction	0	GLYCEMIC
3160	lateDKD	Late diabetic kidney disease	1	RENAL
3162	LDL	LDL cholesterol	0	LIPIDS
3163	LEP	Leptin	0	LIPIDS
3164	LEPadjBMI	Leptin adj BMI	0	LIPIDS
3165	MA	Microalbuminuria	1	RENAL
3167	MacrovControl	Macroalbuminuria vs. controls	1	RENAL
3169	MDD	Major depressive disorder, strict definition (ICD and equivalent)	1	PSYCHIATRIC
3170	MI	Myocardial infarction	1	CARDIOVASCULAR
3171	n6FA182	Linoleic acid	0	LIPIDS
3177	ND	Neovascular age-related macular degeneration	1	OCULAR
3178	NICM	Nonischemic cardiomyopathy	1	CARDIOVASCULAR
3179	PACG	Primary angle-closure glaucoma	1	OCULAR
3182	PI	Fasting proinsulin	0	GLYCEMIC
3183	PRI	PR interval	0	ECG TRAITS
3185	Pwave_duration	P-wave duration	0	ECG TRAITS
3186	QRS	QRS interval	0	ECG TRAITS
3189	SBP	Systolic blood pressure	0	CARDIOVASCULAR
3190	SCZ	Schizophrenia	1	PSYCHIATRIC
3191	SleepChronotype	Chronotype (morningness)	0	SLEEP AND CIRCADIAN
3192	SleepDuration	Sleep duration	0	SLEEP AND CIRCADIAN
3193	SleepEDS	Excessive daytime sleepiness	1	SLEEP AND CIRCADIAN
3194	SleepInsomnia	Frequent insomnia symptoms	1	SLEEP AND CIRCADIAN
3195	SleepLong	Long sleep duration	1	SLEEP AND CIRCADIAN
3196	SleepNaps	Daytime napping	0	SLEEP AND CIRCADIAN
3197	SleepShort	Short sleep duration	1	SLEEP AND CIRCADIAN
3199	Stroke_deep	Non-lobar intracranial hemorrhage	1	STROKE
3200	Stroke_hemorrhagic	All intracranial hemorrhage	1	STROKE
3201	Stroke_ischemic	All ischemic stroke	1	STROKE
3202	Stroke_lobar	Lobar intracranial hemorrhage	1	STROKE
3203	Stroke	Any stroke	1	STROKE
3204	allSVS	Intracerebral hemorrhage or small vessel ischemic stroke	1	STROKE
3205	lobarSVS	Lobar intracerebral hemorrhage or small vessel ischemic stroke	1	STROKE
3206	nonlobarSVS	Non-lobar intracerebral hemorrhage or small vessel ischemic stroke	1	STROKE
3207	T2D	Type 2 diabetes (T2D)	1	GLYCEMIC
3208	T2DadjBMI	Type 2 diabetes (T2D) adj BMI	1	GLYCEMIC
3209	TG	Triglycerides	0	LIPIDS
3210	toastCE	TOAST cardio-aortic embolism	1	STROKE
3211	toastDETER	TOAST other determined	1	STROKE
3212	toastLAA	TOAST large artery atherosclerosis	1	STROKE
3213	toastSAO	TOAST small artery occlusion	1	STROKE
3214	toastUNDETER	TOAST other undetermined	1	STROKE
3215	UACR	Urinary albumin-to-creatinine ratio (UACR)	0	RENAL
3216	UC	Ulcerative colitis	1	INFLAMMATORY BOWEL
3217	Urate	Serum urate	0	RENAL
3223	WAIST	Waist circumference	0	ANTHROPOMETRIC
3224	WAISTadjBMI	Waist circumference adj BMI	0	ANTHROPOMETRIC
3225	WHR	Waist-hip ratio	0	ANTHROPOMETRIC
3226	WHRadjBMI	Waist-hip ratio adj BMI	0	ANTHROPOMETRIC
3227	WMH	Cerebral white matter hyperintensity volume	0	CEREBROVASCULAR MRI TRAITS
3228	BS	Random glucose	0	GLYCEMIC
3229	CK	Creatine kinase	0	CARDIOVASCULAR
3230	MAP	Mean arterial pressure	0	CARDIOVASCULAR
3231	Ca	Calcium	0	METABOLITE
