Idx	IdName	Description	Unknown	Category
3232	Cl	Chloride	0	METABOLITE
3233	K	Potassium	0	METABOLITE
3234	Sodium	Sodium	0	METABOLITE
3235	P	Phosphorus	0	METABOLITE
3236	BUN	Blood urea nitrogen	0	RENAL
3237	UA	Uric acid	0	RENAL
3238	POAG	Primary open-angle glaucoma	1	OCULAR
3239	Men	Age at menarche	0	REPRODUCTIVE TRAITS
3240	MP	Age at natural menopause (ANM)	0	REPRODUCTIVE TRAITS
3241	Fbg	Fibrinogen	0	HEMATOLOGICAL
3242	Hb	Hemoglobin	0	HEMATOLOGICAL
3243	LDH	Lactate dehydrogenase (LDH)	0	METABOLITE
3245	AHI	Apnea-Hypopnea Index (AHI)	0	SLEEP AND CIRCADIAN
3246	AHIinNREM	Apnea-Hypopnea Index (AHI) in NREM sleep	0	SLEEP AND CIRCADIAN
3247	AHIinREM	Apnea-Hypopnea Index (AHI) in REM sleep	0	SLEEP AND CIRCADIAN
3248	SpO2min	Minimum oxyhemoglobin saturation (SpO2) during sleep	0	SLEEP AND CIRCADIAN
3249	SpO2per90	Percentage of sleep with oxyhemoglobin saturation (SpO2) under 90%	0	SLEEP AND CIRCADIAN
3250	SpO2avg	Average oxyhemoglobin saturation during sleep	0	SLEEP AND CIRCADIAN
3252	MeanSleepDiurnalInactRN	Diurnal inactivity duration, rank-normalized	0	SLEEP AND CIRCADIAN
3254	MeanSleepDurationRN	Mean sleep duration, rank-normalized	0	SLEEP AND CIRCADIAN
3256	MeanSleepEfficiencyRN	Sleep efficiency, rank-normalized	0	SLEEP AND CIRCADIAN
3258	MeanSleepL5timeRN	Least-active 5 hour timing, rank-normalized	0	SLEEP AND CIRCADIAN
3260	MeanSleepM10timeRN	Most-active 10 hour timing, rank-normalized	0	SLEEP AND CIRCADIAN
3262	MeanSleepMidPointRN	Sleep midpoint timing, rank-normalized	0	SLEEP AND CIRCADIAN
3264	MeanSleepNumEpisodesRN	Number of sleep episodes, rank-normalized	0	SLEEP AND CIRCADIAN
3266	StDevSleepDurationRN	Standard deviation of sleep duration, rank-normalized	0	SLEEP AND CIRCADIAN
3267	2hrFFA	2hr plasma free fatty acids	0	LIPIDS
3268	AcAce	Acetoacetate	0	METABOLITE
3269	Ace	Acetate	0	METABOLITE
3270	Ala	Alanine	0	METABOLITE
3271	Alb	Serum albumin	0	HEPATIC
3272	ApoA1	Serum ApoA1	0	LIPIDS
3273	ApoB	Serum ApoB	0	LIPIDS
3274	BILIRUBIN	Total bilirubin	0	HEPATIC
3275	CKDinT2D	Chronic kidney disease (CKD) in type 2 diabetes (T2D)	1	DIABETIC COMPLICATIONS
3276	COPD	Chronic obstructive pulmonary disease (COPD)	1	LUNG
3277	CRP	Plasma C-reactive protein	0	CARDIOVASCULAR
3278	Cit	Citrate	0	METABOLITE
3279	DHA	Docosahexaenoic acid	0	LIPIDS
3280	ESRDinT2D	End-stage renal disease in type 2 diabetes (ESRD in T2D)	1	DIABETIC COMPLICATIONS
3281	EtOH	Alcohol consumption	0	NUTRITIONAL
3282	FAw3	Omega-3 fatty acids	0	LIPIDS
3283	FAw6	Omega-6 fatty acids	0	LIPIDS
3284	FastFFA	Fasting plasma free fatty acids	0	LIPIDS
3285	Fracture	Bone fracture	1	MUSCULOSKELETAL
3286	Gln	Glutamine	0	METABOLITE
3287	Glol	Glycerol	0	METABOLITE
3288	Gly	Glycine	0	METABOLITE
3289	Gp	Glycoproteins	0	METABOLITE
3290	HDL2chol	HDL2 cholesterol	0	LIPIDS
3291	HDL3chol	HDL3 cholesterol	0	LIPIDS
3292	His	Histidine	0	METABOLITE
3293	IDLchol	IDL cholesterol	0	LIPIDS
3294	IDLpart	Concentration of IDL particles	0	LIPIDS
3295	Ile	Isoleucine	0	METABOLITE
3296	Leu	Leucine	0	METABOLITE
3297	MUFA	Total monounsaturated fatty acids	0	LIPIDS
3298	NeuropathyinT2D	Neuropathy in type 2 diabetes	1	DIABETIC COMPLICATIONS
3299	PC	Phosphocholines	0	METABOLITE
3300	PUFA	Total polyunsaturated fatty acids	0	LIPIDS
3301	Phe	Phenylalanine	0	METABOLITE
3302	PulsePress	Pulse pressure	0	CARDIOVASCULAR
3303	Pyr	Pyruvate	0	METABOLITE
3304	RemnantC	Remnant cholesterol	0	LIPIDS
3305	SFA	Total saturated fatty acids	0	LIPIDS
3306	SM	Sphingomyelins	0	LIPIDS
3307	TotCho	Total cholines	0	METABOLITE
3308	TotPG	Total phosphoglycerides	0	LIPIDS
3309	Tyr	Tyrosine	0	METABOLITE
3310	VLDLchol	VLDL cholesterol	0	LIPIDS
3311	Val	Valine	0	METABOLITE
3312	VitD	Vitamin D levels	0	METABOLITE
3313	WEIGHT	Weight	0	ANTHROPOMETRIC
3314	XXLVLDLpart	Chylomicrons and XXL-VLDL cholesterol	0	LIPIDS
3315	bOHBut	Beta-hydroxybutyric acid	0	METABOLITE
3316	eBMD	Heel quantitative ultrasound estimated bone mineral density (eBMD)	0	MUSCULOSKELETAL
3317	HBA1CadjBMI	HbA1c adj BMI	0	GLYCEMIC
3318	2hrCPEP	Two-hour (2hr) C-peptide	0	GLYCEMIC
3319	CPEP_FAST	Fasting C-peptide	0	GLYCEMIC
3320	DIadjBMI	Disposition index adj BMI	0	GLYCEMIC
3321	PEAKadjSI	Peak insulin response adj SI	0	GLYCEMIC
3322	AIRadjBMInSI	Acute insulin response adj BMI-SI	0	GLYCEMIC
3323	ISR	Insulin secretion rate	0	GLYCEMIC
3324	PEAKadjBMInSI	Peak insulin response adj BMI-SI	0	GLYCEMIC
3325	ISRadjBMI	Insulin secretion rate adj BMI	0	GLYCEMIC
3326	PEAK	Peak insulin response	0	GLYCEMIC
3327	AIR	Acute insulin response	0	GLYCEMIC
3328	AIRadjSI	Acute insulin response adj SI	0	GLYCEMIC
3329	TGtoHDL	Triglyceride-to-HDL ratio	0	LIPIDS
3330	CreatinineUrinary	Urinary creatinine	0	RENAL
3331	FEV1	Forced expired volume in 1 second (FEV1)	0	LUNG
3332	FVC	Forced vital capacity (FVC)	0	LUNG
3333	FEV1toFVC	FEV1 to FVC ratio	0	LUNG
3334	PEF	Peak expiratory flow	0	LUNG
3335	LSarea	Lumbar spine area	0	MUSCULOSKELETAL
3336	TrochanterArea	Trochanter area	0	MUSCULOSKELETAL
3337	IntertrochArea	Intertrochanteric-shaft area	0	MUSCULOSKELETAL
3338	TotHipArea	Total hip area	0	MUSCULOSKELETAL
3339	FNarea	Femoral neck area	0	MUSCULOSKELETAL
3340	LSBMD	Lumbar spine bone mineral density	0	MUSCULOSKELETAL
3341	FNBMD	Femoral neck bone mineral density	0	MUSCULOSKELETAL
3342	CADinT2D	Coronary artery disease in type 2 diabetes (CAD in T2D)	1	DIABETIC COMPLICATIONS
3343	CADinNonT2D	Coronary artery disease (CAD) in subjects without diabetes	1	CARDIOVASCULAR
3344	CVDinT2D	Coronary heart disease or stroke or peripheral vascular disease in type 2 diabetes (T2D)	1	DIABETIC COMPLICATIONS
3345	BMIadjSMK	BMI adj smoking status	0	ANTHROPOMETRIC
3346	WCadjBMISMK	Waist circumference adj BMI-smoking status	0	ANTHROPOMETRIC
3347	WHRadjBMISMK	Waist-hip ratio adj BMI-smoking status	0	ANTHROPOMETRIC
3348	freshfruit	Fresh fruit consumption	0	NUTRITIONAL
3349	oilyfish	Oily fish consumption	0	NUTRITIONAL
3350	saltconsumption	Salt addition to food	0	NUTRITIONAL
3351	PC1diet	PC1 dietary pattern	0	NUTRITIONAL
3352	PC3diet	PC3 dietary pattern	0	NUTRITIONAL
3579	PepticUlcers	Peptic ulcers	1	DIGESTIVE
3580	USPR	Urinary sodium-to-potassium ratio	0	RENAL
3581	FG_plus_diab	Fasting plasma glucose in subjects with and without diabetes	0	GLYCEMIC
3582	USCR	Urinary sodium-to-creatinine ratio	0	RENAL
3583	UPCR	Urinary potassium-to-creatinine ratio	0	RENAL
3586	Parkinsons	Parkinson's disease	1	NEUROLOGICAL
3589	MultipleSclerosis	Multiple sclerosis	1	IMMUNOLOGICAL
3593	TB-BMD	Total body bone mineral density	0	MUSCULOSKELETAL
3594	TBLH-BMD	Total body (less head) bone mineral density 	0	MUSCULOSKELETAL
3595	TB-LM	Total body lean mass	0	MUSCULOSKELETAL
3596	Ap-LM	Appendicular lean body mass	0	MUSCULOSKELETAL
3597	IA	Intracranial aneurysm	1	STROKE
3598	IAU	Unruptured intracranial aneurysm	1	STROKE
3599	SAH	Aneurysmal subarachnoid hemorrhage	1	STROKE
3600	ForearmBMD	Forearm bone mineral density	0	MUSCULOSKELETAL
3601	ChronotypeSingle	Chronotype (single question)	1	SLEEP AND CIRCADIAN
3602	smeq_binary	Chronotype (binary sMEQ score)	1	SLEEP AND CIRCADIAN
3603	smeq_cont	Chronotype (continuous sMEQ score)	0	SLEEP AND CIRCADIAN
3606	SeverevNonHospC19	Very severe respiratory confirmed vs non-hospitalized COVID-19	1	COVID-19
3607	SevereC19vAll	Very severe respiratory confirmed COVID-19 vs population	1	COVID-19
3608	HospvNonHospC19	Hospitalized vs non-hospitalized COVID-19	1	COVID-19
3609	HospC19vAll	Hospitalized COVID-19 vs population	1	COVID-19
3610	C19vNeg	COVID-19 vs no COVID-19	1	COVID-19
3611	C19vAll	COVID-19 vs population	1	COVID-19
3612	PredC19vPredNoC19	Predicted COVID-19 vs predicted COVID-19 negative	1	COVID-19
3613	LateAD	Late-onset Alzheimer's disease	1	NEUROLOGICAL
3614	NaExcretion	Urinary sodium excretion	0	RENAL
3615	KExcretion	Urinary potassium excretion	0	RENAL
3616	MN	Membranous nephropathy	1	RENAL
3617	LADA	Latent autoimmune diabetes in adults	1	IMMUNOLOGICAL
3618	CADinT1D	Coronary artery disease in type 1 diabetes	1	DIABETIC COMPLICATIONS
3619	UACR_DM	Urinary albumin-to-creatinine ratio (UACR) in subjects with diabetes	0	RENAL
3620	UACR_nonDM	Urinary albumin-to-creatinine ratio (UACR) in subjects without diabetes	0	RENAL
3621	HbConc	Hemoglobin concentration	0	HEMATOLOGICAL
3622	Hematocrit	Hematocrit	0	HEMATOLOGICAL
3623	MeanCorpHb	Mean corpuscular hemoglobin	0	HEMATOLOGICAL
3624	MeanCorpVol	Mean corpuscular volume	0	HEMATOLOGICAL
3625	MeanCorpHbConc	Mean corpuscular hemoglobin concentration	0	HEMATOLOGICAL
3626	RBCDistWidth	Red blood cell distribution width	0	HEMATOLOGICAL
3627	WBC	White blood cell count	0	HEMATOLOGICAL
3628	NeutCount	Neutrophil count	0	HEMATOLOGICAL
3629	LymphoCount	Lymphocyte count	0	HEMATOLOGICAL
3630	MonoCount	Monocyte count	0	HEMATOLOGICAL
3631	BasoCount	Basophil count	0	HEMATOLOGICAL
3632	EosinCount	Eosinophil count	0	HEMATOLOGICAL
3633	PlatCount	Platelet count	0	HEMATOLOGICAL
3634	PlatVol	Mean platelet volume	0	HEMATOLOGICAL
3650	LowGripEWGSOP	Low hand grip strength (EWGSOP definition)	1	MUSCULOSKELETAL
3652	LowGripFNIH	Low hand grip strength (FNIH definition)	1	MUSCULOSKELETAL
3654	AST_ALT_ratio	AST-ALT ratio	0	HEPATIC
3655	AlbInT2D	Albuminuria in type 2 diabetes	1	DIABETIC COMPLICATIONS
3656	CKDpDKDinT2D	CKD and DKD in type 2 diabetes	1	RENAL
3657	CKD_DNinT2D	Chronic kidney disease (CKD) and diabetic nephropathy in type 2 diabetes	1	DIABETIC COMPLICATIONS
3658	CKD_EXT_vGFRinT2D	Extreme chronic kidney disease (CKD) vs. eGFR >= 60 in type 2 diabetes	1	RENAL
3659	AnyCVDinT2D	Cardiovascular disease in type 2 diabetes (T2D)	1	DIABETIC COMPLICATIONS
3660	ESRDvControlinT2D	End-stage renal disease (ESRD) vs. controls in type 2 diabetes (T2D)	1	RENAL
3661	ESRDvMacroinT2D	End-stage renal disease (ESRD) vs. macroalbuminuria in type 2 diabetes (T2D)	1	RENAL
3662	ESRDvNonESRDinT2D	End-stage renal disease vs. no ESRD in type 2 diabetes (T2D)	1	RENAL
3663	MacroInT2D	Macroalbuminuria in type 2 diabetes (T2D)	1	DIABETIC COMPLICATIONS
3664	MicroInT2D	Microalbuminuria in type 2 diabetes (T2D)	1	DIABETIC COMPLICATIONS
3665	NAFLDinT2D	NAFLD in type 2 diabetes (T2D)	1	DIABETIC COMPLICATIONS
3666	AscAortaDiam	Ascending aorta diameter	0	CARDIOVASCULAR
3667	DescAortaDiam	Descending aorta diameter	0	CARDIOVASCULAR
3668	LongQT	Long QT syndrome	1	ECG TRAITS
3669	BMB_any_noexclusions	Brain microbleeds, any	1	CEREBROVASCULAR MRI TRAITS
3670	BMB_mixed_or_strictlydeep_withexclusions	Brain microbleeds, mixed or strictly deep, excluding dementia and stroke cases	1	CEREBROVASCULAR MRI TRAITS
3671	BMB_any_withexclusions	Brain microbleeds, any, excluding dementia and stroke cases	1	CEREBROVASCULAR MRI TRAITS
3672	BMB_strictlylobar_noexclusions	Brain microbleeds, strictly lobar	1	CEREBROVASCULAR MRI TRAITS
3673	BMB_mixed_or_strictlydeep_noexclusions	Brain microbleeds, mixed or strictly deep	1	CEREBROVASCULAR MRI TRAITS
3674	BMB_strictlylobar_withexclusions	Brain microbleeds, strictly lobar, excluding dementia and stroke cases	1	CEREBROVASCULAR MRI TRAITS
3675	BreakfastSkipping	Frequency of breakfast skipping	0	NUTRITIONAL
3676	AllergicRhinitis_dom	Allergic rhinitis (dominant model)	1	NON-ADDITIVE MODELS
3677	AllergicRhinitis_rec	Allergic rhinitis (recessive model)	1	NON-ADDITIVE MODELS
3678	AllergicRhinitis_het	Allergic rhinitis (heterodominant model)	1	NON-ADDITIVE MODELS
3680	Asthma_dom	Asthma (dominant model)	1	NON-ADDITIVE MODELS
3681	Asthma_rec	Asthma (recessive model)	1	NON-ADDITIVE MODELS
3682	Asthma_het	Asthma (heterodominant model)	1	NON-ADDITIVE MODELS
3684	Cancer_dom	Any cancer (dominant model)	1	NON-ADDITIVE MODELS
3685	Cancer_rec	Any cancer (recessive model)	1	NON-ADDITIVE MODELS
3686	Cancer_het	Any cancer (heterodominant model)	1	NON-ADDITIVE MODELS
3688	AnyCVD_dom	Any cardiovascular disease (dominant model)	1	NON-ADDITIVE MODELS
3689	AnyCVD_rec	Any cardiovascular disease (recessive model)	1	NON-ADDITIVE MODELS
3690	AnyCVD_het	Any cardiovascular disease (heterodominant model)	1	NON-ADDITIVE MODELS
3692	MDD_dom	Major depressive disorder (dominant model)	1	NON-ADDITIVE MODELS
3693	MDD_rec	Major depressive disorder (recessive model)	1	NON-ADDITIVE MODELS
