endpoint,table,schema,example
single-cell-lognorm,SingleCellLogNorm,"dataset,gene","https://bioindex-dev.pankbase.org/api/bio/query/single-cell-lognorm?q=HPAP,A1BG"
single-cell-gene,SingleCellGene,gene,https://bioindex-dev.pankbase.org/api/bio/query/single-cell-gene?q=A1CF
gene-program-expression-cell-state,GeneProgramExpressionCellState,"dataset,cell_type,gene","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-expression-cell-state?q=islet_of_Langerhans_scRNA_v3-4,active_stellate,A1BG"
gene-program-expression-program,GeneProgramExpressionProgram,"dataset,cell_type,model,gene","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-expression-program?q=islet_of_Langerhans_scRNA_v3-4,active_stellate,mouse_msigdb,A1BG"
gene-program-expression-cell-type,GeneProgramExpressionCellType,"dataset,gene","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-expression-cell-type?q=islet_of_Langerhans_scRNA_v3-4,A1BG"
gene-program-heatmap,GeneProgramHeatMap,"dataset,cell_type","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-heatmap?q=islet_of_Langerhans_scRNA_v3-4,active_stellate"
gene-program-trait-factor,GeneProgramTraitFactor,"dataset,cell_type,model,factor","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-trait-factor?q=islet_of_Langerhans_scRNA_v3-4,combined_signatures,mouse_msigdb,Factor1"
gene-program-cell-state-trait-factor,GeneProgramCellStateTraitFactor,"dataset,cell_type,state_name","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-cell-state-trait-factor?q=islet_of_Langerhans_scRNA_v3-4,combined_signatures,pancreas_active_stellate_program_factor_1"
gene-program-cell-state-metadata,GeneProgramCellStateMetadata,"tissue,cell_type","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-cell-state-metadata?q=pancreas,acinar"
gene-program-cell-state-metadata-extended,GeneProgramCellStateMetadataExtended,"tissue,cell_type","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-cell-state-metadata-extended?q=pancreas,acinar"
gene-program-qc-metadata,GeneProgramQCMetadata,dummy,https://bioindex-dev.pankbase.org/api/bio/query/gene-program-qc-metadata?q=1
gene-program-qc-metadata-extended,GeneProgramQCMetadataExtended,dummy,https://bioindex-dev.pankbase.org/api/bio/query/gene-program-qc-metadata-extended?q=1
gene-program-expression-cell-state,GeneProgramExpressionAllCellState,gene,https://bioindex-dev.pankbase.org/api/bio/query/gene-program-expression-cell-state?q=A1BG
gene-program-expression-program,GeneProgramExpressionAllProgram,gene,https://bioindex-dev.pankbase.org/api/bio/query/gene-program-expression-program?q=A1BG
gene-program-factor,GeneProgramFactor,"dataset,cell_type,model","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-factor?q=islet_of_Langerhans_scRNA_v3-4,active_stellate,mouse_msigdb"
gene-program-gene-factor,GeneProgramGeneFactor,"dataset,cell_type,model,factor","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-gene-factor?q=islet_of_Langerhans_scRNA_v3-4,active_stellate,mouse_msigdb,Factor1"
gene-program-qc-factor,GeneProgramQCFactor,"dataset,cell_type,model,factor","https://bioindex-dev.pankbase.org/api/bio/query/gene-program-qc-factor?q=islet_of_Langerhans_scRNA_v3-4,active_stellate,mouse_msigdb,Factor1"
