table_name	n_rows	n_cols
reference_source_manifest	13	3
hpo_term	19389	3
hpo_edge	23677	2
hpo_ancestor	216469	3
hpo_frequency_score_map	6	6
mondo_term	27991	4
mondo_xref	143394	4
mondo_edge	41908	2
disease_id_map	20669	5
disease	2427	3
disease_hpo_weight	71192	4
disease_gene_weight	5055	4
hpo_disease_phenotype_annotation	282691	15
hpo_disease_phenotype_positive	281964	15
hpo_gene_annotation	329339	7
hpo_gene_disease	15914	6
ddg2p_gene_disease	2736	16
ddg2p_gene_disease_hpo	34694	7
ddg2p_gene_summary	2426	9
panelapp_gene_summary	3962	10
panelapp_gene_panel	22945	3
panelapp_gene_moi	5428	2
panelapp_gene_phenotype	23053	2
pathway	2764	4
pathway_gene	143717	5
gene_pathway_summary	13611	5
gene	14610	1
gene_annotation_summary	14610	30
