disease_id	disease_name	disease_source
Orpha_100	Ataxia-telangiectasia	Orphapacket
Orpha_100006	ABeta_amyloidosis,_Dutch_type	Orphapacket
Orpha_100008	ACys_amyloidosis	Orphapacket
Orpha_100050	Hereditary_angioedema_type_1	Orphapacket
Orpha_100057	Renin-angiotensin-aldosterone_system-blocker-induced_angioedema	Orphapacket
Orpha_100069	Semantic_dementia	Orphapacket
Orpha_100070	Progressive_non-fluent_aphasia	Orphapacket
Orpha_1001	2q37_microdeletion_syndrome	Orphapacket
Orpha_100924	Porphyria_due_to_ALA_dehydratase_deficiency	Orphapacket
Orpha_100973	FRAXE_intellectual_disability	Orphapacket
Orpha_100974	FRAXF_syndrome	Orphapacket
Orpha_100976	Bathing_suit_ichthyosis	Orphapacket
Orpha_100984	Autosomal_dominant_spastic_paraplegia_type_3	Orphapacket
Orpha_100985	Autosomal_dominant_spastic_paraplegia_type_4	Orphapacket
Orpha_100986	Autosomal_recessive_spastic_paraplegia_type_5A	Orphapacket
Orpha_100988	Autosomal_dominant_spastic_paraplegia_type_6	Orphapacket
Orpha_100989	Autosomal_dominant_spastic_paraplegia_type_8	Orphapacket
Orpha_100991	Autosomal_dominant_spastic_paraplegia_type_10	Orphapacket
Orpha_100993	Autosomal_dominant_spastic_paraplegia_type_12	Orphapacket
Orpha_100994	Autosomal_dominant_spastic_paraplegia_type_13	Orphapacket
Orpha_100995	Autosomal_recessive_spastic_paraplegia_type_14	Orphapacket
Orpha_100996	Autosomal_recessive_spastic_paraplegia_type_15	Orphapacket
Orpha_100997	X-linked_spastic_paraplegia_type_16	Orphapacket
Orpha_100998	Autosomal_dominant_spastic_paraplegia_type_17	Orphapacket
Orpha_100999	Autosomal_dominant_spastic_paraplegia_type_19	Orphapacket
Orpha_101	Dentatorubral_pallidoluysian_atrophy	Orphapacket
Orpha_1010	Autosomal_dominant_palmoplantar_keratoderma_and_congenital_alopecia	Orphapacket
Orpha_101000	Autosomal_recessive_spastic_paraplegia_type_20	Orphapacket
Orpha_101001	Autosomal_recessive_spastic_paraplegia_type_21	Orphapacket
Orpha_101003	Autosomal_recessive_spastic_paraplegia_type_23	Orphapacket
