gene_symbol	disease_mim	disease_name	hpo_id	confidence_category	allelic_requirement	evidence_source
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0000556	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0000007	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0004328	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0000647	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0000482	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0000568	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0007906	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0000589	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0000639	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0000518	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0001104	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0000505	strong	biallelic_autosomal	DDG2P_phenotypes
HMX1	612109	OCULOAURICULAR SYNDROME	HP:0008572	strong	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000414	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0002984	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000347	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0004322	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000581	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000365	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0001045	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0001903	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000007	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000252	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000085	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0002860	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000125	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0009777	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000028	definitive	biallelic_autosomal	DDG2P_phenotypes
SLX4	613951	FANCONI ANEMIA COMPLEMENTATION GROUP P	HP:0000957	definitive	biallelic_autosomal	DDG2P_phenotypes
