mondo_id	parent_mondo_id
MONDO:0000004	MONDO:0002816
MONDO:0000005	MONDO:0004907
MONDO:0000005	MONDO:0100118
MONDO:0000009	MONDO:0002243
MONDO:0000009	MONDO:0002245
MONDO:0000009	MONDO:0003847
MONDO:0000014	MONDO:0001703
MONDO:0000015	MONDO:0003832
MONDO:0000022	MONDO:0024290
MONDO:0000023	MONDO:0003847
MONDO:0000023	MONDO:0100192
MONDO:0000030	MONDO:0017704
MONDO:0000030	MONDO:0100631
MONDO:0000032	MONDO:0003847
MONDO:0000044	MONDO:0003847
MONDO:0000044	MONDO:0024300
MONDO:0000045	MONDO:0003847
MONDO:0000045	MONDO:0018612
MONDO:0000050	MONDO:0013099
MONDO:0000060	MONDO:0001149
MONDO:0000062	MONDO:0003847
MONDO:0000062	MONDO:0021129
MONDO:0000065	MONDO:0020573
MONDO:0000066	MONDO:0016387
MONDO:0000070	MONDO:0020573
MONDO:0000078	MONDO:0019796
MONDO:0000079	MONDO:0005298
MONDO:0000082	MONDO:0005039
MONDO:0000087	MONDO:0002320
MONDO:0000088	MONDO:0002259
MONDO:0000088	MONDO:0021147
MONDO:0000090	MONDO:0005181
MONDO:0000104	MONDO:0000387
MONDO:0000104	MONDO:0003847
MONDO:0000105	MONDO:0006506
MONDO:0000107	MONDO:0007500
MONDO:0000108	MONDO:0020573
MONDO:0000110	MONDO:0015411
MONDO:0000110	MONDO:0024623
MONDO:0000111	MONDO:0003847
MONDO:0000114	MONDO:0003847
MONDO:0000115	MONDO:0003847
MONDO:0000118	MONDO:0019288
MONDO:0000118	MONDO:0100118
MONDO:0000119	MONDO:0005453
MONDO:0000127	MONDO:0019695
MONDO:0000128	MONDO:0004183
MONDO:0000128	MONDO:0020127
MONDO:0000129	MONDO:0005066
MONDO:0000133	MONDO:0006025
MONDO:0000133	MONDO:0100137
MONDO:0000136	MONDO:0006566
MONDO:0000136	MONDO:0018855
MONDO:0000136	MONDO:0800159
MONDO:0000137	MONDO:0005560
MONDO:0000137	MONDO:0100545
MONDO:0000138	MONDO:0009943
MONDO:0000141	MONDO:0015356
MONDO:0000141	MONDO:0019040
MONDO:0000144	MONDO:0020573
MONDO:0000147	MONDO:0021075
MONDO:0000148	MONDO:0002771
MONDO:0000148	MONDO:0031199
MONDO:0000148	MONDO:0100137
MONDO:0000151	MONDO:0005172
MONDO:0000152	MONDO:0017578
MONDO:0000153	MONDO:0019512
MONDO:0000155	MONDO:0019245
MONDO:0000156	MONDO:0018234
MONDO:0000158	MONDO:0003847
MONDO:0000158	MONDO:0005497
MONDO:0000159	MONDO:0003225
MONDO:0000159	MONDO:0003847
MONDO:0000160	MONDO:0100545
MONDO:0000160	MONDO:0100577
MONDO:0000162	MONDO:0020573
MONDO:0000166	MONDO:0005560
MONDO:0000166	MONDO:0020683
MONDO:0000166	MONDO:0021669
MONDO:0000166	MONDO:0100545
MONDO:0000167	MONDO:0024237
MONDO:0000170	MONDO:0000062
MONDO:0000170	MONDO:0001476
MONDO:0000170	MONDO:0016764
MONDO:0000171	MONDO:0018276
MONDO:0000172	MONDO:0018276
MONDO:0000173	MONDO:0018276
MONDO:0000179	MONDO:0002051
MONDO:0000179	MONDO:0002254
MONDO:0000179	MONDO:0015148
MONDO:0000179	MONDO:0015159
MONDO:0000179	MONDO:0015327
MONDO:0000179	MONDO:0018491
MONDO:0000181	MONDO:0001149
MONDO:0000181	MONDO:0004674
MONDO:0000181	MONDO:0100500
MONDO:0000182	MONDO:0002320
MONDO:0000182	MONDO:0018940
MONDO:0000188	MONDO:0019214
MONDO:0000188	MONDO:0045015
MONDO:0000188	MONDO:0100033
MONDO:0000188	MONDO:0100545
MONDO:0000190	MONDO:0007263
MONDO:0000192	MONDO:0005336
MONDO:0000192	MONDO:0700223
MONDO:0000193	MONDO:0002525
MONDO:0000193	MONDO:0005039
MONDO:0000193	MONDO:0015898
MONDO:0000200	MONDO:0003847
MONDO:0000208	MONDO:0800450
