gene_symbol	hgnc_id	gene_name	panel_count	green_panel_count	panel_ids	panel_names	modes_of_inheritance	phenotypes	has_panelapp_green_support
POLG	HGNC:9179	DNA polymerase gamma, catalytic subunit	18	16	20;42;61;85;155;230;285;385;402;478;486;488;490;496;532;847;1217;1220	Bilateral congenital or childhood onset cataracts;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Gastrointestinal neuromuscular disorders;Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary neuropathy;Hypotonic infant;Inherited white matter disorders;Intellectual disability;Mitochondrial liver disease, including transient infantile liver failure;Neonatal cholestasis;Paediatric disorders;Paediatric pseudo-obstruction syndrome;Primary ovarian insufficiency;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Cardiomyopathy;MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE);MITOCHONDRIAL DNA DEPLETION SYNDROME 4A 203700;Mitochondrial DNA Depletion Syndrome;Mitochondrial DNA depletion syndrome 4A (Alpers type);Mitochondrial DNA depletion syndrome 4A (Alpers type)	203700;Mitochondrial DNA depletion syndrome 4A (Alpers type) 203700;Mitochondrial DNA depletion syndrome 4A (Alpers type), 203700;Mitochondrial DNA depletion syndrome 4A (Alpers type), OMIM:203700;Mitochondrial DNA depletion syndrome 4B (MNGIE type);Mitochondrial DNA depletion syndrome 4B (MNGIE type)	613662;Mitochondrial DNA depletion syndrome 4B (MNGIE type) 613662;Mitochondrial DNA depletion syndrome 4B (MNGIE type), 613662;Mitochondrial DNA depletion syndrome 4B (MNGIE type), OMIM:613662;Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE);Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE)	607459;Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE), 607459;Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE), OMIM:607459;POLG-related disorders;Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions;Progressive external ophthalmoplegia, autosomal dominant 1;Progressive external ophthalmoplegia, autosomal dominant 1	157640;Progressive external ophthalmoplegia, autosomal dominant 1, 157640;Progressive external ophthalmoplegia, autosomal dominant 1, OMIM:157640;Progressive external ophthalmoplegia, autosomal dominant, 157640;Progressive external ophthalmoplegia, autosomal recessive 1;Progressive external ophthalmoplegia, autosomal recessive 1	258450;Progressive external ophthalmoplegia, autosomal recessive 1, 258450;Progressive external ophthalmoplegia, autosomal recessive 1, OMIM:258450;Progressive external ophthalmoplegia, autosomal recessive, 258450;Required for mtDNA maintenance  (Mitochondrial respiratory chain disorders (caused by nuclear variants only));sensory ataxia neuropathy dysarthria and ophthalmoplegia (SANDO)	TRUE
SLC2A1	HGNC:11005	solute carrier family 2 member 1	17	16	20;90;159;165;192;229;230;285;402;478;486;488;490;496;568;847;1220	Bilateral congenital or childhood onset cataracts;Brain channelopathy;Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Cytopenias and congenital anaemias;Early onset dystonia;Early onset or syndromic epilepsy;Fetal anomalies;Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary spastic paraplegia;Hypotonic infant;Intellectual disability;Paediatric disorders;Skeletal Muscle Channelopathies;Unexplained death in infancy and sudden unexplained death in childhood	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Can resemble skeletal muscle channelopathy;Cataracts;Developmental delay;Dystonia;Dystonia 9 601042	AD;Dystonia 9, 601042;EPILEPSY, IDIOPATHIC GENERALIZED;Early onset dystonia;Epilepsy, idiopathic generalized, susceptibility to, 12, 614847;Epileptic encephalopathy;Familial Genetic Generalised Epilepsies;GLUT1 DEFICIENCY SYNDROME 1;GLUT1 DEFICIENCY SYNDROME TYPE 1;GLUT1 DEFICIENCY SYNDROME TYPE 1 (GLUT1DS1);GLUT1 DEFICIENCY SYNDROME TYPE 1 606777;GLUT1 DEFICIENCY SYNDROME TYPE 2;GLUT1 DEFICIENCY SYNDROME TYPE 2 612126;GLUT1 deficiency syndrome 1;GLUT1 deficiency syndrome 1, 606777;GLUT1 deficiency syndrome 1, infantile onset, severe;GLUT1 deficiency syndrome 1, infantile onset, severe 606777 AD, AR;GLUT1 deficiency syndrome 1, infantile onset, severe, 606777;GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (recessive and dominant).;GLUT1 deficiency syndrome 2;GLUT1 deficiency syndrome 2, 612126;GLUT1 deficiency syndrome 2, childhood onset;GLUT1 deficiency syndrome 2, childhood onset 612126 AD;GLUT1 deficiency syndrome 2, childhood onset, 612126;Glucose transporter 1 deficiency (blood-brain barrier) (Disorders of glucose transport);Hereditary ataxia;Intellectual disability;Pyridoxine-refractory sideroblastic anemia;Stomatin-deficient cryohydrocytosis with neurologic defects	608885;Stomatin-deficient cryohydrocytosis with neurologic defects 608885 AD;Stomatin-deficient cryohydrocytosis with neurologic defects, 608885;Stomatocytosis;autosomal dominant, complicated hereditary spastic paraplegia (HSP);dystonia;dystonia 9;myotonia;paroxysmal choreoathetosis;paroxysmal exertion-induced dyskinesia with or without epilepsy and/or hemolytic anemia;seizure;spastic paraplegia;{Epilepsy, idiopathic generalized, susceptibility to, 12} 614847;{Epilepsy, idiopathic generalized, suscpetibility to, 12}, 614847	TRUE
TUBB4A	HGNC:20774	tubulin beta 4A class IVa	16	16	20;39;42;165;180;192;285;402;478;486;488;490;496;568;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Early onset dystonia;Early onset or syndromic epilepsy;Fetal anomalies;Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary spastic paraplegia;Hypotonic infant;Inherited white matter disorders;Intellectual disability;Paediatric disorders;Parkinson Disease and Complex Parkinsonism;Structural basal ganglia disorders;Unexplained death in infancy and sudden unexplained death in childhood	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	?Dystonia 4, torsion, autosomal dominant, 128101;Complex parkinsonism;Dystonia;Dystonia 4, torsion, autosomal dominant 	128101;Dystonia 4, torsion, autosomal dominant 128101;Dystonia 4, torsion, autosomal dominant, 128101;General Leukodystrophy & Mitochondrial Leukoencephalopathy;HYPOMYELINATION WITH ATROPHY OF THE BASAL GANGLIA AND CEREBELLUM;HYPOMYELINATION WITH ATROPHY OF THE BASAL GANGLIA AND CEREBELLUM (H-ABC);Leukodystrophy, hypomyelinating 6;Leukodystrophy, hypomyelinating, 6 	612438;Leukodystrophy, hypomyelinating, 6 612438;Leukodystrophy, hypomyelinating, 6, 612438;ataxia;hereditary whispering dysphonia;hypomyelinating leukodystrophy 6	TRUE
PMM2	HGNC:9115	phosphomannomutase 2	17	15	25;85;144;150;155;156;285;308;402;478;486;488;490;496;678;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Congenital disorders of glycosylation;Congenital hyperinsulinism;Early onset or syndromic epilepsy;Fetal anomalies;Fetal hydrops;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary neuropathy;Hypotonic infant;Intellectual disability;Paediatric disorders;Primary ovarian insufficiency;Rare multisystem ciliopathy disorders;Unexplained death in infancy and sudden unexplained death in childhood;Unexplained kidney failure in young people;Unexplained young onset end-stage renal disease	BIALLELIC, autosomal or pseudoautosomal	CDG 1a;CDG1A;CONGENITAL DISORDERS OF GLYCOSYLATION;CONGENITAL DISORDERS OF GLYCOSYLATION 612379;Congenital disorder of glycosylation, type Ia	212065;Congenital disorder of glycosylation, type Ia   212065;Congenital disorder of glycosylation, type Ia #212065;Congenital disorder of glycosylation, type Ia 212065;Congenital disorder of glycosylation, type Ia, 212065;Hyperinsulinemic Hypoglycaemia;Neonatal onset, leukodystrophy, abnormal serum glycoproteins, mental retardation, hypotonia, ataxia, retinitis pigmentosa, seizures, slowly progressive neuropathy with SNCV, severe infections, hepatic insufficiency and cardiomyopathy;Phosphomannomutase 2 deficiency (Disorders of protein N-glycosylation);nonimmune hydrops fetalis;polycystic kidney disease	TRUE
ADAR	HGNC:225	adenosine deaminase, RNA specific	15	15	42;165;180;192;285;315;398;402;478;486;490;496;568;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Early onset dystonia;Early onset or syndromic epilepsy;Fetal anomalies;Hereditary spastic paraplegia;Hypotonic infant;Inherited white matter disorders;Intellectual disability;Intracerebral calcification disorders;Paediatric disorders;Primary immunodeficiency or monogenic inflammatory bowel disease;Structural basal ganglia disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal	AICARDI-GOUTIERES SYNDROME ASSOCIATED WITH A TYPE I INTERFERON SIGNATURE 615010;Aicardi-Goutieres syndrome 6, OMIM:615010;Autoinflammatory Disorders;DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1 127400;Dyschromatosis symmetrica hereditaria, OMIM:127400;Fever Syndromes and Related Diseases;General Leukodystrophy & Mitochondrial Leukoencephalopathy;Type 1 interferonopathies	TRUE
IFIH1	HGNC:18873	interferon induced with helicase C domain 1	15	14	42;176;180;249;285;315;398;402;478;486;490;496;568;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Glaucoma (developmental);Hypotonic infant;Infantile enterocolitis & monogenic inflammatory bowel disease;Inherited white matter disorders;Intellectual disability;Intracerebral calcification disorders;Paediatric disorders;Primary immunodeficiency or monogenic inflammatory bowel disease;Structural basal ganglia disorders;Unexplained death in infancy and sudden unexplained death in childhood	BOTH monoallelic and biallelic, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	AICARDI-GOUTIERES SYNDROME 7, OMIM:615846;Aicardi-Goutieres syndrome 7, OMIM:615846;Aicardi-Goutieres syndrome 7, OMIM:615846 (AD);Inflammatory Bowel Disease;SINGLETON-MERTEN SYNDROME, OMIM:182250;Singleton-Merten syndrome 1, OMIM:182250;Singleton-Merten syndrome 1, OMIM:182250 (AD);Susceptibility to RNA viruses (AR)	TRUE
ALMS1	HGNC:428	ALMS1, centrosome and basal body associated protein	16	13	126;130;150;156;249;285;307;478;486;490;496;546;678;749;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Glaucoma (developmental);Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders;Paediatric or syndromic cardiomyopathy;Rare multisystem ciliopathy disorders;Retinal disorders;Severe early-onset obesity;Severe insulin resistance and lipodystrophy syndromes;Unexplained death in infancy and sudden unexplained death in childhood;Unexplained kidney failure in young people;Unexplained young onset end-stage renal disease	BIALLELIC, autosomal or pseudoautosomal	#203800: Alstrom syndrome;203800;ALSTROM SYNDROME;ALSTROM SYNDROME 203800;ALSTROM SYNDROME, 203800;Alstrom Syndrome;Alstrom Syndrome #203800;Alstrom syndrome;Alstrom syndrome, 203800;Alstrom syndrome, OMIM:203800;Bardet-Biedl Syndrome;Eye Disorders;OMIM 203800;Polydactyly	TRUE
CACNA1A	HGNC:1388	calcium voltage-gated channel subunit alpha1 A	16	13	20;90;192;229;232;246;285;402;478;486;488;490;496;511;847;1220	Albinism or congenital nystagmus;Brain channelopathy;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Congenital myaesthenic syndrome;Early onset dystonia;Early onset or syndromic epilepsy;Fetal anomalies;Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Infantile nystagmus;Intellectual disability;Paediatric disorders;Skeletal Muscle Channelopathies;Unexplained death in infancy and sudden unexplained death in childhood	BOTH monoallelic and biallelic, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Developemental and epileptic encephalopathy 42, OMIM:617106;Developmental and epileptic encephalopathy 42, OMIM:617106;EPILEPTIC ENCEPHALOPATHY;Episodic ataxia, type 2, OMIM:108500;Lambert-Eaton myasthenic syndrome, MONDO:0018556;Migraine, familial hemiplegic, 1, OMIM:141500;Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, OMIM:141500;developmental and epileptic encephalopathy, 42, MONDO:0014917	TRUE
OPA3	HGNC:8142	OPA3, outer mitochondrial membrane lipid metabolism regulator	15	13	20;39;85;165;230;249;285;307;486;488;490;496;568;847;1220	Bilateral congenital or childhood onset cataracts;Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Glaucoma (developmental);Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary neuropathy;Hereditary spastic paraplegia;Hypotonic infant;Intellectual disability;Paediatric disorders;Parkinson Disease and Complex Parkinsonism;Retinal disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	3-methylglutaconic aciduria, type III, 258501;3-methylglutaconic aciduria, type III, 258501Optic atrophy 3 with cataract, 165300;Autosomal Dominant Optic Atrophy;Cognitive regression;Costeff syndrome;Eye Disorders;Infantile optic atrophy, additionally, extra pyramidal disorder (chorea), ataxia, cognitive defects, axonal sensory neuropathy, autonomic neuropathy, pseudo-obstruction;Methylglutaconic aciduria type III, Costeff syndrome (Organic acidurias);Optic atrophy 3 with cataract, 165300;autosomal dominant optic atrophy with cataract (ADOAC)	TRUE
RNASEH2B	HGNC:25671	ribonuclease H2 subunit B	15	13	42;165;192;239;285;315;398;402;478;486;490;496;568;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Early onset dystonia;Early onset or syndromic epilepsy;Fetal anomalies;Hereditary spastic paraplegia;Hypotonic infant;Inherited white matter disorders;Intellectual disability;Intracerebral calcification disorders;Juvenile dermatomyositis;Paediatric disorders;Primary immunodeficiency or monogenic inflammatory bowel disease;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	AICARDI-GOUTIERES SYNDROME 2 610181;Aicardi Goutieres Syndrome;Aicardi-Goutieres syndrome 2, OMIM:61018;Aicardi-Goutieres syndrome 2, OMIM:610181	TRUE
