gene_symbol	hgnc_id	gene_name	panel_count	green_panel_count	panel_ids	panel_names	modes_of_inheritance	phenotypes	has_panelapp_green_support
MKS1	HGNC:7121	Meckel syndrome, type 1	15	10	101;130;150;156;249;285;307;385;478;486;488;490;496;678;847	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Glaucoma (developmental);Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Neonatal cholestasis;Paediatric disorders;Rare multisystem ciliopathy disorders;Retinal disorders;Severe early-onset obesity;Unexplained kidney failure in young people;Unexplained young onset end-stage renal disease;VACTERL-like phenotypes	BIALLELIC, autosomal or pseudoautosomal	249000;BARDET-BIEDL SYNDROME TYPE 13;BARDET-BIEDL SYNDROME TYPE 13 209900;Bardet-Biedl syndrome;Bardet-Biedl syndrome 13 615990;Bardet-Biedl syndrome 13, OMIM:615990;Ciliopathy genes associated with cystic kidney disease;Eye Disorders;Joubert syndrome;Joubert syndrome 28;Joubert syndrome 28, 617121;MECKEL SYNDROME TYPE 1;MECKEL SYNDROME TYPE 1 (MKS1);MECKEL SYNDROME TYPE 1 249000;MKS1;Meckel syndrome;Meckel syndrome 1 249000;Meckel syndrome 1, 249000;Meckel-Gruber Syndrome (MGS);Meckel-Gruber syndrome;Obesity;Polydactyly;occipital encephalocele;polycystic kidneys;polydactyly;renal fibrosis	TRUE
RRM2B	HGNC:17296	ribonucleotide reductase regulatory TP53 inducible subunit M2B	15	10	42;61;156;234;285;402;478;486;490;496;532;678;847;1217;1220	CAKUT;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Gastrointestinal neuromuscular disorders;Hypotonic infant;Inherited white matter disorders;Intellectual disability;Mitochondrial liver disease, including transient infantile liver failure;Paediatric disorders;Paediatric pseudo-obstruction syndrome;Unexplained death in infancy and sudden unexplained death in childhood;Unexplained kidney failure in young people;Unexplained young onset end-stage renal disease	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal	612075;Disorders of mitochondrial DNA maintenance and integrity;Intellectual disability;Mitochondrial DNA Depletion Syndrome (recessive);Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy);Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy)	612075;Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy) 612075;Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy), 612075;Mitochondrial DNA depletion syndrome 8A (encephalomyopathic type with renal tubulopathy), OMIM:612075;Mitochondrial DNA depletion syndrome 8A (encephalomyopathic,renal tubulopathy), 612075;Mitochondrial DNA depletion syndrome 8B (MNGIE type);Mitochondrial DNA depletion syndrome 8B (MNGIE type)	612075;Mitochondrial DNA depletion syndrome 8B (MNGIE type) 612075;Mitochondrial DNA depletion syndrome 8B (MNGIE type), 612075;Mitochondrial DNA depletion syndrome 8B (MNGIE type), OMIM:612075;Mitochondrial Ribonucelotide Reductase subunit 2 deficiency (Disorders of purine metabolism);Mitochondrial depletion syndrome;Progressive external ophthalmoplegia with mitochondrial DNA deletions (autosomal dominant);Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5	613077;Progressive external ophthalmoplegia with mitochondrial DNA deletions, autosomal dominant 5, 613077;Required for mtDNA maintenance  (Mitochondrial respiratory chain disorders (caused by nuclear variants only));Rod-cone dystrophy, sensorineural deafness, and Fanconi-type renal dysfunction, OMIM:268315;seizures;status epilepticus	TRUE
BBS1	HGNC:966	Bardet-Biedl syndrome 1	14	10	126;130;150;156;249;285;307;478;486;488;490;496;678;847	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Glaucoma (developmental);Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders;Rare multisystem ciliopathy disorders;Retinal disorders;Severe early-onset obesity;Unexplained kidney failure in young people;Unexplained young onset end-stage renal disease	BIALLELIC, autosomal or pseudoautosomal	268000;Bardet Biedl syndrome 1;Bardet Biedl syndrome 11;Bardet Biedl syndrome 13;Bardet-Biedl syndrome 1 MONDO:0008854;Bardet-Biedl syndrome 1 OMIM:209900;Bardet‐Biedl syndrome 1;Bardet‐Biedl syndrome 11;Bardet‐Biedl syndrome 13;Ciliopathy genes associated with cystic kidney disease;Eye Disorders;Polydactyly	TRUE
LARGE1	HGNC:6511	LARGE xylosyl- and glucuronyltransferase 1	14	10	25;126;207;230;285;286;402;478;486;488;490;496;847;1220	Bilateral congenital or childhood onset cataracts;Cerebellar hypoplasia;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Congenital disorders of glycosylation;Congenital muscular dystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Confirmed DD gene for Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies) type A6;Congenital Muscular Dystrophy, alpha-dystroglycan related;Intellectual disability;MDDGA6;MDDGB6;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A6;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A6 613154;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH MENTAL RETARDATION TYPE B6;MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH MENTAL RETARDATION TYPE B6 608840;Muscle-eye-brain disease;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6 613154;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6, 613154;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 6, OMIM:613154;Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 6, OMIM:608840;Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6 608840;Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 6, 608840;N-acetylglucosaminyltransferase-like protein deficiency (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies);N-acetylglucosaminyltransferase-like protein deficiency (Disorders of protein O-glycosylation, O-mannosylglycan synthesis deficiencies);Walker-Warburg syndrome;congenital muscular dystrophy-dystroglycanopathy with mental retardation	TRUE
MT-ATP6	HGNC:7414	mitochondrially encoded ATP synthase 6	14	10	20;85;180;229;246;285;307;486;488;490;496;511;847;1220	Albinism or congenital nystagmus;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary neuropathy;Hypotonic infant;Infantile nystagmus;Intellectual disability;Paediatric disorders;Retinal disorders;Skeletal Muscle Channelopathies;Structural basal ganglia disorders;Unexplained death in infancy and sudden unexplained death in childhood	MITOCHONDRIAL	MITOCHONDRIAL COMPLEX V (ATP SYNTHASE) DEFICIENCY, MITOCHONDRIAL TYPE 1;NARP syndrome, MONDO:0010794;Neuropathy, Ataxia, and Retinitis Pigmentosa;Nystagmus;Optic neuropathy and nystagmus;Retinal degeneration and nystagmus;n/a	TRUE
MVK	HGNC:7530	mevalonate kinase	14	10	20;144;176;285;307;385;398;478;486;488;490;496;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Fetal hydrops;Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Infantile enterocolitis & monogenic inflammatory bowel disease;Intellectual disability;Neonatal cholestasis;Paediatric disorders;Primary immunodeficiency or monogenic inflammatory bowel disease;Retinal disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Autoinflammatory Disorders;Hyper-IgD syndrome, OMIM:260920;Mevalonic aciduria, OMIM:610377;Periodic fever and leukocytosis with high IgD levels;Porokeratosis 3, multiple types, OMIM:175900;retinitis pigmentosa, MONDO:0019200	TRUE
PEX7	HGNC:8860	peroxisomal biogenesis factor 7	14	10	85;144;230;249;285;307;385;402;478;486;490;496;847;1220	Bilateral congenital or childhood onset cataracts;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Fetal hydrops;Glaucoma (developmental);Hereditary neuropathy;Hypotonic infant;Intellectual disability;Neonatal cholestasis;Paediatric disorders;Retinal disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Eye Disorders;Hereditary Neuropathies;PEROXISOME BIOGENESIS DISORDER COMPLEMENTATION GROUP 11;PEROXISOME BIOGENESIS DISORDER COMPLEMENTATION GROUP 11 601757;Peroxisome biogenesis disorder 9B 614879;Peroxisome biogenesis disorder 9B,  614879;Peroxisome biogenesis disorder 9B, 614879;Peroxisome biogenesis disorder 9B, OMIM:614879;REFSUM DISEASE;REFSUM DISEASE (RD);REFSUM DISEASE 266500;RHIZOMELIC CHONDRODYSPLASIA PUNCTATA TYPE 1;RHIZOMELIC CHONDRODYSPLASIA PUNCTATA TYPE 1 215100;Refsum disease;Rhizomelic CDP type 1;Rhizomelic chondrodysplasia punctata type 1 (Peroxisomal disorders);Rhizomelic chondrodysplasia punctata, type 1;Rhizomelic chondrodysplasia punctata, type 1 215100;Rhizomelic chondrodysplasia punctata, type 1, 215100;Rhizomelic chondrodysplasia punctata, type 1, OMIM:215100	TRUE
RPGRIP1L	HGNC:29168	RPGRIP1 like	14	10	101;150;156;234;249;285;307;478;486;488;490;496;678;847	CAKUT;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Glaucoma (developmental);Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders;Rare multisystem ciliopathy disorders;Retinal disorders;Unexplained kidney failure in young people;Unexplained young onset end-stage renal disease;VACTERL-like phenotypes	BIALLELIC, autosomal or pseudoautosomal	COACH SYNDROME;COACH SYNDROME (COACHS);COACH SYNDROME 216360;COACH syndrome;COACH syndrome 216360;Ciliopathy genes associated with cystic kidney disease;Eye Disorders;JOUBERT SYNDROME TYPE 7;JOUBERT SYNDROME TYPE 7 611560;Joubert syndrome;Joubert syndrome 7;Joubert syndrome 7 611560;Joubert syndrome 7, 611560Meckel syndrome 5, 611561COACH syndrome, 216360;MECKEL SYNDROME TYPE 5;MECKEL SYNDROME TYPE 5 611561;Meckel syndrome;Meckel syndrome 5;Meckel syndrome 5 611561;Meckel-Gruber syndrome;Polydactyly	TRUE
ABHD12	HGNC:15868	abhydrolase domain containing 12	13	10	20;85;126;230;249;285;307;486;488;490;496;847;1220	Bilateral congenital or childhood onset cataracts;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Glaucoma (developmental);Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary neuropathy;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders;Retinal disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	#612674;Ataxia Spasticity Extensor plantar responses;Congenital hearing impairment (profound/severe);Decreased nerve conduction velocities;Demyelinating neuropathy;Distal muscle atrophy due to neurologic disease;Distal sensory loss;Dysarthria Dysmetria Cerebellar atrophy;Eye Disorders;Hearing loss;Hearing loss, sensorineural;Hereditary ataxia;Hyperreflexia Intention;Hyporeflexia;Neurodegeneration, childhood-onset, with cerebellar atrophy,612674;Normal serum phytanic and pristanic acid;Nystagmus;Onset 2nd decade, neuropathy with SNCV, sensory neuronal hearing loss, retinitis pigmentosa, spastic paraplegia, ataxia;Optic atrophy;PHARC syndrome (Disorders of complex lipid synthesis);PHARC syndrome, MONDO:0012984;Pes cavus Achilles tendon contracture;Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa and Cataract (PHARC);Polyneuropathy, Hearing Loss, Ataxia, Retinitis Pigmentosa andCataract (PHARC);Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract;Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 612674;Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, 614857;Polyneuropathy, hearing loss, ataxia, retinitis pigmentosa, and cataract, OMIM:612674;Posterior segment abnormalities;Retinitis pigmentosa;Sensorimotor peripheral neuropathy;Subcapsular cataracts;hearing loss;tremor	TRUE
AMPD2	HGNC:469	adenosine monophosphate deaminase 2	13	10	20;165;285;286;402;478;486;488;490;496;568;847;1220	Cerebellar hypoplasia;Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hereditary ataxia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary spastic paraplegia;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	?Spastic paraplegia 63, 615686, AR;Hereditary Spastic Paraplegia?;PONTOCEREBELLAR HYPOPLASIA;Pontocerebellar hypolplasia (biallelic);Pontocerebellar hypoplasia 9 (#615809);Pontocerebellar hypoplasia, type 9 615809;Pontocerebellar hypoplasia, type 9, 615809;Pontocerebellar hypoplasia, type 9, 615809, AR;Spastic paraplegia homozygous frameshift reported in single family (Novarino et al, 2014).;pontocerebellar hypoplasia type 9, 615809	TRUE
ATAD3A	HGNC:25567	ATPase family, AAA domain containing 3A	13	10	230;285;286;398;478;486;488;490;496;568;749;847;1220	Bilateral congenital or childhood onset cataracts;Cerebellar hypoplasia;Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Fetal anomalies;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders;Paediatric or syndromic cardiomyopathy;Primary immunodeficiency or monogenic inflammatory bowel disease;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	ATAD3A disorder -  global developmental delay, hypotonia, optic atrophy, axonal neuropathy, and hypertrophic cardiomyopathy;ATAD3A disorder - global developmental delay, hypotonia, optic atrophy, axonal neuropathy, and hypertrophic cardiomyopathy;Autoimmunity;Basal ganglia calcifications;Contractures;Developmental delay;Dystonia;Harel-Yoon syndrome 617183;Harel-Yoon syndrome, MONDO:0014958;Harel-Yoon syndrome, OMIM:617183;Hypotonia;Interferonopathy;Lactic acidosis;Methylglutaconic aciduria;Pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, OMIM:618810;Spastic paraplegia;Systemic sclerosis;pontocerebellar hypoplasia, hypotonia, and respiratory insufficiency syndrome, neonatal lethal, MONDO:0032931	TRUE
ATP1A2	HGNC:800	ATPase Na+/K+ transporting subunit alpha 2	13	10	90;126;144;192;229;285;402;478;486;490;496;847;1220	Brain channelopathy;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Early onset dystonia;Early onset or syndromic epilepsy;Fetal anomalies;Fetal hydrops;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders;Skeletal Muscle Channelopathies;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	ATP1A2-related epileptic encephalopathy;Alternating hemiplegia of childhood 1, 104290;Alternating hemiplegia of childhood, 104290Migraine, familial basilar, 602481Migraine, familial hemiplegic, 2, 602481;Autosomal recessive ATP1A2-related neuronal migration disorder with epilepsy;Dystonia;Fetal akinesia, respiratory insufficiency, microcephaly, polymicrogyria, and dysmorphic facies, OMIM:619602;Hypokalaemic periodic paralysis;MIGRAINE, FAMILIAL HEMIPLEGIC, ATP1A2-related;Migraine, familial basilar, 602481;Migraine, familial hemiplegic, 2 602481;Migraine, familial hemiplegic, 2, 602481;alternating hemiplegia of childhood 104290;arthrogryposis;benign familial infantile convulsions;epilepsy and migraine;extensive cortical malformations;familial basilar migraine 	602481;familial basilar migraine 602481;familial hemiplegic migraine type 2, 602481;hydrops fetalis;infantile epileptic syndrome;microcephaly;migraine;occipitotemporal epilepsy	TRUE
COQ2	HGNC:25223	coenzyme Q2, polyprenyltransferase	13	10	42;156;285;293;307;402;478;486;490;496;678;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hypotonic infant;Inherited white matter disorders;Intellectual disability;Neonatal diabetes;Paediatric disorders;Retinal disorders;Unexplained death in infancy and sudden unexplained death in childhood;Unexplained kidney failure in young people;Unexplained young onset end-stage renal disease	BIALLELIC, autosomal or pseudoautosomal	COENZYME Q10 DEFICIENCY 607426;Coenzyme Q10 deficiency, primary, 1 607426;Coenzyme Q10 deficiency, primary, 1, OMIM:607426;General Leukodystrophy & Mitochondrial Leukoencephalopathy;coenzyme Q10 deficiency, primary, 1, MONDO:0011829;neonatal hyperglycaemia, Primary Coenzyme Q10 Deficiency;{Multiple system atrophy, susceptibility to} 146500	TRUE
FA2H	HGNC:21197	fatty acid 2-hydroxylase	13	10	42;85;165;180;192;285;486;488;490;496;568;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Early onset dystonia;Hereditary ataxia and cerebellar anomalies - childhood onset;Hereditary neuropathy;Hereditary spastic paraplegia;Hypotonic infant;Inherited white matter disorders;Intellectual disability;Paediatric disorders;Structural basal ganglia disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Dystonia;SPG35, Childhood onset spasticity, cognitive decline and leukodystrophy. Mild sensory axonal neuropathy on NCS. Epilepsy, dysphagia, dysarthria and dystonia also observed;Seizures;Spastic paraplegia 35, autosomal recessive;Spastic paraplegia 35, autosomal recessive	612319;Spastic paraplegia 35, autosomal recessive 612319;Spastic paraplegia 35, autosomal recessive OMIM:612319;Spastic paraplegia 35, autosomal recessive, 612319;Spastic paraplegia 35, autosomal recessive, OMIM:612319;cognitive defects;fatty acid hydroxylase-associated neurodegeneration;hereditary spastic paraplegia 35 MONDO:0012866;hereditary spastic paraplegia 35, MONDO:0012866;spastic paraplegia with ID	TRUE
FLNA	HGNC:3754	filamin A	13	10	61;212;247;285;402;478;486;490;496;514;1217;1220;1638	Childhood interstitial lung disease;Childhood onset leukodystrophy;Early onset or syndromic epilepsy;Familial non syndromic congenital heart disease;Fetal anomalies;Gastrointestinal neuromuscular disorders;Hypotonic infant;Intellectual disability;Intestinal failure or congenital diarrhoea;Paediatric disorders;Paediatric pseudo-obstruction syndrome;Radial dysplasia;Unexplained death in infancy and sudden unexplained death in childhood	X-LINKED: hemizygous mutation in males, biallelic mutations in females;X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	?FG syndrome 2, OMIM:300321;Cardiac valvular dysplasia, X-linked, OMIM:314400;Childhood Interstitial Lung Disease;Congenital short bowel syndrome, OMIM:300048;EPILEPTIC ENCEPHALOPATHY;FG SYNDROME TYPE 2;FG SYNDROME TYPE 2 300321;FRONTOMETAPHYSEAL DYSPLASIA;FRONTOMETAPHYSEAL DYSPLASIA 305620;Frontometaphyseal dysplasia 1, OMIM:305620;Heterotopia, periventricular OMIM:300049;Heterotopia, periventricular, 1, OMIM:300049;Intestinal pseudoobstruction, neuronal, OMIM:300048;MELNICK-NEEDLES SYNDROME;MELNICK-NEEDLES SYNDROME 309350;Melnick-Needles syndrome, OMIM:309350;OTOPALATODIGITAL SYNDROME TYPE 1;OTOPALATODIGITAL SYNDROME TYPE 1 311300;OTOPALATODIGITAL SYNDROME TYPE 2;OTOPALATODIGITAL SYNDROME TYPE 2 304120;Otopalatodigital syndrome, type I, OMIM:311300;Otopalatodigital syndrome, type II, OMIM:304120;PERIVENTRICULAR NODULAR HETEROTOPIA 1 300049;PERIVENTRICULAR NODULAR HETEROTOPIA TYPE 1;TERMINAL OSSEOUS DYSPLASIA;TERMINAL OSSEOUS DYSPLASIA 300244;Terminal osseous dysplasia, OMIM:300244;X-LINKED CONGENITAL IDIOPATHIC INTESTINAL PSEUDOOBSTRUCTION;X-LINKED CONGENITAL IDIOPATHIC INTESTINAL PSEUDOOBSTRUCTION 300048;heterotopia, periventricular, X-linked dominant, MONDO:0010233	TRUE
GCH1	HGNC:4193	GTP cyclohydrolase 1	13	10	39;165;192;219;285;402;478;486;490;496;568;847;1220	Childhood onset dystonia, chorea or related movement disorder;Childhood onset hereditary spastic paraplegia;Childhood onset leukodystrophy;Early onset dystonia;Early onset or syndromic epilepsy;Fetal anomalies;Hereditary spastic paraplegia;Hypotonic infant;Intellectual disability;Neurotransmitter disorders;Paediatric disorders;Parkinson Disease and Complex Parkinsonism;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal;BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal;BOTH monoallelic and biallelic, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	DYSTONIA TYPE 5;DYSTONIA TYPE 5 (DYT5);DYSTONIA TYPE 5 128230;Dopa-Responsive Dystonia (DRD);Dopa-responsive dystonia;Dystonia;Dystonia, DOPA-responsive, with or without hyperphenylalaninemia;Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, (AD/AR),128230;Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, 128230;Dystonia, DOPA-responsive, with or without hyperphenylalaninemia, 128230Hyperphenylalaninemia, BH4-deficient, B, 233910;GTP CYCLOHYDROLASE 1 DEFICIENCY;GTP CYCLOHYDROLASE 1 DEFICIENCY 233910;GTP-cyclohydrolase deficiency;Hyperphenylalaninemia, BH4-deficient, B, (AR) 233910;Hyperphenylalaninemia, BH4-deficient, B, 233910;Spastic paraplegia;progressive spastic paraplegia;seizures	TRUE
HTRA2	HGNC:14348	HtrA serine peptidase 2	13	10	39;126;192;225;230;285;398;402;486;490;496;847;1220	Bilateral congenital or childhood onset cataracts;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Congenital myopathy;Early onset dystonia;Early onset or syndromic epilepsy;Hypotonic infant;Intellectual disability;Monogenic hearing loss;Paediatric disorders;Parkinson Disease and Complex Parkinsonism;Primary immunodeficiency or monogenic inflammatory bowel disease;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal;MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	3-methylglutaconic aciduria, type VIII;3-methylglutaconic aciduria, type VIII	617248;3-methylglutaconic aciduria, type VIII 617248;3-methylglutaconic aciduria, type VIII, 617248;3-methylglutaconic aciduria, type VIII, OMIM:617248;Early-onset mitochondrial syndrome associated with 3-methylglutaconic aciduria;Parkinson Disease, Dominant;Parkinson disease 13, 610297;early onset neurological syndrome;neutropenia	TRUE
ISPD	HGNC:37276	isoprenoid synthase domain containing	13	10	25;207;230;285;286;402;478;486;488;490;496;847;1220	Bilateral congenital or childhood onset cataracts;Cerebellar hypoplasia;Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Congenital disorders of glycosylation;Congenital muscular dystrophy;Early onset or syndromic epilepsy;Fetal anomalies;Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Paediatric disorders;Unexplained death in infancy and sudden unexplained death in childhood	BIALLELIC, autosomal or pseudoautosomal	Congenital Muscular Dystrophy, alpha-dystroglycan related;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7	614643;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7  614643;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7, 614643;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 7, OMIM:614643;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 7	616052;Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 7, 616052;WALKER WARBURG SYNDROME;WALKER WARBURG SYNDROME 614643;Walker-Warburg syndrome;congenital muscular dystrophy;limb girdle muscular dystrophy	TRUE
NPHP1	HGNC:7905	nephrocystin 1	13	10	150;156;249;285;307;385;478;486;488;490;496;678;847	Childhood onset dystonia, chorea or related movement disorder;Childhood onset leukodystrophy;Fetal anomalies;Glaucoma (developmental);Hereditary ataxia and cerebellar anomalies - childhood onset;Hypotonic infant;Intellectual disability;Neonatal cholestasis;Paediatric disorders;Rare multisystem ciliopathy disorders;Retinal disorders;Unexplained kidney failure in young people;Unexplained young onset end-stage renal disease	BIALLELIC, autosomal or pseudoautosomal	256100 Senior-Loken syndrome-1, 266900;609583 Nephronophthisis 1, juvenile;Ciliopathy genes associated with cystic kidney disease;Eye Disorders;JOUBERT SYNDROME TYPE 4;JOUBERT SYNDROME TYPE 4 609583;Joubert syndrome 4;Joubert syndrome 4	609583;Joubert syndrome 4, OMIM:609583;Joubert syndrome with renal defect, MONDO:0012308;N/A;NEPHRONOPHTHISIS TYPE 1;NEPHRONOPHTHISIS TYPE 1 256100;Nephronophthisis;Nephronophthisis 1, juvenile	256100;Nephronophthisis 1, juvenile, 256100Senior-Loken syndrome-1, 266900Joubert syndrome 4, 609583;Nephronophthisis 1, juvenile, OMIM:256100;SENIOR-LOKEN SYNDROME TYPE 1;SENIOR-LOKEN SYNDROME TYPE 1 (SLSN1);SENIOR-LOKEN SYNDROME TYPE 1 266900;Senior-Loken syndrome;Senior-Loken syndrome 1, MONDO:0009962;Senior-Loken syndrome-1	266900;Senior-Loken syndrome-1, OMIM:266900;nephronophthisis 1, MONDO:0009728	TRUE
