source	source_disease_id	mondo_id	mapping_type	mapping_source
OMIM	OMIM:607948	MONDO:0000070	xref	mondo_obo_xref
OMIM	OMIM:616033	MONDO:0000208	xref	mondo_obo_xref
OMIM	OMIM:218000	MONDO:0000902	xref	mondo_obo_xref
OMIM	OMIM:615616	MONDO:0000908	xref	mondo_obo_xref
OMIM	OMIM:613090	MONDO:0000909	xref	mondo_obo_xref
OMIM	OMIM:312612	MONDO:0000910	xref	mondo_obo_xref
OMIM	OMIM:613740	MONDO:0000911	xref	mondo_obo_xref
OMIM	OMIM:600792	MONDO:0000912	xref	mondo_obo_xref
OMIM	OMIM:616649	MONDO:0000913	xref	mondo_obo_xref
OMIM	OMIM:125310	MONDO:0000914	xref	mondo_obo_xref
OMIM	OMIM:207500	MONDO:0001046	xref	mondo_obo_xref
OMIM	OMIM:301800	MONDO:0001046	xref	mondo_obo_xref
OMIM	OMIM:613659	MONDO:0001056	xref	mondo_obo_xref
OMIM	OMIM:109800	MONDO:0001187	xref	mondo_obo_xref
OMIM	OMIM:608516	MONDO:0002009	xref	mondo_obo_xref
OMIM	OMIM:102660	MONDO:0002422	xref	mondo_obo_xref
OMIM	OMIM:259500	MONDO:0002629	xref	mondo_obo_xref
OMIM	OMIM:424500	MONDO:0002697	xref	mondo_obo_xref
OMIM	OMIM:603956	MONDO:0002974	xref	mondo_obo_xref
OMIM	OMIM:605074	MONDO:0003789	xref	mondo_obo_xref
OMIM	OMIM:615026	MONDO:0004573	xref	mondo_obo_xref
OMIM	OMIM:603174	MONDO:0004743	xref	mondo_obo_xref
OMIM	OMIM:151400	MONDO:0004948	xref	mondo_obo_xref
OMIM	OMIM:609423	MONDO:0004951	xref	mondo_obo_xref
OMIM	OMIM:603165	MONDO:0004980	xref	mondo_obo_xref
OMIM	OMIM:606963	MONDO:0005002	xref	mondo_obo_xref
OMIM	OMIM:181500	MONDO:0005090	xref	mondo_obo_xref
OMIM	OMIM:222100	MONDO:0005147	xref	mondo_obo_xref
OMIM	OMIM:125853	MONDO:0005148	xref	mondo_obo_xref
OMIM	OMIM:209850	MONDO:0005260	xref	mondo_obo_xref
OMIM	OMIM:166710	MONDO:0005298	xref	mondo_obo_xref
OMIM	OMIM:114500	MONDO:0005575	xref	mondo_obo_xref
OMIM	OMIM:600669	MONDO:0005579	xref	mondo_obo_xref
OMIM	OMIM:223100	MONDO:0006065	xref	mondo_obo_xref
OMIM	OMIM:156240	MONDO:0006292	xref	mondo_obo_xref
OMIM	OMIM:155720	MONDO:0006486	xref	mondo_obo_xref
OMIM	OMIM:135580	MONDO:0006761	xref	mondo_obo_xref
OMIM	OMIM:100050	MONDO:0007030	xref	mondo_obo_xref
OMIM	OMIM:100100	MONDO:0007032	xref	mondo_obo_xref
OMIM	OMIM:100200	MONDO:0007033	xref	mondo_obo_xref
OMIM	OMIM:100700	MONDO:0007036	xref	mondo_obo_xref
OMIM	OMIM:100800	MONDO:0007037	xref	mondo_obo_xref
OMIM	OMIM:100820	MONDO:0007038	xref	mondo_obo_xref
OMIM	OMIM:101000	MONDO:0007039	xref	mondo_obo_xref
OMIM	OMIM:101120	MONDO:0007040	xref	mondo_obo_xref
OMIM	OMIM:101200	MONDO:0007041	xref	mondo_obo_xref
OMIM	OMIM:101400	MONDO:0007042	xref	mondo_obo_xref
OMIM	OMIM:101600	MONDO:0007043	xref	mondo_obo_xref
OMIM	OMIM:101800	MONDO:0007044	xref	mondo_obo_xref
OMIM	OMIM:101805	MONDO:0007045	xref	mondo_obo_xref
OMIM	OMIM:101840	MONDO:0007046	xref	mondo_obo_xref
OMIM	OMIM:101850	MONDO:0007047	xref	mondo_obo_xref
OMIM	OMIM:101900	MONDO:0007048	xref	mondo_obo_xref
OMIM	OMIM:102000	MONDO:0007049	xref	mondo_obo_xref
OMIM	OMIM:102100	MONDO:0007050	xref	mondo_obo_xref
OMIM	OMIM:102150	MONDO:0007051	xref	mondo_obo_xref
OMIM	OMIM:102200	MONDO:0007052	xref	mondo_obo_xref
OMIM	OMIM:102300	MONDO:0007053	xref	mondo_obo_xref
OMIM	OMIM:102350	MONDO:0007054	xref	mondo_obo_xref
OMIM	OMIM:102370	MONDO:0007055	xref	mondo_obo_xref
OMIM	OMIM:102400	MONDO:0007056	xref	mondo_obo_xref
OMIM	OMIM:102500	MONDO:0007057	xref	mondo_obo_xref
OMIM	OMIM:102510	MONDO:0007058	xref	mondo_obo_xref
OMIM	OMIM:102520	MONDO:0007059	xref	mondo_obo_xref
OMIM	OMIM:102530	MONDO:0007060	xref	mondo_obo_xref
OMIM	OMIM:102590	MONDO:0007061	xref	mondo_obo_xref
OMIM	OMIM:102650	MONDO:0007062	xref	mondo_obo_xref
OMIM	OMIM:102700	MONDO:0007064	xref	mondo_obo_xref
OMIM	OMIM:102800	MONDO:0007066	xref	mondo_obo_xref
OMIM	OMIM:102900	MONDO:0007067	xref	mondo_obo_xref
OMIM	OMIM:103050	MONDO:0007068	xref	mondo_obo_xref
OMIM	OMIM:103200	MONDO:0007070	xref	mondo_obo_xref
OMIM	OMIM:103230	MONDO:0007071	xref	mondo_obo_xref
OMIM	OMIM:103285	MONDO:0007072	xref	mondo_obo_xref
OMIM	OMIM:103300	MONDO:0007073	xref	mondo_obo_xref
OMIM	OMIM:103400	MONDO:0007074	xref	mondo_obo_xref
OMIM	OMIM:103420	MONDO:0007075	xref	mondo_obo_xref
OMIM	OMIM:103500	MONDO:0007077	xref	mondo_obo_xref
OMIM	OMIM:103580	MONDO:0007078	xref	mondo_obo_xref
OMIM	OMIM:103780	MONDO:0007079	xref	mondo_obo_xref
OMIM	OMIM:103900	MONDO:0007080	xref	mondo_obo_xref
OMIM	OMIM:104000	MONDO:0007082	xref	mondo_obo_xref
OMIM	OMIM:104100	MONDO:0007083	xref	mondo_obo_xref
OMIM	OMIM:104110	MONDO:0007084	xref	mondo_obo_xref
OMIM	OMIM:104130	MONDO:0007085	xref	mondo_obo_xref
OMIM	OMIM:104200	MONDO:0007086	xref	mondo_obo_xref
OMIM	OMIM:104290	MONDO:0007087	xref	mondo_obo_xref
OMIM	OMIM:104300	MONDO:0007088	xref	mondo_obo_xref
OMIM	OMIM:104310	MONDO:0007089	xref	mondo_obo_xref
OMIM	OMIM:104350	MONDO:0007090	xref	mondo_obo_xref
OMIM	OMIM:104400	MONDO:0007091	xref	mondo_obo_xref
OMIM	OMIM:104500	MONDO:0007092	xref	mondo_obo_xref
OMIM	OMIM:104510	MONDO:0007093	xref	mondo_obo_xref
OMIM	OMIM:104530	MONDO:0007094	xref	mondo_obo_xref
OMIM	OMIM:104570	MONDO:0007095	xref	mondo_obo_xref
OMIM	OMIM:104600	MONDO:0007096	xref	mondo_obo_xref
OMIM	OMIM:105120	MONDO:0007097	xref	mondo_obo_xref
OMIM	OMIM:105150	MONDO:0007098	xref	mondo_obo_xref
OMIM	OMIM:105200	MONDO:0007099	xref	mondo_obo_xref
OMIM	OMIM:105300	MONDO:0007102	xref	mondo_obo_xref
OMIM	OMIM:105400	MONDO:0007103	xref	mondo_obo_xref
OMIM	OMIM:105500	MONDO:0007104	xref	mondo_obo_xref
OMIM	OMIM:105550	MONDO:0007105	xref	mondo_obo_xref
OMIM	OMIM:105563	MONDO:0007106	xref	mondo_obo_xref
OMIM	OMIM:105565	MONDO:0007107	xref	mondo_obo_xref
OMIM	OMIM:105580	MONDO:0007108	xref	mondo_obo_xref
OMIM	OMIM:105600	MONDO:0007109	xref	mondo_obo_xref
OMIM	OMIM:105650	MONDO:0007110	xref	mondo_obo_xref
OMIM	OMIM:105800	MONDO:0007111	xref	mondo_obo_xref
