gene_symbol	panelapp_phenotype
PMM2	Congenital disorder of glycosylation, type Ia #212065
PMM2	Congenital disorder of glycosylation, type Ia 212065
PMM2	Congenital disorder of glycosylation, type Ia, 212065
PMM2	Hyperinsulinemic Hypoglycaemia
PMM2	Neonatal onset, leukodystrophy, abnormal serum glycoproteins, mental retardation, hypotonia, ataxia, retinitis pigmentosa, seizures, slowly progressive neuropathy with SNCV, severe infections, hepatic insufficiency and cardiomyopathy
PMM2	Phosphomannomutase 2 deficiency (Disorders of protein N-glycosylation)
PMM2	nonimmune hydrops fetalis
PMM2	polycystic kidney disease
ADAR	AICARDI-GOUTIERES SYNDROME ASSOCIATED WITH A TYPE I INTERFERON SIGNATURE 615010
ADAR	Aicardi-Goutieres syndrome 6, OMIM:615010
ADAR	Autoinflammatory Disorders
ADAR	DYSCHROMATOSIS SYMMETRICA HEREDITARIA 1 127400
ADAR	Dyschromatosis symmetrica hereditaria, OMIM:127400
ADAR	Fever Syndromes and Related Diseases
ADAR	General Leukodystrophy & Mitochondrial Leukoencephalopathy
ADAR	Type 1 interferonopathies
IFIH1	AICARDI-GOUTIERES SYNDROME 7, OMIM:615846
IFIH1	Aicardi-Goutieres syndrome 7, OMIM:615846
IFIH1	Aicardi-Goutieres syndrome 7, OMIM:615846 (AD)
IFIH1	Inflammatory Bowel Disease
IFIH1	SINGLETON-MERTEN SYNDROME, OMIM:182250
IFIH1	Singleton-Merten syndrome 1, OMIM:182250
IFIH1	Singleton-Merten syndrome 1, OMIM:182250 (AD)
IFIH1	Susceptibility to RNA viruses (AR)
ALMS1	#203800: Alstrom syndrome
ALMS1	203800
ALMS1	ALSTROM SYNDROME
ALMS1	ALSTROM SYNDROME 203800
ALMS1	ALSTROM SYNDROME, 203800
ALMS1	Alstrom Syndrome
ALMS1	Alstrom Syndrome #203800
ALMS1	Alstrom syndrome
ALMS1	Alstrom syndrome, 203800
ALMS1	Alstrom syndrome, OMIM:203800
ALMS1	Bardet-Biedl Syndrome
ALMS1	Eye Disorders
ALMS1	OMIM 203800
ALMS1	Polydactyly
CACNA1A	Developemental and epileptic encephalopathy 42, OMIM:617106
CACNA1A	Developmental and epileptic encephalopathy 42, OMIM:617106
CACNA1A	EPILEPTIC ENCEPHALOPATHY
CACNA1A	Episodic ataxia, type 2, OMIM:108500
CACNA1A	Lambert-Eaton myasthenic syndrome, MONDO:0018556
CACNA1A	Migraine, familial hemiplegic, 1, OMIM:141500
CACNA1A	Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, OMIM:141500
CACNA1A	developmental and epileptic encephalopathy, 42, MONDO:0014917
OPA3	3-methylglutaconic aciduria, type III, 258501
OPA3	3-methylglutaconic aciduria, type III, 258501Optic atrophy 3 with cataract, 165300
OPA3	Autosomal Dominant Optic Atrophy
OPA3	Cognitive regression
OPA3	Costeff syndrome
OPA3	Eye Disorders
OPA3	Infantile optic atrophy, additionally, extra pyramidal disorder (chorea), ataxia, cognitive defects, axonal sensory neuropathy, autonomic neuropathy, pseudo-obstruction
OPA3	Methylglutaconic aciduria type III, Costeff syndrome (Organic acidurias)
OPA3	Optic atrophy 3 with cataract, 165300
OPA3	autosomal dominant optic atrophy with cataract (ADOAC)
RNASEH2B	AICARDI-GOUTIERES SYNDROME 2 610181
RNASEH2B	Aicardi Goutieres Syndrome
RNASEH2B	Aicardi-Goutieres syndrome 2, OMIM:61018
RNASEH2B	Aicardi-Goutieres syndrome 2, OMIM:610181
CYP27A1	Adolescent-onset progressive ataxia, myelopathy and dementia, cataracts, low cholesterol, atherosclerosis, xanthomas, soft palate myoclonus, intractable infantile-onset diarrhoea, cerebral white matter lesions on MRI, sensory to motor axonal neuropathy
CYP27A1	Cerebrotendinous xanthomatosis
CYP27A1	Cerebrotendinous xanthomatosis  213700
CYP27A1	Cerebrotendinous xanthomatosis, 213700
CYP27A1	Cerebrotendinous xanthomatosis, CTX, 213700
CYP27A1	Dystonia
CYP27A1	Eye Disorders
CYP27A1	General Leukodystrophy & Mitochondrial Leukoencephalopathy
CYP27A1	SNCV described in a minority of patients
CYP27A1	Severe neonatal cholestasis
CYP27A1	photosensitive epilepsy
CYP27A1	progressive lower extremity spasticity,often disproportionate to any degree of weakness
CYP27A1	seizures
CC2D2A	COACH SYNDROME
CC2D2A	COACH SYNDROME 216360
CC2D2A	COACH syndrome
CC2D2A	COACH syndrome 216360
CC2D2A	COACH syndrome, 216360
CC2D2A	Ciliopathy genes associated with cystic kidney disease
CC2D2A	Eye Disorders
CC2D2A	JOUBERT SYNDROME 9
CC2D2A	JOUBERT SYNDROME 9 612285
CC2D2A	Joubert syndrome 9
CC2D2A	Joubert syndrome 9 612285
CC2D2A	Joubert syndrome 9, 612285
CC2D2A	Joubert syndrome 9, 612285Meckel syndrome 6, 612284COACH syndrome, 216360
CC2D2A	Joubert syndrome with oculorenal defect
CC2D2A	MECKEL SYNDROME, TYPE 6
CC2D2A	MECKEL SYNDROME, TYPE 6 612284
CC2D2A	MKS6
CC2D2A	Meckel syndrome
CC2D2A	Meckel syndrome 6
CC2D2A	Meckel syndrome 6 612284
CC2D2A	Meckel syndrome 6, 612284
CC2D2A	Meckel-Gruber syndrome
CC2D2A	Polydactyly
BCS1L	#124000:Mitochondrial complex III deficiency, nuclear type 1
BCS1L	#256000:Leigh syndrome
BCS1L	#262000:Bjornstad syndrome
BCS1L	#603358:GRACILE syndrome
BCS1L	Bjornstad syndrome, 262000
BCS1L	Cholestasis
BCS1L	Complex III (Mitochondrial respiratory chain disorders (caused by nuclear variants only), OXPHOS assembly factors)
BCS1L	GRACILE SYNDROME
BCS1L	GRACILE SYNDROME 603358
BCS1L	GRACILE syndrome
BCS1L	GRACILE syndrome 603358
BCS1L	GRACILE syndrome, 603358
BCS1L	Isolated complex III deficiency
BCS1L	Leigh syndrome 256000
BCS1L	Leigh syndrome, 256000
BCS1L	Mitochondrial Diseases
BCS1L	Mitochondrial Leukoencephalopathy
BCS1L	Mitochondrial Respiratory Chain Complex III Deficiency
BCS1L	Mitochondrial complex III deficiency, nuclear type 1 124000
BCS1L	Mitochondrial complex III deficiency, nuclear type 1, 124000
BCS1L	Mitochondrial complex III deficiency, nuclear type 1, OMIM:124000
BCS1L	Mitochondrial complex III disorders
FKTN	CARDIOMYOPATHY DILATED TYPE 1X
FKTN	CARDIOMYOPATHY DILATED TYPE 1X 611615
FKTN	Cardiomyopathy
FKTN	Cardiomyopathy, dilated, 1X
FKTN	Cardiomyopathy, dilated, 1X, 611615
FKTN	Confirmed DD gene for Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies) type A4
FKTN	Dilated Cardiomyopathy, Recessive
FKTN	Fukutin deficiency (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)
FKTN	Fukuyama Congenital Muscular Dystrophy
FKTN	Fukuyama congenital muscular dystrophy
FKTN	Limb-girdle muscular dystrophy
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A4
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A4 253800
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITHOUT MENTAL RETARDATION TYPE B4
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITHOUT MENTAL RETARDATION TYPE B4 (MDDGB4)
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITHOUT MENTAL RETARDATION TYPE B4 613152
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY LIMB-GIRDLE TYPE C4
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY LIMB-GIRDLE TYPE C4 611588
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4	253800
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4  253800
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4 253800
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, 253800
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, 253800Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4, 613152Cardiomyopathy, dilated, 1X, 611615Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4, 611588
FKTN	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 4, OMIM:253800
FKTN	Muscular dystrophy-dystroglycanopathy (congenital without impaired intellectual development), type B, 4, OMIM:613152
FKTN	Muscular dystrophy-dystroglycanopathy (congenital without mental retardation), type B, 4 613152
FKTN	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4 611588
FKTN	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4, 611588
FKTN	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 4, OMIM:611588
FKTN	Muscular dystrophy-dystroglycanopathy (with brain and eye anomalies), 253800
FKTN	Muscular dystrophy-dystroglycanopathy (without mental retardation), 613152
FKTN	Walker-warburg syndrome or muscle-eye-brain disease
FKTN	seizures
FLVCR1	ATAXIA, POSTERIOR COLUMN, WITH RETINITIS PIGMENTOSA 609033
FLVCR1	Ataxia, posterior column, with retinitis pigmentosa,
FLVCR1	Ataxia, posterior column, with retinitis pigmentosa, 609033
FLVCR1	Eye Disorders
FLVCR1	Neurodevelopmental disorder with microcephaly, absent speech, and hypotonia, OMIM:621060
FLVCR1	Posterior Column Ataxia with Retinitis Pigmentosa
FLVCR1	Retinitis pigmentosa, sensory ganglionopathy and abnormal posterior columns on MRI
FLVCR1	Retinopathy-sensory neuropathy syndrome, OMIM:609033
FLVCR1	dysautonomia
FLVCR1	insensitivity to pain
FLVCR1	joint hypermobility
FLVCR1	neurodevelopmental delay
FLVCR1	neurodevelopmental disorder with microcephaly, absent speech, and hypotonia, MONDO:0976126
FLVCR1	posterior column ataxia-retinitis pigmentosa syndrome, MONDO:0012177
FLVCR1	scoliosis
TREX1	(Disorders of nucleotide metabolism,  Aicardi-Gouti res Syndrome) AGS1
TREX1	AICARDI-GOUTIERES SYNDROME 1, DOMINANT AND RECESSIVE
TREX1	AICARDI-GOUTIERES SYNDROME 1, DOMINANT AND RECESSIVE 225750
TREX1	Aicardi Goutieres Syndrome
TREX1	Aicardi-Gouti res syndrome, isolated chilblains, lupus-like disease, retinal vasculopathy with cerebral leukodystrophy
TREX1	Aicardi-Goutieres syndrome 1, MONDO:0009165
TREX1	Aicardi-Goutieres syndrome 1, dominant and recessive
TREX1	Aicardi-Goutieres syndrome 1, dominant and recessive	225750
TREX1	Aicardi-Goutieres syndrome 1, dominant and recessive 225750
TREX1	Aicardi-Goutieres syndrome 1, dominant and recessive, 225750
TREX1	Aicardi-Goutieres syndrome 1, dominant and recessive, 225750Chilblain lupus, 610448Vasculopathy, retinal, with cerebral leukodystrophy, 192315{Systemic lupus erythematosus, susceptibility to}, 152700
TREX1	Aicardi-Goutieres syndrome 1, dominant and recessive, OMIM:225750
TREX1	Aicardi-Goutières syndrome, isolated chilblains, lupus-like disease, retinal vasculopathy with cerebral leukodystrophy
TREX1	Autoinflammatory Disorders
TREX1	Classical AGS, SLE, FCL
TREX1	Dystonia
TREX1	Familial cerebral small vessel disease
TREX1	General Leukodystrophy & Mitochondrial Leukoencephalopathy
TREX1	Inherited white matter disorders
TREX1	Intellectual disability
TREX1	Intracerebral calcification disorders
TREX1	Type 1 interferonopathies
TREX1	Vasculopathy, retinal, with cerebral leukodystrophy 192315
TREX1	Vasculopathy, retinal, with cerebral leukodystrophy, 192315
TREX1	Vasculopathy, retinal, with cerebral leukoencephalopathy and systemic manifestations, OMIM:192315
TREX1	cardiomyopathy, MONDO:0004994
TREX1	seizures
TREX1	{Systemic lupus erythematosus, susceptibility to}, 152700
MMACHC	Ataxia and hypogonadism
MMACHC	DCM
MMACHC	Dehydration, hepatomegaly, lethargy, coma, acidosis, high anion gap
MMACHC	Hypertrophic-hypocontractile cardiomyopathy
MMACHC	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLC TYPE
MMACHC	METHYLMALONIC ACIDURIA AND HOMOCYSTINURIA, CBLC TYPE 277400
MMACHC	Methylmalonic aciduria
MMACHC	Methylmalonic aciduria and homocystinuria, cblC type,	277400
MMACHC	Methylmalonic aciduria and homocystinuria, cblC type, 277400
MMACHC	Methylmalonic aciduria and homocystinuria, cblC type, OMIM:277400, MONDO:0010184
MMACHC	Onset infancy to adulthood
MMACHC	thrombotic thrombocytopenia with encephalopathy, myelopathy, renal and pulmonary complications (can be life threatening), retinitis pigmentosa, axonal motor neuropathy. Treated with high dose vitamin B12
OFD1	?Retinitis pigmentosa 23, 300424Joubert syndrome 10, 300804Orofaciodigital syndrome I, 311200Simpson-Golabi-Behmel syndrome, type 2, 300209
OFD1	Eye Disorders
OFD1	JOUBERT SYNDROME TYPE 10
OFD1	JOUBERT SYNDROME TYPE 10 300804
OFD1	Joubert syndrome  10
OFD1	Joubert syndrome 10
OFD1	Joubert syndrome 10 300804
OFD1	Joubert syndrome 10, 300804
OFD1	OFD1
OFD1	ORAL-FACIAL-DIGITAL SYNDROME TYPE 1
OFD1	ORAL-FACIAL-DIGITAL SYNDROME TYPE 1 (OFD1)
OFD1	ORAL-FACIAL-DIGITAL SYNDROME TYPE 1 311200
OFD1	OROFACIODIGITAL SYNDROME I
OFD1	Oral-facial-digital syndrome 1, 311200
OFD1	Oral-facial-digital syndrome 1, 311200Simpson-Golabi-Behmel syndrome, type 2, 300209Joubert syndrome 10, 300804
OFD1	Orofaciodigital syndrome I
OFD1	Orofaciodigital syndrome I 311200 XLD
OFD1	Orofaciodigital syndrome type 1, 311200
OFD1	Polydactyly
OFD1	Retinitis pigmentosa
OFD1	SIMPSON-GOLABI-BEHMEL SYNDROME TYPE 2
OFD1	SIMPSON-GOLABI-BEHMEL SYNDROME TYPE 2 300209
OFD1	Simpson-Golabi-Behmel syndrome, type 2 300209 XLR
OFD1	Simpson-Golabi-Behmel syndrome, type 2, 300209
OFD1	X-linked Joubert syndrome
PEX6	Heimler syndrome 2, OMIM:616617
PEX6	MONDO:0014709
PEX6	Peroxisome biogenesis disorder 4A (Zellweger) 614862
PEX6	Peroxisome biogenesis disorder 4A (Zellweger) OMIM:614862
PEX6	Peroxisome biogenesis disorder 4A (Zellweger), OMIM:614862
PEX6	Peroxisome biogenesis disorder 4B 614863
PEX6	Peroxisome biogenesis disorder 4B OMIM:614863
PEX6	Peroxisome biogenesis disorder 4B, OMIM:614863
PEX6	peroxisome biogenesis disorder 4A (Zellweger) MONDO:0013930
PEX6	peroxisome biogenesis disorder 4B MONDO:0013931
PLA2G6	Early Onset Complex Disease
PLA2G6	INFANTILE NEUROAXONAL DYSTROPHY 1
PLA2G6	INFANTILE NEUROAXONAL DYSTROPHY 1, OMIM:256600
PLA2G6	Infantile neuroaxonal dystrophy 1
PLA2G6	Infantile neuroaxonal dystrophy 1	256600
PLA2G6	Infantile neuroaxonal dystrophy 1 (#256600)
PLA2G6	Infantile neuroaxonal dystrophy 1 256600
PLA2G6	Infantile neuroaxonal dystrophy 1, 256600
PLA2G6	Infantile neuroaxonal dystrophy 1, 256600Neurodegeneration with brain iron accumulation 2B, 610217Parkinson disease 14, 612953
PLA2G6	Infantile neuroaxonal dystrophy 1, OMIM:256600
PLA2G6	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 2B
PLA2G6	Neurodegeneration with brain iron accumulation 2B	610217
PLA2G6	Neurodegeneration with brain iron accumulation 2B (#610217)
PLA2G6	Neurodegeneration with brain iron accumulation 2B 610217
PLA2G6	Neurodegeneration with brain iron accumulation 2B, 610217
PLA2G6	Neurodegeneration with brain iron accumulation 2B, OMIM:610217
PLA2G6	PLA2G6-associated neurodegeneration
PLA2G6	Parkinson disease 14 (#612953)
PLA2G6	Parkinson disease 14, 612953
PLA2G6	Parkinson disease 14, autosomal recessive	612953
PLA2G6	Parkinson disease 14, autosomal recessive 612953
PLA2G6	Parkinson disease 14, autosomal recessive, OMIM:612953
PLA2G6	autosomal recessive Parkinson disease 14 MONDO:0013060
PLA2G6	autosomal recessive Parkinson disease 14, MONDO:0013060
PLA2G6	neurodegeneration with brain iron accumulation 2A, MONDO:0024457
PLA2G6	neurodegeneration with brain iron accumulation 2B, MONDO:0012444
PLA2G6	none
POMGNT1	Congenital Muscular Dystrophy, alpha-dystroglycan related
POMGNT1	Limb-Girdle Muscular Dystrophy, Recessive
POMGNT1	Limb-girdle muscular dystrophy
POMGNT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A3 (MDDGA3
POMGNT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A3 (MDDGA3 253280
POMGNT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH MENTAL RETARDATION TYPE B3
POMGNT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH MENTAL RETARDATION TYPE B3 (MDDGB3)
POMGNT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH MENTAL RETARDATION TYPE B3 613151
POMGNT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY LIMB-GIRDLE TYPE C3
POMGNT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY LIMB-GIRDLE TYPE C3 613157
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3  253280
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3 253280
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, 253280Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 3, 613151Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 3, 613157
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3, OMIM:253280
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 3, OMIM:613151
POMGNT1	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B
POMGNT1	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C 3 613157
POMGNT1	Protein-O-mannose beta-1,2-N-acetyglucosaminyltransferase deficiency (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)
POMGNT1	Retinitis pigmentosa 76 617123
POMGNT1	Retinitis pigmentosa 76, OMIM:617123, MONDO:0014929
POMT1	Limb-Girdle Muscular Dystrophy, Recessive
POMT1	Limb-girdle muscular dystrophy
POMT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A1
POMT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A1 (MDDGA1)
POMT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH BRAIN AND EYE ANOMALIES TYPE A1 236670
POMT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH MENTAL RETARDATION TYPE B1
POMT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY CONGENITAL WITH MENTAL RETARDATION TYPE B1 613155
POMT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY LIMB-GIRDLE TYPE C1
POMT1	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY LIMB-GIRDLE TYPE C1 609308
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies) type A1
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1  236670
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1 236670
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, 236670
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, 236670Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 1, 613155Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 1, 609308
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 1, OMIM:236670
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with impaired intellectual development), type B, 1, OMIM:613155
POMT1	Muscular dystrophy-dystroglycanopathy (congenital with mental retardation), type B, 1 613155
POMT1	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 1 609308
POMT1	Muscular dystrophy-dystroglycanopathy (limb-girdle), type C, 1, OMIM:609308
POMT1	Protein-O-mannosyltransferase 1 deficiency (Disorders of protein O-glycosylation,  O-mannosylglycan synthesis deficiencies)
POMT1	Type 2 lissencephaly
POMT1	muscular dystrophy-dystroglycanopathy (MDDG)
POMT1	muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A1, MONDO:0009364
POMT1	muscular dystrophy-dystroglycanopathy (congenital with intellectual disability), type B1, MONDO:0013159
ATP1A3	ALTERNATING HEMIPLEGIA OF CHILDHOOD 104290
