gene_symbol	panelapp_phenotype
POLG	Cardiomyopathy
POLG	MITOCHONDRIAL DNA DEPLETION SYNDROME 4A (ALPERS TYPE)
POLG	MITOCHONDRIAL DNA DEPLETION SYNDROME 4A 203700
POLG	Mitochondrial DNA Depletion Syndrome
POLG	Mitochondrial DNA depletion syndrome 4A (Alpers type)
POLG	Mitochondrial DNA depletion syndrome 4A (Alpers type)	203700
POLG	Mitochondrial DNA depletion syndrome 4A (Alpers type) 203700
POLG	Mitochondrial DNA depletion syndrome 4A (Alpers type), 203700
POLG	Mitochondrial DNA depletion syndrome 4A (Alpers type), OMIM:203700
POLG	Mitochondrial DNA depletion syndrome 4B (MNGIE type)
POLG	Mitochondrial DNA depletion syndrome 4B (MNGIE type)	613662
POLG	Mitochondrial DNA depletion syndrome 4B (MNGIE type) 613662
POLG	Mitochondrial DNA depletion syndrome 4B (MNGIE type), 613662
POLG	Mitochondrial DNA depletion syndrome 4B (MNGIE type), OMIM:613662
POLG	Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE)
POLG	Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE)	607459
POLG	Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE), 607459
POLG	Mitochondrial recessive ataxia syndrome (includes SANDO and SCAE), OMIM:607459
POLG	POLG-related disorders
POLG	Progressive External Ophthalmoplegia with Mitochondrial DNA Deletions
POLG	Progressive external ophthalmoplegia, autosomal dominant 1
POLG	Progressive external ophthalmoplegia, autosomal dominant 1	157640
POLG	Progressive external ophthalmoplegia, autosomal dominant 1, 157640
POLG	Progressive external ophthalmoplegia, autosomal dominant 1, OMIM:157640
POLG	Progressive external ophthalmoplegia, autosomal dominant, 157640
POLG	Progressive external ophthalmoplegia, autosomal recessive 1
POLG	Progressive external ophthalmoplegia, autosomal recessive 1	258450
POLG	Progressive external ophthalmoplegia, autosomal recessive 1, 258450
POLG	Progressive external ophthalmoplegia, autosomal recessive 1, OMIM:258450
POLG	Progressive external ophthalmoplegia, autosomal recessive, 258450
POLG	Required for mtDNA maintenance  (Mitochondrial respiratory chain disorders (caused by nuclear variants only))
POLG	sensory ataxia neuropathy dysarthria and ophthalmoplegia (SANDO)
SLC2A1	Can resemble skeletal muscle channelopathy
SLC2A1	Cataracts
SLC2A1	Developmental delay
SLC2A1	Dystonia
SLC2A1	Dystonia 9 601042	AD
SLC2A1	Dystonia 9, 601042
SLC2A1	EPILEPSY, IDIOPATHIC GENERALIZED
SLC2A1	Early onset dystonia
SLC2A1	Epilepsy, idiopathic generalized, susceptibility to, 12, 614847
SLC2A1	Epileptic encephalopathy
SLC2A1	Familial Genetic Generalised Epilepsies
SLC2A1	GLUT1 DEFICIENCY SYNDROME 1
SLC2A1	GLUT1 DEFICIENCY SYNDROME TYPE 1
SLC2A1	GLUT1 DEFICIENCY SYNDROME TYPE 1 (GLUT1DS1)
SLC2A1	GLUT1 DEFICIENCY SYNDROME TYPE 1 606777
SLC2A1	GLUT1 DEFICIENCY SYNDROME TYPE 2
SLC2A1	GLUT1 DEFICIENCY SYNDROME TYPE 2 612126
SLC2A1	GLUT1 deficiency syndrome 1
SLC2A1	GLUT1 deficiency syndrome 1, 606777
SLC2A1	GLUT1 deficiency syndrome 1, infantile onset, severe
SLC2A1	GLUT1 deficiency syndrome 1, infantile onset, severe 606777 AD, AR
SLC2A1	GLUT1 deficiency syndrome 1, infantile onset, severe, 606777
SLC2A1	GLUT1 deficiency syndrome 1, infantile onset, severe, 606777 (recessive and dominant).
SLC2A1	GLUT1 deficiency syndrome 2
SLC2A1	GLUT1 deficiency syndrome 2, 612126
SLC2A1	GLUT1 deficiency syndrome 2, childhood onset
SLC2A1	GLUT1 deficiency syndrome 2, childhood onset 612126 AD
SLC2A1	GLUT1 deficiency syndrome 2, childhood onset, 612126
SLC2A1	Glucose transporter 1 deficiency (blood-brain barrier) (Disorders of glucose transport)
SLC2A1	Hereditary ataxia
SLC2A1	Intellectual disability
SLC2A1	Pyridoxine-refractory sideroblastic anemia
SLC2A1	Stomatin-deficient cryohydrocytosis with neurologic defects	608885
SLC2A1	Stomatin-deficient cryohydrocytosis with neurologic defects 608885 AD
SLC2A1	Stomatin-deficient cryohydrocytosis with neurologic defects, 608885
SLC2A1	Stomatocytosis
SLC2A1	autosomal dominant, complicated hereditary spastic paraplegia (HSP)
SLC2A1	dystonia
SLC2A1	dystonia 9
SLC2A1	myotonia
SLC2A1	paroxysmal choreoathetosis
SLC2A1	paroxysmal exertion-induced dyskinesia with or without epilepsy and/or hemolytic anemia
SLC2A1	seizure
SLC2A1	spastic paraplegia
SLC2A1	{Epilepsy, idiopathic generalized, susceptibility to, 12} 614847
SLC2A1	{Epilepsy, idiopathic generalized, suscpetibility to, 12}, 614847
TUBB4A	?Dystonia 4, torsion, autosomal dominant, 128101
TUBB4A	Complex parkinsonism
TUBB4A	Dystonia
TUBB4A	Dystonia 4, torsion, autosomal dominant 	128101
TUBB4A	Dystonia 4, torsion, autosomal dominant 128101
TUBB4A	Dystonia 4, torsion, autosomal dominant, 128101
TUBB4A	General Leukodystrophy & Mitochondrial Leukoencephalopathy
TUBB4A	HYPOMYELINATION WITH ATROPHY OF THE BASAL GANGLIA AND CEREBELLUM
TUBB4A	HYPOMYELINATION WITH ATROPHY OF THE BASAL GANGLIA AND CEREBELLUM (H-ABC)
TUBB4A	Leukodystrophy, hypomyelinating 6
TUBB4A	Leukodystrophy, hypomyelinating, 6 	612438
TUBB4A	Leukodystrophy, hypomyelinating, 6 612438
TUBB4A	Leukodystrophy, hypomyelinating, 6, 612438
TUBB4A	ataxia
TUBB4A	hereditary whispering dysphonia
TUBB4A	hypomyelinating leukodystrophy 6
PMM2	CDG 1a
PMM2	CDG1A
PMM2	CONGENITAL DISORDERS OF GLYCOSYLATION
PMM2	CONGENITAL DISORDERS OF GLYCOSYLATION 612379
PMM2	Congenital disorder of glycosylation, type Ia	212065
PMM2	Congenital disorder of glycosylation, type Ia   212065
