disease_id	gene_symbol	gene_weight	evidence_source
Orpha_100995	SPG14	1	Orphapacket_gene_mapping
Orpha_100996	ZFYVE26	1	Orphapacket_gene_mapping
Orpha_100997	SPG16	1	Orphapacket_gene_mapping
Orpha_100998	BSCL2	1	Orphapacket_gene_mapping
Orpha_100999	SPG19	1	Orphapacket_gene_mapping
Orpha_101	ATN1	1	Orphapacket_gene_mapping
Orpha_1010	GJA1	1	Orphapacket_gene_mapping
Orpha_101000	SPART	1	Orphapacket_gene_mapping
Orpha_101001	SPG21	1	Orphapacket_gene_mapping
Orpha_101003	DSTYK	1	Orphapacket_gene_mapping
Orpha_101003	SPG23	1	Orphapacket_gene_mapping
Orpha_101004	SPG24	1	Orphapacket_gene_mapping
Orpha_101005	SPG25	1	Orphapacket_gene_mapping
Orpha_101006	B4GALNT1	1	Orphapacket_gene_mapping
Orpha_101007	SPG27	1	Orphapacket_gene_mapping
Orpha_101008	DDHD1	1	Orphapacket_gene_mapping
Orpha_101009	SPG29	1	Orphapacket_gene_mapping
Orpha_101010	KIF1A	1	Orphapacket_gene_mapping
Orpha_101011	REEP1	1	Orphapacket_gene_mapping
Orpha_101016	TRDN	1	Orphapacket_gene_mapping
Orpha_101016	KCNH2	1	Orphapacket_gene_mapping
Orpha_101016	KCNQ1	1	Orphapacket_gene_mapping
Orpha_101016	CAV3	1	Orphapacket_gene_mapping
Orpha_101016	ANK2	1	Orphapacket_gene_mapping
Orpha_101016	KCNE1	1	Orphapacket_gene_mapping
Orpha_101016	KCNE2	1	Orphapacket_gene_mapping
Orpha_101016	SCN5A	1	Orphapacket_gene_mapping
Orpha_101016	AKAP9	1	Orphapacket_gene_mapping
Orpha_101016	SCN4B	1	Orphapacket_gene_mapping
Orpha_101016	SNTA1	1	Orphapacket_gene_mapping
Orpha_101016	KCNJ5	1	Orphapacket_gene_mapping
Orpha_101016	NOS1AP	0.4	Orphapacket_gene_mapping
Orpha_101016	CALM1	1	Orphapacket_gene_mapping
Orpha_101016	CALM2	1	Orphapacket_gene_mapping
Orpha_101016	SCN10A	1	Orphapacket_gene_mapping
Orpha_101016	TBX5	1	Orphapacket_gene_mapping
Orpha_101016	CACNA1C	1	Orphapacket_gene_mapping
Orpha_101016	CALM3	1	Orphapacket_gene_mapping
Orpha_101023	GRHL3	0.6	Orphapacket_gene_mapping
Orpha_101028	TALDO1	1	Orphapacket_gene_mapping
Orpha_101039	PCDH19	1	Orphapacket_gene_mapping
Orpha_101041	FGA	1	Orphapacket_gene_mapping
Orpha_101041	FGB	1	Orphapacket_gene_mapping
Orpha_101041	FGG	1	Orphapacket_gene_mapping
Orpha_101046	RELN	1	Orphapacket_gene_mapping
Orpha_101046	LGI1	1	Orphapacket_gene_mapping
Orpha_101046	DEPDC5	1	Orphapacket_gene_mapping
Orpha_101070	ADGRG1	1	Orphapacket_gene_mapping
Orpha_101075	GJB1	1	Orphapacket_gene_mapping
Orpha_101078	AIFM1	1	Orphapacket_gene_mapping
Orpha_101081	PMP22	1	Orphapacket_gene_mapping
Orpha_101082	MPZ	1	Orphapacket_gene_mapping
Orpha_101085	NEFL	1	Orphapacket_gene_mapping
Orpha_101097	GDAP1	1	Orphapacket_gene_mapping
Orpha_101108	PDYN	1	Orphapacket_gene_mapping
Orpha_101109	AFG3L2	1	Orphapacket_gene_mapping
Orpha_101110	SCA20	1	Orphapacket_gene_mapping
Orpha_101111	SCA25	1	Orphapacket_gene_mapping
Orpha_101111	PNPT1	1	Orphapacket_gene_mapping
Orpha_101112	EEF2	1	Orphapacket_gene_mapping
Orpha_101150	TH	1	Orphapacket_gene_mapping
Orpha_101150	TSPOAP1	1	Orphapacket_gene_mapping
Orpha_1018	COL4A6	0.2	Orphapacket_gene_mapping
Orpha_1018	COL4A5	0.2	Orphapacket_gene_mapping
Orpha_1020	PSEN1	1	Orphapacket_gene_mapping
Orpha_1020	PSEN2	1	Orphapacket_gene_mapping
Orpha_1020	APP	1	Orphapacket_gene_mapping
Orpha_1020	SORL1	1	Orphapacket_gene_mapping
Orpha_1031	FAM20A	1	Orphapacket_gene_mapping
Orpha_103909	TREH	1	Orphapacket_gene_mapping
Orpha_103918	SPINK1	0.6	Orphapacket_gene_mapping
Orpha_103918	CTRC	0.6	Orphapacket_gene_mapping
Orpha_104	NDUFS2	1	Orphapacket_gene_mapping
Orpha_104	DNAJC30	1	Orphapacket_gene_mapping
Orpha_104	MT-ATP6	1	Orphapacket_gene_mapping
Orpha_104	MT-CO3	1	Orphapacket_gene_mapping
Orpha_104	MT-CYB	1	Orphapacket_gene_mapping
Orpha_104	MT-ND1	1	Orphapacket_gene_mapping
Orpha_104	MT-ND2	1	Orphapacket_gene_mapping
Orpha_104	MT-ND4	1	Orphapacket_gene_mapping
Orpha_104	MT-ND4L	1	Orphapacket_gene_mapping
Orpha_104	MT-ND5	1	Orphapacket_gene_mapping
Orpha_104	MT-ND6	1	Orphapacket_gene_mapping
Orpha_1040	MMP13	1	Orphapacket_gene_mapping
Orpha_1040	MMP9	1	Orphapacket_gene_mapping
Orpha_1052	TRIP13	1	Orphapacket_gene_mapping
Orpha_1052	BUB1B	1	Orphapacket_gene_mapping
Orpha_1052	CEP57	1	Orphapacket_gene_mapping
Orpha_1052	BUB1	1	Orphapacket_gene_mapping
Orpha_1052	BUB3	1	Orphapacket_gene_mapping
Orpha_1053	EPHB4	1	Orphapacket_gene_mapping
Orpha_1059	TEK	1	Orphapacket_gene_mapping
Orpha_1063	GNA14	1	Orphapacket_gene_mapping
Orpha_1065	ITPR1	1	Orphapacket_gene_mapping
Orpha_1065	PAX6	1	Orphapacket_gene_mapping
Orpha_107	SIX1	1	Orphapacket_gene_mapping
Orpha_107	EYA1	1	Orphapacket_gene_mapping
Orpha_107	SIX5	1	Orphapacket_gene_mapping
Orpha_1072	TP63	1	Orphapacket_gene_mapping
Orpha_109	PTEN	1	Orphapacket_gene_mapping
Orpha_110	BBS1	1	Orphapacket_gene_mapping
Orpha_110	BBS10	1	Orphapacket_gene_mapping
Orpha_110	BBS2	1	Orphapacket_gene_mapping
Orpha_110	BBS4	1	Orphapacket_gene_mapping
Orpha_110	BBS5	1	Orphapacket_gene_mapping
Orpha_110	BBS7	1	Orphapacket_gene_mapping
Orpha_110	BBS9	1	Orphapacket_gene_mapping
Orpha_110	CEP290	1	Orphapacket_gene_mapping
Orpha_110	TRIM32	1	Orphapacket_gene_mapping
Orpha_110	TTC8	1	Orphapacket_gene_mapping
Orpha_110	ARL6	1	Orphapacket_gene_mapping
Orpha_110	MKKS	1	Orphapacket_gene_mapping
Orpha_110	MKS1	1	Orphapacket_gene_mapping
Orpha_110	NPHP1	1	Orphapacket_gene_mapping
Orpha_110	BBS12	1	Orphapacket_gene_mapping
Orpha_110	SDCCAG8	1	Orphapacket_gene_mapping
Orpha_110	WDPCP	1	Orphapacket_gene_mapping
Orpha_110	LZTFL1	1	Orphapacket_gene_mapping
Orpha_110	IFT172	1	Orphapacket_gene_mapping
Orpha_110	BBIP1	1	Orphapacket_gene_mapping
Orpha_110	IFT27	1	Orphapacket_gene_mapping
Orpha_110	IFT74	1	Orphapacket_gene_mapping
Orpha_110	CEP19	1	Orphapacket_gene_mapping
Orpha_110	SCAPER	1	Orphapacket_gene_mapping
Orpha_110	CFAP418	1	Orphapacket_gene_mapping
Orpha_110	SCLT1	1	Orphapacket_gene_mapping
Orpha_1106	SMOC1	1	Orphapacket_gene_mapping
Orpha_111	TAFAZZIN	1	Orphapacket_gene_mapping
Orpha_1114	PLEC	1	Orphapacket_gene_mapping
Orpha_1114	ITGB4	1	Orphapacket_gene_mapping
Orpha_1114	BMS1	1	Orphapacket_gene_mapping
Orpha_1114	DLL4	1	Orphapacket_gene_mapping
Orpha_1114	UBA2	1	Orphapacket_gene_mapping
Orpha_1143	SCYL2	1	Orphapacket_gene_mapping
Orpha_1143	COL25A1	1	Orphapacket_gene_mapping
Orpha_1143	ERGIC1	1	Orphapacket_gene_mapping
Orpha_1145	UBA1	1	Orphapacket_gene_mapping
Orpha_1146	NALCN	1	Orphapacket_gene_mapping
Orpha_1146	TNNI2	1	Orphapacket_gene_mapping
Orpha_1146	TNNT3	1	Orphapacket_gene_mapping
Orpha_1146	TPM2	1	Orphapacket_gene_mapping
Orpha_1146	MYH3	1	Orphapacket_gene_mapping
Orpha_1146	MYBPC1	1	Orphapacket_gene_mapping
Orpha_1147	NALCN	1	Orphapacket_gene_mapping
Orpha_1147	TNNI2	1	Orphapacket_gene_mapping
Orpha_1147	TNNT3	1	Orphapacket_gene_mapping
Orpha_1147	TPM2	1	Orphapacket_gene_mapping
Orpha_1147	MYH3	1	Orphapacket_gene_mapping
Orpha_1149	FKBP10	1	Orphapacket_gene_mapping
Orpha_115	FBN2	1	Orphapacket_gene_mapping
Orpha_1154	PIEZO2	1	Orphapacket_gene_mapping
Orpha_1159	CCN6	1	Orphapacket_gene_mapping
Orpha_1168	APTX	1	Orphapacket_gene_mapping
Orpha_117	IL10	0.6	Orphapacket_gene_mapping
Orpha_117	HLA-B	0.6	Orphapacket_gene_mapping
Orpha_117	FAS	0.6	Orphapacket_gene_mapping
Orpha_117	UBAC2	0.6	Orphapacket_gene_mapping
Orpha_117	IL23R	0.6	Orphapacket_gene_mapping
Orpha_117	MEFV	0.6	Orphapacket_gene_mapping
Orpha_117	STAT4	0.6	Orphapacket_gene_mapping
Orpha_117	C4A	0.6	Orphapacket_gene_mapping
Orpha_117	IL12A	0.6	Orphapacket_gene_mapping
Orpha_117	TLR4	0.6	Orphapacket_gene_mapping
Orpha_117	CCR1	0.6	Orphapacket_gene_mapping
Orpha_117	KLRC4	0.6	Orphapacket_gene_mapping
Orpha_117	IL12A-AS1	0.6	Orphapacket_gene_mapping
Orpha_117	ERAP1	0.6	Orphapacket_gene_mapping
Orpha_117	IFNGR1	0.6	Orphapacket_gene_mapping
Orpha_1170	PMPCA	1	Orphapacket_gene_mapping
Orpha_1171	ATP1A3	1	Orphapacket_gene_mapping
Orpha_1173	PNPLA6	1	Orphapacket_gene_mapping
Orpha_1173	RNF216	1	Orphapacket_gene_mapping
Orpha_1175	GJB1	1	Orphapacket_gene_mapping
Orpha_118	MANBA	1	Orphapacket_gene_mapping
Orpha_1180	PNPLA6	1	Orphapacket_gene_mapping
Orpha_1186	TWNK	1	Orphapacket_gene_mapping
Orpha_1187	PRPS1	1	Orphapacket_gene_mapping
Orpha_119	SGCB	1	Orphapacket_gene_mapping
Orpha_1190	FLNB	1	Orphapacket_gene_mapping
Orpha_1194	TMEM70	1	Orphapacket_gene_mapping
Orpha_1195	TF	1	Orphapacket_gene_mapping
Orpha_1200	POLR1A	1	Orphapacket_gene_mapping
Orpha_1200	TXNL4A	1	Orphapacket_gene_mapping
Orpha_1215	OPA1	1	Orphapacket_gene_mapping
Orpha_1216	TRPV4	1	Orphapacket_gene_mapping
Orpha_122	PRDM10	1	Orphapacket_gene_mapping
Orpha_122	FLCN	1	Orphapacket_gene_mapping
Orpha_1225	RECQL4	1	Orphapacket_gene_mapping
Orpha_1226	FOXE1	1	Orphapacket_gene_mapping
Orpha_1229	OCLN	1	Orphapacket_gene_mapping
Orpha_123	BCS1L	1	Orphapacket_gene_mapping
Orpha_1231	TWIST2	1	Orphapacket_gene_mapping
Orpha_1234	RIPK4	1	Orphapacket_gene_mapping
Orpha_124	RPL18	1	Orphapacket_gene_mapping
Orpha_124	RPS15A	1	Orphapacket_gene_mapping
Orpha_124	TSR2	1	Orphapacket_gene_mapping
Orpha_124	RPL35	1	Orphapacket_gene_mapping
Orpha_124	RPL8	1	Orphapacket_gene_mapping
Orpha_124	HEATR3	1	Orphapacket_gene_mapping
Orpha_124	RPL9	1	Orphapacket_gene_mapping
Orpha_124	ADA2	1	Orphapacket_gene_mapping
Orpha_124	RPS20	1	Orphapacket_gene_mapping
Orpha_124	RPS19	1	Orphapacket_gene_mapping
Orpha_124	RPS24	1	Orphapacket_gene_mapping
Orpha_124	GATA1	1	Orphapacket_gene_mapping
Orpha_124	RPS17	1	Orphapacket_gene_mapping
Orpha_124	RPS7	1	Orphapacket_gene_mapping
Orpha_124	RPL5	1	Orphapacket_gene_mapping
Orpha_124	RPL11	1	Orphapacket_gene_mapping
Orpha_124	RPL35A	1	Orphapacket_gene_mapping
Orpha_124	RPS10	1	Orphapacket_gene_mapping
Orpha_124	RPS26	1	Orphapacket_gene_mapping
Orpha_124	RPL26	1	Orphapacket_gene_mapping
Orpha_124	RPL15	1	Orphapacket_gene_mapping
Orpha_124	RPS29	1	Orphapacket_gene_mapping
Orpha_124	RPS28	1	Orphapacket_gene_mapping
Orpha_1243	BEST1	1	Orphapacket_gene_mapping
Orpha_125	BLM	1	Orphapacket_gene_mapping
Orpha_1263	FLNB	1	Orphapacket_gene_mapping
Orpha_127	PHF6	1	Orphapacket_gene_mapping
Orpha_1270	EMG1	1	Orphapacket_gene_mapping
Orpha_1272	MAF	1	Orphapacket_gene_mapping
Orpha_1275	MACROH2A1	1	Orphapacket_gene_mapping
Orpha_1275	PITX1	1	Orphapacket_gene_mapping
Orpha_1276	PDE3A	1	Orphapacket_gene_mapping
Orpha_1297	TFAP2A	1	Orphapacket_gene_mapping
Orpha_1299	CDH11	1	Orphapacket_gene_mapping
Orpha_13	PTS	1	Orphapacket_gene_mapping
Orpha_130	CACNA1C	1	Orphapacket_gene_mapping
Orpha_130	SLMAP	1	Orphapacket_gene_mapping
Orpha_130	SCN5A	1	Orphapacket_gene_mapping
Orpha_130	SCNN1A	1	Orphapacket_gene_mapping
Orpha_130	SEMA3A	1	Orphapacket_gene_mapping
Orpha_130	SCN2B	1	Orphapacket_gene_mapping
Orpha_1300	IRF6	1	Orphapacket_gene_mapping
Orpha_1309	HNF1B	1	Orphapacket_gene_mapping
Orpha_1310	COL1A1	1	Orphapacket_gene_mapping
Orpha_132	BCHE	1	Orphapacket_gene_mapping
Orpha_1328	TGFB1	1	Orphapacket_gene_mapping
Orpha_133	HLA-DPB1	0.6	Orphapacket_gene_mapping
Orpha_1333	BRCA1	0.6	Orphapacket_gene_mapping
Orpha_1333	BRCA2	0.6	Orphapacket_gene_mapping
Orpha_1333	CDKN2A	0.6	Orphapacket_gene_mapping
Orpha_1333	SMAD4	0.6	Orphapacket_gene_mapping
Orpha_1333	TP53	0.6	Orphapacket_gene_mapping
Orpha_1333	KRAS	0.6	Orphapacket_gene_mapping
Orpha_1333	PALB2	0.6	Orphapacket_gene_mapping
Orpha_1333	PALLD	0.6	Orphapacket_gene_mapping
Orpha_1333	RABL3	1	Orphapacket_gene_mapping
Orpha_1334	CLEC7A	1	Orphapacket_gene_mapping
Orpha_1334	IL17RA	1	Orphapacket_gene_mapping
Orpha_1334	IL17F	1	Orphapacket_gene_mapping
Orpha_1334	TRAF3IP2	1	Orphapacket_gene_mapping
Orpha_1334	IL17RC	1	Orphapacket_gene_mapping
Orpha_1338	WDPCP	1	Orphapacket_gene_mapping
Orpha_134	ACAT1	1	Orphapacket_gene_mapping
Orpha_1340	BRAF	1	Orphapacket_gene_mapping
Orpha_1340	KRAS	1	Orphapacket_gene_mapping
Orpha_1340	MAP2K1	1	Orphapacket_gene_mapping
Orpha_1340	MAP2K2	1	Orphapacket_gene_mapping
Orpha_1344	SCN5A	1	Orphapacket_gene_mapping
Orpha_1344	NPPA	1	Orphapacket_gene_mapping
Orpha_1349	MT-TK	1	Orphapacket_gene_mapping
Orpha_1358	MYMX	1	Orphapacket_gene_mapping
Orpha_1358	MYMK	1	Orphapacket_gene_mapping
Orpha_1359	PRKAR1A	1	Orphapacket_gene_mapping
Orpha_1359	PDE11A	0.4	Orphapacket_gene_mapping
Orpha_136	NOTCH3	1	Orphapacket_gene_mapping
Orpha_1366	LSS	1	Orphapacket_gene_mapping
Orpha_1369	TKFC	1	Orphapacket_gene_mapping
Orpha_1369	SLC25A4	1	Orphapacket_gene_mapping
Orpha_1369	AGK	1	Orphapacket_gene_mapping
Orpha_137605	SPRED1	1	Orphapacket_gene_mapping
Orpha_137608	PTEN	1	Orphapacket_gene_mapping
Orpha_137634	RNF135	1	Orphapacket_gene_mapping
Orpha_1377	CRYAA	1	Orphapacket_gene_mapping
Orpha_1377	CRYBA4	1	Orphapacket_gene_mapping
Orpha_1377	CRYBB2	1	Orphapacket_gene_mapping
Orpha_1377	CRYGC	1	Orphapacket_gene_mapping
Orpha_1377	CRYGD	1	Orphapacket_gene_mapping
Orpha_1377	GJA8	1	Orphapacket_gene_mapping
Orpha_1377	CRYBB1	1	Orphapacket_gene_mapping
Orpha_1377	MAF	1	Orphapacket_gene_mapping
Orpha_137754	ACY1	1	Orphapacket_gene_mapping
Orpha_137831	OPHN1	1	Orphapacket_gene_mapping
Orpha_137834	SH3PXD2B	1	Orphapacket_gene_mapping
Orpha_137888	GNAI3	1	Orphapacket_gene_mapping
Orpha_137888	PLCB4	1	Orphapacket_gene_mapping
Orpha_137888	EDN1	1	Orphapacket_gene_mapping
Orpha_137898	DARS2	1	Orphapacket_gene_mapping
Orpha_138	CHD7	1	Orphapacket_gene_mapping
Orpha_1387	RAB3GAP1	1	Orphapacket_gene_mapping
Orpha_1387	RAB3GAP2	1	Orphapacket_gene_mapping
Orpha_1388	TGDS	1	Orphapacket_gene_mapping
Orpha_139	NSDHL	1	Orphapacket_gene_mapping
Orpha_1393	SNRPB	1	Orphapacket_gene_mapping
Orpha_139396	ABCD1	1	Orphapacket_gene_mapping
Orpha_139399	ABCD1	1	Orphapacket_gene_mapping
Orpha_1394	TMCO1	1	Orphapacket_gene_mapping
Orpha_139406	PSAP	1	Orphapacket_gene_mapping
Orpha_139466	WNT4	1	Orphapacket_gene_mapping
Orpha_139471	BMP4	1	Orphapacket_gene_mapping
Orpha_139474	NF1	0.2	Orphapacket_gene_mapping
Orpha_139480	PNPLA6	1	Orphapacket_gene_mapping
Orpha_139485	COQ8A	1	Orphapacket_gene_mapping
Orpha_139536	REEP1	1	Orphapacket_gene_mapping
Orpha_139536	BSCL2	1	Orphapacket_gene_mapping
Orpha_139536	GARS1	1	Orphapacket_gene_mapping
Orpha_139578	CCT5	1	Orphapacket_gene_mapping
Orpha_14	MTTP	1	Orphapacket_gene_mapping
Orpha_140	SOX9	1	Orphapacket_gene_mapping
Orpha_1401	RIPK4	1	Orphapacket_gene_mapping
Orpha_140905	LIPC	1	Orphapacket_gene_mapping
Orpha_140908	NOG	1	Orphapacket_gene_mapping
Orpha_140927	SCN2A	1	Orphapacket_gene_mapping
Orpha_140927	KCNQ2	1	Orphapacket_gene_mapping
Orpha_140941	IGFALS	1	Orphapacket_gene_mapping
Orpha_140944	PIK3CA	1	Orphapacket_gene_mapping
Orpha_140952	CCNQ	1	Orphapacket_gene_mapping
Orpha_140966	SERPINB7	1	Orphapacket_gene_mapping
Orpha_140976	TMEM67	1	Orphapacket_gene_mapping
Orpha_1410	PADI3	1	Orphapacket_gene_mapping
Orpha_1410	TGM3	1	Orphapacket_gene_mapping
Orpha_1412	NOG	1	Orphapacket_gene_mapping
Orpha_141291	MSX1	0.6	Orphapacket_gene_mapping
Orpha_141291	TP63	0.6	Orphapacket_gene_mapping
Orpha_141291	IRF6	0.6	Orphapacket_gene_mapping
Orpha_141291	NECTIN1	0.6	Orphapacket_gene_mapping
Orpha_1415	MED12	1	Orphapacket_gene_mapping
Orpha_1416	ANKH	1	Orphapacket_gene_mapping
Orpha_1422	HHAT	1	Orphapacket_gene_mapping
Orpha_1425	CSGALNACT1	1	Orphapacket_gene_mapping
Orpha_1425	CANT1	1	Orphapacket_gene_mapping
Orpha_1425	XYLT1	1	Orphapacket_gene_mapping
Orpha_1426	LBR	1	Orphapacket_gene_mapping
Orpha_1427	COL11A2	1	Orphapacket_gene_mapping
Orpha_1429	NKX2-1	1	Orphapacket_gene_mapping
Orpha_1429	ADCY5	1	Orphapacket_gene_mapping
Orpha_143	CDC73	1	Orphapacket_gene_mapping
Orpha_1435	POU3F4	1	Orphapacket_gene_mapping
Orpha_144	MSH6	1	Orphapacket_gene_mapping
Orpha_144	MSH2	1	Orphapacket_gene_mapping
Orpha_144	EPCAM	1	Orphapacket_gene_mapping
Orpha_144	PMS2	1	Orphapacket_gene_mapping
Orpha_144	MLH1	1	Orphapacket_gene_mapping
Orpha_145	BRCA2	1	Orphapacket_gene_mapping
Orpha_145	RAD51C	1	Orphapacket_gene_mapping
Orpha_145	RAD51D	1	Orphapacket_gene_mapping
Orpha_145	BRCA1	1	Orphapacket_gene_mapping
Orpha_1451	NLRP3	1	Orphapacket_gene_mapping
Orpha_1452	RUNX2	1	Orphapacket_gene_mapping
Orpha_1454	TMEM67	1	Orphapacket_gene_mapping
Orpha_1454	RPGRIP1L	1	Orphapacket_gene_mapping
Orpha_1454	CC2D2A	1	Orphapacket_gene_mapping
Orpha_1454	INPP5E	1	Orphapacket_gene_mapping
Orpha_1458	LONP1	1	Orphapacket_gene_mapping
Orpha_1465	ARID2	1	Orphapacket_gene_mapping
Orpha_1465	SMARCB1	1	Orphapacket_gene_mapping
Orpha_1465	SMARCA4	1	Orphapacket_gene_mapping
Orpha_1465	ARID1B	1	Orphapacket_gene_mapping
Orpha_1465	ARID1A	1	Orphapacket_gene_mapping
Orpha_1465	SMARCE1	1	Orphapacket_gene_mapping
Orpha_1465	SOX11	1	Orphapacket_gene_mapping
Orpha_1465	SOX4	1	Orphapacket_gene_mapping
Orpha_1465	DPF2	1	Orphapacket_gene_mapping
Orpha_1465	SMARCD1	1	Orphapacket_gene_mapping
Orpha_1465	SMARCC2	1	Orphapacket_gene_mapping
Orpha_1466	ERCC2	1	Orphapacket_gene_mapping
Orpha_1466	ERCC6	1	Orphapacket_gene_mapping
Orpha_1466	ERCC5	1	Orphapacket_gene_mapping
Orpha_1466	ERCC1	1	Orphapacket_gene_mapping
Orpha_147	CPS1	1	Orphapacket_gene_mapping
Orpha_1473	YAP1	1	Orphapacket_gene_mapping
Orpha_1475	PAX2	1	Orphapacket_gene_mapping
Orpha_1479	NKX2-5	1	Orphapacket_gene_mapping
Orpha_1486	GLE1	1	Orphapacket_gene_mapping
Orpha_1490	SLC4A11	1	Orphapacket_gene_mapping
Orpha_1493	EPG5	1	Orphapacket_gene_mapping
Orpha_1496	SLC12A6	1	Orphapacket_gene_mapping
Orpha_1497	L1CAM	1	Orphapacket_gene_mapping
Orpha_15	FGFR3	1	Orphapacket_gene_mapping
Orpha_1501	TP53	1	Orphapacket_gene_mapping
Orpha_1501	ZNRF3	1	Orphapacket_gene_mapping
Orpha_1501	CTNNB1	1	Orphapacket_gene_mapping
Orpha_1501	CDKN2A	1	Orphapacket_gene_mapping
Orpha_1501	TERT	1	Orphapacket_gene_mapping
Orpha_1501	PRKAR1A	1	Orphapacket_gene_mapping
Orpha_1507	ROR2	1	Orphapacket_gene_mapping
Orpha_1507	NXN	1	Orphapacket_gene_mapping
Orpha_1509	TBX4	1	Orphapacket_gene_mapping
Orpha_1513	SOST	1	Orphapacket_gene_mapping
Orpha_1513	SP7	1	Orphapacket_gene_mapping
Orpha_1515	IFT122	1	Orphapacket_gene_mapping
Orpha_1515	WDR35	1	Orphapacket_gene_mapping
Orpha_1515	IFT43	1	Orphapacket_gene_mapping
Orpha_1515	WDR19	1	Orphapacket_gene_mapping
Orpha_1515	IFT52	1	Orphapacket_gene_mapping
Orpha_1517	ABCC9	1	Orphapacket_gene_mapping
Orpha_1517	KCNJ8	1	Orphapacket_gene_mapping
Orpha_1519	SPECC1L	1	Orphapacket_gene_mapping
Orpha_1520	EFNB1	1	Orphapacket_gene_mapping
Orpha_1522	ANKH	1	Orphapacket_gene_mapping
Orpha_1522	GJA1	1	Orphapacket_gene_mapping
Orpha_1525	HPGD	1	Orphapacket_gene_mapping
Orpha_1529	PAX3	1	Orphapacket_gene_mapping
Orpha_154	TAF1A	1	Orphapacket_gene_mapping
Orpha_154	GET3	1	Orphapacket_gene_mapping
Orpha_154	VEZF1	1	Orphapacket_gene_mapping
Orpha_154	RPL3L	1	Orphapacket_gene_mapping
Orpha_154	MYBPC3	1	Orphapacket_gene_mapping
Orpha_154	JPH2	1	Orphapacket_gene_mapping
Orpha_154	PPCS	1	Orphapacket_gene_mapping
Orpha_154	CAP2	1	Orphapacket_gene_mapping
Orpha_154	LMOD2	1	Orphapacket_gene_mapping
Orpha_154	ABCC9	1	Orphapacket_gene_mapping
Orpha_154	ACTC1	1	Orphapacket_gene_mapping
Orpha_154	PSEN1	1	Orphapacket_gene_mapping
Orpha_154	PSEN2	1	Orphapacket_gene_mapping
Orpha_154	SCN5A	1	Orphapacket_gene_mapping
Orpha_154	SDHA	1	Orphapacket_gene_mapping
Orpha_154	SGCD	1	Orphapacket_gene_mapping
Orpha_154	TAFAZZIN	1	Orphapacket_gene_mapping
Orpha_154	TCAP	1	Orphapacket_gene_mapping
Orpha_154	TNNI3	1	Orphapacket_gene_mapping
Orpha_154	TNNT2	1	Orphapacket_gene_mapping
Orpha_154	TPM1	1	Orphapacket_gene_mapping
Orpha_154	TTN	1	Orphapacket_gene_mapping
Orpha_154	CRYAB	1	Orphapacket_gene_mapping
Orpha_154	CSRP3	1	Orphapacket_gene_mapping
Orpha_154	DES	1	Orphapacket_gene_mapping
Orpha_154	DMD	1	Orphapacket_gene_mapping
Orpha_154	DSG2	1	Orphapacket_gene_mapping
Orpha_154	FKTN	1	Orphapacket_gene_mapping
Orpha_154	LDB3	1	Orphapacket_gene_mapping
Orpha_154	DOLK	1	Orphapacket_gene_mapping
Orpha_154	MYH6	1	Orphapacket_gene_mapping
Orpha_154	MYH7	1	Orphapacket_gene_mapping
