disease_id	gene_symbol	gene_weight	evidence_source
Orpha_100	ATM	1	Orphapacket_gene_mapping
Orpha_100006	APP	1	Orphapacket_gene_mapping
Orpha_100008	CST3	1	Orphapacket_gene_mapping
Orpha_100050	SERPING1	1	Orphapacket_gene_mapping
Orpha_100057	XPNPEP2	0.6	Orphapacket_gene_mapping
Orpha_100069	PSEN1	1	Orphapacket_gene_mapping
Orpha_100069	TMEM106B	0.6	Orphapacket_gene_mapping
Orpha_100069	CHMP2B	0.6	Orphapacket_gene_mapping
Orpha_100069	TREM2	0.6	Orphapacket_gene_mapping
Orpha_100069	MAPT	0.6	Orphapacket_gene_mapping
Orpha_100069	GRN	0.6	Orphapacket_gene_mapping
Orpha_100069	C9ORF72	0.6	Orphapacket_gene_mapping
Orpha_100070	TMEM106B	0.6	Orphapacket_gene_mapping
Orpha_100070	PSEN1	1	Orphapacket_gene_mapping
Orpha_100070	CHMP2B	0.6	Orphapacket_gene_mapping
Orpha_100070	TREM2	0.6	Orphapacket_gene_mapping
Orpha_100070	VCP	0.6	Orphapacket_gene_mapping
Orpha_100070	MAPT	0.6	Orphapacket_gene_mapping
Orpha_100070	GRN	0.6	Orphapacket_gene_mapping
Orpha_100070	C9ORF72	0.6	Orphapacket_gene_mapping
Orpha_1001	HDAC4	0.2	Orphapacket_gene_mapping
Orpha_100924	ALAD	1	Orphapacket_gene_mapping
Orpha_100973	AFF2	1	Orphapacket_gene_mapping
Orpha_100973	FMR3	1	Orphapacket_gene_mapping
Orpha_100974	TMEM185A	1	Orphapacket_gene_mapping
Orpha_100976	TGM1	1	Orphapacket_gene_mapping
Orpha_100984	ATL1	1	Orphapacket_gene_mapping
Orpha_100985	SPAST	1	Orphapacket_gene_mapping
Orpha_100986	CYP7B1	1	Orphapacket_gene_mapping
Orpha_100988	NIPA1	1	Orphapacket_gene_mapping
Orpha_100989	WASHC5	1	Orphapacket_gene_mapping
Orpha_100991	KIF5A	1	Orphapacket_gene_mapping
Orpha_100993	UBAP1	1	Orphapacket_gene_mapping
Orpha_100993	RTN2	1	Orphapacket_gene_mapping
Orpha_100994	HSPD1	1	Orphapacket_gene_mapping
