gene_symbol	moi
ALG8	BIALLELIC, autosomal or pseudoautosomal
ALG8	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
BSCL2	BIALLELIC, autosomal or pseudoautosomal
BSCL2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
DOLK	BIALLELIC, autosomal or pseudoautosomal
EPG5	BIALLELIC, autosomal or pseudoautosomal
GLA	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
PTPN11	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PTPN11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SRD5A3	BIALLELIC, autosomal or pseudoautosomal
TSC1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TSC1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TSC2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TSC2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TUBB3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TUBB3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
VPS13B	BIALLELIC, autosomal or pseudoautosomal
CACNA1G	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
IKBKG	X-LINKED: hemizygous mutation in males, biallelic mutations in females
IKBKG	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
PNKP	BIALLELIC, autosomal or pseudoautosomal
SERAC1	BIALLELIC, autosomal or pseudoautosomal
SGPL1	BIALLELIC, autosomal or pseudoautosomal
SOX10	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SOX10	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PTEN	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PTEN	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PTEN	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MKS1	BIALLELIC, autosomal or pseudoautosomal
RRM2B	BIALLELIC, autosomal or pseudoautosomal
RRM2B	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
RRM2B	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
BBS1	BIALLELIC, autosomal or pseudoautosomal
LARGE1	BIALLELIC, autosomal or pseudoautosomal
MT-ATP6	MITOCHONDRIAL
MVK	BIALLELIC, autosomal or pseudoautosomal
MVK	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PEX7	BIALLELIC, autosomal or pseudoautosomal
RPGRIP1L	BIALLELIC, autosomal or pseudoautosomal
ABHD12	BIALLELIC, autosomal or pseudoautosomal
AMPD2	BIALLELIC, autosomal or pseudoautosomal
ATAD3A	BIALLELIC, autosomal or pseudoautosomal
ATAD3A	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ATAD3A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ATP1A2	BIALLELIC, autosomal or pseudoautosomal
ATP1A2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ATP1A2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ATP1A2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
COQ2	BIALLELIC, autosomal or pseudoautosomal
FA2H	BIALLELIC, autosomal or pseudoautosomal
FLNA	X-LINKED: hemizygous mutation in males, biallelic mutations in females
FLNA	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
GCH1	BIALLELIC, autosomal or pseudoautosomal
GCH1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
GCH1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GCH1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HTRA2	BIALLELIC, autosomal or pseudoautosomal
HTRA2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ISPD	BIALLELIC, autosomal or pseudoautosomal
NPHP1	BIALLELIC, autosomal or pseudoautosomal
POMGNT2	BIALLELIC, autosomal or pseudoautosomal
POMT2	BIALLELIC, autosomal or pseudoautosomal
RNASEH2A	BIALLELIC, autosomal or pseudoautosomal
SACS	BIALLELIC, autosomal or pseudoautosomal
SALL1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SALL1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SIL1	BIALLELIC, autosomal or pseudoautosomal
SURF1	BIALLELIC, autosomal or pseudoautosomal
AFG3L2	BIALLELIC, autosomal or pseudoautosomal
AFG3L2	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
AFG3L2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
ALDH3A2	BIALLELIC, autosomal or pseudoautosomal
ALG9	BIALLELIC, autosomal or pseudoautosomal
ALG9	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
B3GALNT2	BIALLELIC, autosomal or pseudoautosomal
C19ORF12	BIALLELIC, autosomal or pseudoautosomal
C19ORF12	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
COG7	BIALLELIC, autosomal or pseudoautosomal
COG7	Unknown
G6PC3	BIALLELIC, autosomal or pseudoautosomal
GBA	BIALLELIC, autosomal or pseudoautosomal
GBA	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
GFAP	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GFAP	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GJC2	BIALLELIC, autosomal or pseudoautosomal
GJC2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
HSD17B4	BIALLELIC, autosomal or pseudoautosomal
KCNJ10	BIALLELIC, autosomal or pseudoautosomal
MAP2K1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MAP2K1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MAP2K1	Unknown
MAP2K2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
MAP2K2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MAP2K2	Unknown
PEX12	BIALLELIC, autosomal or pseudoautosomal
PEX13	BIALLELIC, autosomal or pseudoautosomal
PEX3	BIALLELIC, autosomal or pseudoautosomal
RTEL1	BIALLELIC, autosomal or pseudoautosomal
RTEL1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
RTEL1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SCN8A	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SCN8A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SCN8A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SETX	BIALLELIC, autosomal or pseudoautosomal
SETX	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SETX	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TMEM5	BIALLELIC, autosomal or pseudoautosomal
TUBA1A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TUBA1A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AP1S2	X-LINKED: hemizygous mutation in males, biallelic mutations in females
AP1S2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ARX	X-LINKED: hemizygous mutation in males, biallelic mutations in females
ARX	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
CSTB	BIALLELIC, autosomal or pseudoautosomal
DARS2	BIALLELIC, autosomal or pseudoautosomal
DPAGT1	BIALLELIC, autosomal or pseudoautosomal
GALC	BIALLELIC, autosomal or pseudoautosomal
HSPD1	BIALLELIC, autosomal or pseudoautosomal
HSPD1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
HSPD1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
KDM6A	Unknown
KDM6A	X-LINKED: hemizygous mutation in males, biallelic mutations in females
KDM6A	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
MOGS	BIALLELIC, autosomal or pseudoautosomal
NDUFS8	BIALLELIC, autosomal or pseudoautosomal
NPC2	BIALLELIC, autosomal or pseudoautosomal
OPHN1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
OPHN1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
PEX26	BIALLELIC, autosomal or pseudoautosomal
RAF1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RAF1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RARS2	BIALLELIC, autosomal or pseudoautosomal
SAMD9	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SAMD9	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SEPSECS	BIALLELIC, autosomal or pseudoautosomal
SOS1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SOS1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TSEN54	BIALLELIC, autosomal or pseudoautosomal
VRK1	BIALLELIC, autosomal or pseudoautosomal
WDR45	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ALDH18A1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
B4GALNT1	BIALLELIC, autosomal or pseudoautosomal
GALNT2	BIALLELIC, autosomal or pseudoautosomal
NSD1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NSD1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PDHA1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
PDHA1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
SCN1A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SCN1A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SHOC2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SHOC2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SPATA5L1	BIALLELIC, autosomal or pseudoautosomal
COX10	BIALLELIC, autosomal or pseudoautosomal
COX10	Unknown
CEP290	BIALLELIC, autosomal or pseudoautosomal
NRAS	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NRAS	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NRAS	Other - please specifiy in evaluation comments
OCRL	X-LINKED: hemizygous mutation in males, biallelic mutations in females
OCRL	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ALG1	BIALLELIC, autosomal or pseudoautosomal
BBS4	BIALLELIC, autosomal or pseudoautosomal
BRAF	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
BRAF	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
BRAF	Unknown
DKC1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
LMNA	BIALLELIC, autosomal or pseudoautosomal
LMNA	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
LMNA	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
LMNA	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PDGFRB	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PDGFRB	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RELN	BIALLELIC, autosomal or pseudoautosomal
RELN	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
RELN	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SPG7	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
SPG7	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TMEM216	BIALLELIC, autosomal or pseudoautosomal
TWNK	BIALLELIC, autosomal or pseudoautosomal
TWNK	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
TWNK	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TWNK	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WFS1	BIALLELIC, autosomal or pseudoautosomal
WFS1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
WFS1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
WFS1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AHI1	BIALLELIC, autosomal or pseudoautosomal
ARL13B	BIALLELIC, autosomal or pseudoautosomal
ARL6	BIALLELIC, autosomal or pseudoautosomal
B3GLCT	BIALLELIC, autosomal or pseudoautosomal
BBS10	BIALLELIC, autosomal or pseudoautosomal
BBS12	BIALLELIC, autosomal or pseudoautosomal
BBS2	BIALLELIC, autosomal or pseudoautosomal
BBS5	BIALLELIC, autosomal or pseudoautosomal
BBS9	BIALLELIC, autosomal or pseudoautosomal
COG4	BIALLELIC, autosomal or pseudoautosomal
COG4	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
COG4	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
COG4	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
COX15	BIALLELIC, autosomal or pseudoautosomal
DHDDS	BIALLELIC, autosomal or pseudoautosomal
DHDDS	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DHDDS	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ERCC6	BIALLELIC, autosomal or pseudoautosomal
ERCC6	Unknown
GBE1	BIALLELIC, autosomal or pseudoautosomal
GRN	BIALLELIC, autosomal or pseudoautosomal
GRN	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
HEXA	BIALLELIC, autosomal or pseudoautosomal
INPP5E	BIALLELIC, autosomal or pseudoautosomal
MKKS	BIALLELIC, autosomal or pseudoautosomal
MTTP	BIALLELIC, autosomal or pseudoautosomal
PEX19	BIALLELIC, autosomal or pseudoautosomal
PEX5	BIALLELIC, autosomal or pseudoautosomal
SDCCAG8	BIALLELIC, autosomal or pseudoautosomal
TAZ	X-LINKED: hemizygous mutation in males, biallelic mutations in females
TMEM237	BIALLELIC, autosomal or pseudoautosomal
TMEM67	BIALLELIC, autosomal or pseudoautosomal
TPP1	BIALLELIC, autosomal or pseudoautosomal
TTC8	BIALLELIC, autosomal or pseudoautosomal
TUBB2B	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TUBB2B	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TUBB2B	Unknown
ABCD1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
ABCD1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
ADGRG1	BIALLELIC, autosomal or pseudoautosomal
ADGRG1	Unknown
APTX	BIALLELIC, autosomal or pseudoautosomal
ATP7B	BIALLELIC, autosomal or pseudoautosomal
BBS7	BIALLELIC, autosomal or pseudoautosomal
C12ORF65	BIALLELIC, autosomal or pseudoautosomal
DPM1	BIALLELIC, autosomal or pseudoautosomal
DPM2	BIALLELIC, autosomal or pseudoautosomal
DYNC1H1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
DYNC1H1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EIF2B2	BIALLELIC, autosomal or pseudoautosomal
HADHA	BIALLELIC, autosomal or pseudoautosomal
LARS2	BIALLELIC, autosomal or pseudoautosomal
NDUFS4	BIALLELIC, autosomal or pseudoautosomal
NDUFV1	BIALLELIC, autosomal or pseudoautosomal
NF1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NF1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
NUS1	BIALLELIC, autosomal or pseudoautosomal
NUS1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
NUS1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
NUS1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NUS1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PEX14	BIALLELIC, autosomal or pseudoautosomal
PI4KA	BIALLELIC, autosomal or pseudoautosomal
PIGA	X-LINKED: hemizygous mutation in males, biallelic mutations in females
PIGT	BIALLELIC, autosomal or pseudoautosomal
PIGT	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
PNPLA6	BIALLELIC, autosomal or pseudoautosomal
PNPLA6	Unknown
PNPT1	BIALLELIC, autosomal or pseudoautosomal
PNPT1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RIT1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
RIT1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
SLC52A2	BIALLELIC, autosomal or pseudoautosomal
ACOX1	BIALLELIC, autosomal or pseudoautosomal
ACOX1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
ACOX1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
AIMP1	BIALLELIC, autosomal or pseudoautosomal
ALG14	BIALLELIC, autosomal or pseudoautosomal
ALG3	BIALLELIC, autosomal or pseudoautosomal
ALG6	BIALLELIC, autosomal or pseudoautosomal
ASAH1	BIALLELIC, autosomal or pseudoautosomal
ATP6V0A2	BIALLELIC, autosomal or pseudoautosomal
CREBBP	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CREBBP	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CSPP1	BIALLELIC, autosomal or pseudoautosomal
DDC	BIALLELIC, autosomal or pseudoautosomal
EXT2	BIALLELIC, autosomal or pseudoautosomal
EXT2	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
EXT2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
EXT2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FAR1	BIALLELIC, autosomal or pseudoautosomal
FAR1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
FAR1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
FBXL4	BIALLELIC, autosomal or pseudoautosomal
FOXG1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
FOXG1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FUT8	BIALLELIC, autosomal or pseudoautosomal
FXN	BIALLELIC, autosomal or pseudoautosomal
GALT	BIALLELIC, autosomal or pseudoautosomal
GLB1	BIALLELIC, autosomal or pseudoautosomal
HAAO	BIALLELIC, autosomal or pseudoautosomal
KCNA2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KCNA2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KCNJ11	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
KCNJ11	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KCNJ11	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LZTR1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
MPDU1	BIALLELIC, autosomal or pseudoautosomal
NGLY1	BIALLELIC, autosomal or pseudoautosomal
NKX6-2	BIALLELIC, autosomal or pseudoautosomal
OCLN	BIALLELIC, autosomal or pseudoautosomal
PANK2	BIALLELIC, autosomal or pseudoautosomal
PCCA	BIALLELIC, autosomal or pseudoautosomal
PCCB	BIALLELIC, autosomal or pseudoautosomal
PGM3	BIALLELIC, autosomal or pseudoautosomal
PIGN	BIALLELIC, autosomal or pseudoautosomal
PIGO	BIALLELIC, autosomal or pseudoautosomal
PTS	BIALLELIC, autosomal or pseudoautosomal
RFT1	BIALLELIC, autosomal or pseudoautosomal
RNASET2	BIALLELIC, autosomal or pseudoautosomal
SLC17A5	BIALLELIC, autosomal or pseudoautosomal
SLC35A2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
SLC35C1	BIALLELIC, autosomal or pseudoautosomal
SLC39A8	BIALLELIC, autosomal or pseudoautosomal
SLC6A3	BIALLELIC, autosomal or pseudoautosomal
SNORD118	BIALLELIC, autosomal or pseudoautosomal
SOS2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SOS2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TH	BIALLELIC, autosomal or pseudoautosomal
TTC37	BIALLELIC, autosomal or pseudoautosomal
WWOX	BIALLELIC, autosomal or pseudoautosomal
CACNA1C	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CACNA1C	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
CLPB	BIALLELIC, autosomal or pseudoautosomal
CLPB	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
DIAPH1	BIALLELIC, autosomal or pseudoautosomal
DIAPH1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
EFTUD2	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
EFTUD2	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ERCC8	BIALLELIC, autosomal or pseudoautosomal
GNAO1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
GNAO1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
GPC3	X-LINKED: hemizygous mutation in males, biallelic mutations in females
GPC3	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
HK1	BIALLELIC, autosomal or pseudoautosomal
HK1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
HK1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
HK1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
INPP4A	BIALLELIC, autosomal or pseudoautosomal
LAMA1	BIALLELIC, autosomal or pseudoautosomal
MED12	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
MED27	BIALLELIC, autosomal or pseudoautosomal
MTFMT	BIALLELIC, autosomal or pseudoautosomal
OGDHL	BIALLELIC, autosomal or pseudoautosomal
PIGW	BIALLELIC, autosomal or pseudoautosomal
SYNJ1	BIALLELIC, autosomal or pseudoautosomal
TBC1D24	BIALLELIC, autosomal or pseudoautosomal
TBC1D24	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
