gene_symbol	moi
POLG	BIALLELIC, autosomal or pseudoautosomal
POLG	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
POLG	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SLC2A1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
SLC2A1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
SLC2A1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SLC2A1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
TUBB4A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
TUBB4A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
PMM2	BIALLELIC, autosomal or pseudoautosomal
ADAR	BIALLELIC, autosomal or pseudoautosomal
ADAR	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
IFIH1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
IFIH1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
IFIH1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
ALMS1	BIALLELIC, autosomal or pseudoautosomal
CACNA1A	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
CACNA1A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CACNA1A	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
OPA3	BIALLELIC, autosomal or pseudoautosomal
OPA3	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
OPA3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
RNASEH2B	BIALLELIC, autosomal or pseudoautosomal
CYP27A1	BIALLELIC, autosomal or pseudoautosomal
CYP27A1	Unknown
CC2D2A	BIALLELIC, autosomal or pseudoautosomal
BCS1L	BIALLELIC, autosomal or pseudoautosomal
FKTN	BIALLELIC, autosomal or pseudoautosomal
FLVCR1	BIALLELIC, autosomal or pseudoautosomal
TREX1	BIALLELIC, autosomal or pseudoautosomal
TREX1	BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal
TREX1	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
TREX1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
MMACHC	BIALLELIC, autosomal or pseudoautosomal
OFD1	X-LINKED: hemizygous mutation in males, biallelic mutations in females
OFD1	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
PEX6	BIALLELIC, autosomal or pseudoautosomal
PEX6	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
PLA2G6	BIALLELIC, autosomal or pseudoautosomal
POMGNT1	BIALLELIC, autosomal or pseudoautosomal
POMT1	BIALLELIC, autosomal or pseudoautosomal
ATP1A3	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
ATP1A3	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KIF1A	BIALLELIC, autosomal or pseudoautosomal
KIF1A	BOTH monoallelic and biallelic, autosomal or pseudoautosomal
KIF1A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
NPC1	BIALLELIC, autosomal or pseudoautosomal
PEX16	BIALLELIC, autosomal or pseudoautosomal
POLR3A	BIALLELIC, autosomal or pseudoautosomal
POLR3A	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CHD7	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CHD7	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FOLR1	BIALLELIC, autosomal or pseudoautosomal
KMT2D	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KMT2D	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
LETM1	BIALLELIC, autosomal or pseudoautosomal
SLC16A2	X-LINKED: hemizygous mutation in males, biallelic mutations in females
SLC16A2	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
WDR73	BIALLELIC, autosomal or pseudoautosomal
DHCR7	BIALLELIC, autosomal or pseudoautosomal
ATP13A2	BIALLELIC, autosomal or pseudoautosomal
COL4A1	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
COL4A1	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
FKRP	BIALLELIC, autosomal or pseudoautosomal
HRAS	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
HRAS	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KRAS	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
KRAS	MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown
KRAS	Unknown
ARSA	BIALLELIC, autosomal or pseudoautosomal
ARSA	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
CASK	X-LINKED: hemizygous mutation in males, biallelic mutations in females
CASK	X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)
EXOSC3	BIALLELIC, autosomal or pseudoautosomal
GMPPB	BIALLELIC, autosomal or pseudoautosomal
PEX1	BIALLELIC, autosomal or pseudoautosomal
PEX10	BIALLELIC, autosomal or pseudoautosomal
PEX2	BIALLELIC, autosomal or pseudoautosomal
RNASEH2C	BIALLELIC, autosomal or pseudoautosomal
SAMHD1	BIALLELIC, autosomal or pseudoautosomal
SPG11	BIALLELIC, autosomal or pseudoautosomal
SPG11	MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted
SPR	BIALLELIC, autosomal or pseudoautosomal
