hpo_id	hpo_name	is_obsolete
HP:0000001	All	FALSE
HP:0000002	Abnormality of body height	FALSE
HP:0000003	Multicystic kidney dysplasia	FALSE
HP:0000005	Mode of inheritance	FALSE
HP:0000006	Autosomal dominant inheritance	FALSE
HP:0000007	Autosomal recessive inheritance	FALSE
HP:0000008	Abnormal morphology of female internal genitalia	FALSE
HP:0000009	Functional abnormality of the bladder	FALSE
HP:0000010	Recurrent urinary tract infections	FALSE
HP:0000011	Neurogenic bladder	FALSE
HP:0000012	Urinary urgency	FALSE
HP:0000013	Hypoplasia of the uterus	FALSE
HP:0000014	Abnormality of the bladder	FALSE
HP:0000015	Bladder diverticulum	FALSE
HP:0000016	Urinary retention	FALSE
HP:0000017	Nocturia	FALSE
HP:0000019	Urinary hesitancy	FALSE
HP:0000020	Urinary incontinence	FALSE
HP:0000021	Megacystis	FALSE
HP:0000022	Abnormal male internal genitalia morphology	FALSE
HP:0000023	Inguinal hernia	FALSE
HP:0000024	Prostatitis	FALSE
HP:0000025	Functional abnormality of male internal genitalia	FALSE
HP:0000026	Male hypogonadism	FALSE
HP:0000027	Azoospermia	FALSE
HP:0000028	Cryptorchidism	FALSE
HP:0000029	Testicular atrophy	FALSE
HP:0000030	Testicular gonadoblastoma	FALSE
HP:0000031	Epididymitis	FALSE
HP:0000032	Abnormal male external genitalia morphology	FALSE
HP:0000033	Ambiguous genitalia, male	FALSE
HP:0000034	Hydrocele testis	FALSE
HP:0000035	Abnormal testis morphology	FALSE
HP:0000036	Abnormal penis morphology	FALSE
HP:0000037	Male pseudohermaphroditism	FALSE
HP:0000039	Epispadias	FALSE
HP:0000040	Long penis	FALSE
HP:0000041	Chordee	FALSE
HP:0000042	Absent external genitalia	FALSE
HP:0000044	Hypogonadotropic hypogonadism	FALSE
HP:0000045	Abnormal scrotum morphology	FALSE
HP:0000046	Small scrotum	FALSE
HP:0000047	Hypospadias	FALSE
HP:0000048	Bifid scrotum	FALSE
HP:0000049	Shawl scrotum	FALSE
HP:0000050	Hypoplastic male external genitalia	FALSE
HP:0000051	Perineal hypospadias	FALSE
HP:0000052	Urethral atresia, male	FALSE
HP:0000053	Macroorchidism	FALSE
HP:0000054	Micropenis	FALSE
HP:0000055	Abnormal female external genitalia morphology	FALSE
HP:0000056	Abnormal clitoris morphology	FALSE
HP:0000058	Abnormal labia morphology	FALSE
HP:0000059	Hypoplastic labia majora	FALSE
HP:0000060	Clitoral hypoplasia	FALSE
HP:0000061	Ambiguous genitalia, female	FALSE
HP:0000062	Ambiguous genitalia	FALSE
HP:0000063	Fused labia minora	FALSE
HP:0000064	Hypoplastic labia minora	FALSE
HP:0000065	Labial hypertrophy	FALSE
HP:0000066	Labial hypoplasia	FALSE
HP:0000067	Urethral atresia, female	FALSE
HP:0000068	Urethral atresia	FALSE
HP:0000069	Abnormality of the ureter	FALSE
HP:0000070	Ureterocele	FALSE
HP:0000071	Ureteral stenosis	FALSE
HP:0000072	Hydroureter	FALSE
HP:0000073	Ureteral duplication	FALSE
HP:0000074	Ureteropelvic junction obstruction	FALSE
HP:0000075	Renal duplication	FALSE
HP:0000076	Vesicoureteral reflux	FALSE
HP:0000077	Abnormality of the kidney	FALSE
HP:0000078	Abnormality of the genital system	FALSE
HP:0000079	Abnormality of the urinary system	FALSE
HP:0000080	Abnormality of reproductive system physiology	FALSE
HP:0000081	Duplicated collecting system	FALSE
HP:0000083	Renal insufficiency	FALSE
HP:0000085	Horseshoe kidney	FALSE
HP:0000086	Ectopic kidney	FALSE
HP:0000089	Renal hypoplasia	FALSE
HP:0000090	Nephronophthisis	FALSE
HP:0000091	Abnormal renal tubule morphology	FALSE
HP:0000092	Renal tubular atrophy	FALSE
HP:0000093	Proteinuria	FALSE
HP:0000095	Abnormal renal glomerulus morphology	FALSE
HP:0000096	Glomerular sclerosis	FALSE
HP:0000097	Focal segmental glomerulosclerosis	FALSE
HP:0000098	Tall stature	FALSE
HP:0000099	Glomerulonephritis	FALSE
HP:0000100	Nephrotic syndrome	FALSE
HP:0000103	Polyuria	FALSE
HP:0000104	Renal agenesis	FALSE
HP:0000105	Enlarged kidney	FALSE
HP:0000107	Renal cyst	FALSE
HP:0000108	Renal corticomedullary cysts	FALSE
HP:0000110	Renal dysplasia	FALSE
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	FALSE
HP:0000112	Nephropathy	FALSE
HP:0000113	Polycystic kidney dysplasia	FALSE
HP:0000114	Proximal tubulopathy	FALSE
HP:0000117	Renal phosphate wasting	FALSE
HP:0000118	Phenotypic abnormality	FALSE
HP:0000119	Abnormality of the genitourinary system	FALSE
HP:0000121	Nephrocalcinosis	FALSE
HP:0000122	Unilateral renal agenesis	FALSE
HP:0000123	Nephritis	FALSE
HP:0000124	Renal tubular dysfunction	FALSE
HP:0000125	Pelvic kidney	FALSE
HP:0000126	Hydronephrosis	FALSE
HP:0000127	Renal salt wasting	FALSE
HP:0000128	Renal potassium wasting	FALSE
HP:0000130	Abnormality of the uterus	FALSE
HP:0000131	Uterine leiomyoma	FALSE
HP:0000132	Menorrhagia	FALSE
HP:0000133	Gonadal dysgenesis	FALSE
HP:0000134	Female hypogonadism	FALSE
HP:0000135	Hypogonadism	FALSE
HP:0000136	Bifid uterus	FALSE
HP:0000137	Abnormality of the ovary	FALSE
HP:0000138	Ovarian cyst	FALSE
HP:0000139	Uterine prolapse	FALSE
HP:0000140	Abnormality of the menstrual cycle	FALSE
HP:0000141	Amenorrhea	FALSE
HP:0000142	Abnormal vagina morphology	FALSE
HP:0000143	Rectovaginal fistula	FALSE
HP:0000144	Decreased fertility	FALSE
HP:0000145	Transverse vaginal septum	FALSE
HP:0000147	Polycystic ovaries	FALSE
HP:0000148	Vaginal atresia	FALSE
HP:0000149	Ovarian gonadoblastoma	FALSE
HP:0000150	Gonadoblastoma	FALSE
HP:0000151	Aplasia of the uterus	FALSE
HP:0000152	Abnormality of head or neck	FALSE
HP:0000153	Abnormality of the mouth	FALSE
HP:0000154	Wide mouth	FALSE
HP:0000155	Oral ulcer	FALSE
HP:0000157	Abnormality of the tongue	FALSE
HP:0000158	Macroglossia	FALSE
HP:0000159	Abnormal lip morphology	FALSE
HP:0000160	Narrow mouth	FALSE
HP:0000161	Median cleft upper lip	FALSE
HP:0000162	Glossoptosis	FALSE
HP:0000163	Abnormal oral cavity morphology	FALSE
HP:0000164	Abnormality of the dentition	FALSE
HP:0000166	Severe periodontitis	FALSE
HP:0000168	Abnormality of the gingiva	FALSE
HP:0000169	Gingival fibromatosis	FALSE
HP:0000171	Microglossia	FALSE
HP:0000172	Abnormal uvula morphology	FALSE
HP:0000174	Abnormal palate morphology	FALSE
HP:0000175	Cleft palate	FALSE
HP:0000176	Submucous cleft hard palate	FALSE
HP:0000177	Abnormal upper lip morphology	FALSE
HP:0000178	Abnormal lower lip morphology	FALSE
HP:0000179	Thick lower lip vermilion	FALSE
HP:0000180	Lobulated tongue	FALSE
HP:0000182	Movement abnormality of the tongue	FALSE
HP:0000183	Tongue muscle weakness	FALSE
HP:0000185	Cleft soft palate	FALSE
HP:0000187	Broad alveolar ridges	FALSE
HP:0000188	Short upper lip	FALSE
HP:0000189	Narrow palate	FALSE
HP:0000190	Abnormal oral frenulum morphology	FALSE
HP:0000191	Accessory oral frenulum	FALSE
HP:0000193	Bifid uvula	FALSE
HP:0000194	Open mouth	FALSE
HP:0000196	Lower lip pit	FALSE
HP:0000197	Abnormal parotid gland morphology	FALSE
HP:0000198	Absence of Stensen duct	FALSE
HP:0000199	Tongue nodules	FALSE
HP:0000200	Short lingual frenulum	FALSE
HP:0000201	Pierre-Robin sequence	FALSE
HP:0000202	Orofacial cleft	FALSE
HP:0000204	Cleft upper lip	FALSE
HP:0000205	Pursed lips	FALSE
HP:0000206	Glossitis	FALSE
HP:0000207	Triangular mouth	FALSE
HP:0000211	Trismus	FALSE
HP:0000212	Gingival overgrowth	FALSE
HP:0000214	Lip telangiectasia	FALSE
HP:0000215	Thick upper lip vermilion	FALSE
HP:0000216	Broad secondary alveolar ridge	FALSE
HP:0000217	Xerostomia	FALSE
HP:0000218	High palate	FALSE
HP:0000219	Thin upper lip vermilion	FALSE
HP:0000220	Velopharyngeal insufficiency	FALSE
HP:0000221	Furrowed tongue	FALSE
HP:0000222	Gingival hyperkeratosis	FALSE
HP:0000223	Abnormality of taste sensation	FALSE
HP:0000224	Hypogeusia	FALSE
HP:0000225	Gingival bleeding	FALSE
HP:0000227	Tongue telangiectasia	FALSE
HP:0000228	Oral cavity telangiectasia	FALSE
HP:0000230	Gingivitis	FALSE
HP:0000232	Everted lower lip vermilion	FALSE
HP:0000233	Thin vermilion border	FALSE
HP:0000234	Abnormality of the head	FALSE
HP:0000235	Abnormal cranial suture/fontanelle morphology	FALSE
HP:0000236	Abnormal anterior fontanelle morphology	FALSE
HP:0000237	Small anterior fontanelle	FALSE
HP:0000238	Hydrocephalus	FALSE
HP:0000239	Large fontanelles	FALSE
HP:0000240	Abnormality of skull size	FALSE
HP:0000242	Parietal bossing	FALSE
HP:0000243	Trigonocephaly	FALSE
HP:0000244	Brachyturricephaly	FALSE
HP:0000245	Abnormal paranasal sinus morphology	FALSE
HP:0000246	Sinusitis	FALSE
HP:0000248	Brachycephaly	FALSE
HP:0000250	Dense calvaria	FALSE
HP:0000252	Microcephaly	FALSE
HP:0000253	Progressive microcephaly	FALSE
HP:0000255	Acute sinusitis	FALSE
HP:0000256	Macrocephaly	FALSE
HP:0000260	Wide anterior fontanel	FALSE
HP:0000262	Turricephaly	FALSE
HP:0000263	Oxycephaly	FALSE
HP:0000264	Abnormal mastoid morphology	FALSE
HP:0000265	Mastoiditis	FALSE
HP:0000267	Cranial asymmetry	FALSE
HP:0000268	Dolichocephaly	FALSE
HP:0000269	Prominent occiput	FALSE
HP:0000270	Delayed cranial suture closure	FALSE
HP:0000271	Abnormality of the face	FALSE
HP:0000272	Malar flattening	FALSE
HP:0000273	Facial grimacing	FALSE
HP:0000274	Small face	FALSE
HP:0000275	Narrow face	FALSE
HP:0000276	Long face	FALSE
HP:0000277	Abnormal mandible morphology	FALSE
HP:0000278	Retrognathia	FALSE
HP:0000280	Coarse facial features	FALSE
HP:0000282	Facial edema	FALSE
HP:0000283	Broad face	FALSE
HP:0000286	Epicanthus	FALSE
HP:0000287	Increased facial adipose tissue	FALSE
HP:0000288	Abnormality of the philtrum	FALSE
HP:0000289	Broad philtrum	FALSE
HP:0000290	Abnormal forehead morphology	FALSE
HP:0000291	Abnormality of facial adipose tissue	FALSE
HP:0000292	Loss of facial adipose tissue	FALSE
HP:0000293	Full cheeks	FALSE
HP:0000294	Low anterior hairline	FALSE
HP:0000295	Doll-like facies	FALSE
HP:0000297	Facial hypotonia	FALSE
HP:0000298	Mask-like facies	FALSE
HP:0000300	Oval face	FALSE
HP:0000301	Abnormality of facial musculature	FALSE
HP:0000303	Mandibular prognathia	FALSE
HP:0000306	Abnormality of the chin	FALSE
HP:0000307	Pointed chin	FALSE
HP:0000308	Microretrognathia	FALSE
HP:0000309	Abnormal midface morphology	FALSE
HP:0000311	Round face	FALSE
HP:0000315	Abnormality of the orbital region	FALSE
HP:0000316	Hypertelorism	FALSE
HP:0000317	Facial myokymia	FALSE
HP:0000319	Smooth philtrum	FALSE
HP:0000320	Bird-like facies	FALSE
HP:0000321	Square face	FALSE
HP:0000322	Short philtrum	FALSE
HP:0000324	Facial asymmetry	FALSE
HP:0000325	Triangular face	FALSE
HP:0000326	Abnormal maxilla morphology	FALSE
HP:0000327	Hypoplasia of the maxilla	FALSE
HP:0000329	Facial hemangioma	FALSE
HP:0000331	Short chin	FALSE
HP:0000336	Prominent supraorbital ridges	FALSE
HP:0000337	Broad forehead	FALSE
HP:0000338	Hypomimic face	FALSE
HP:0000339	Pugilistic facies	FALSE
HP:0000340	Sloping forehead	FALSE
HP:0000341	Narrow forehead	FALSE
HP:0000343	Long philtrum	FALSE
HP:0000346	Whistling appearance	FALSE
HP:0000347	Micrognathia	FALSE
HP:0000348	High forehead	FALSE
HP:0000349	Widow's peak	FALSE
HP:0000350	Small forehead	FALSE
HP:0000356	Abnormality of the outer ear	FALSE
HP:0000357	Abnormal location of ears	FALSE
HP:0000358	Posteriorly rotated ears	FALSE
HP:0000359	Abnormality of the inner ear	FALSE
HP:0000360	Tinnitus	FALSE
HP:0000362	Otosclerosis	FALSE
