gene_symbol	panel_id	panel_name
BCS1L	402	Inherited white matter disorders
BCS1L	478	Intellectual disability
BCS1L	486	Mitochondrial liver disease, including transient infantile liver failure
BCS1L	490	Monogenic hearing loss
BCS1L	496	Neonatal cholestasis
BCS1L	532	Paediatric disorders
BCS1L	749	Paediatric or syndromic cardiomyopathy
BCS1L	847	Paediatric pseudo-obstruction syndrome
BCS1L	1217	Structural basal ganglia disorders
BCS1L	1220	Unexplained death in infancy and sudden unexplained death in childhood
FKTN	25	Bilateral congenital or childhood onset cataracts
FKTN	85	Cerebellar hypoplasia
FKTN	207	Childhood onset dystonia, chorea or related movement disorder
FKTN	230	Childhood onset leukodystrophy
FKTN	285	Congenital disorders of glycosylation
FKTN	286	Congenital muscular dystrophy
FKTN	402	Early onset or syndromic epilepsy
FKTN	478	Fetal anomalies
FKTN	486	Hereditary ataxia and cerebellar anomalies - childhood onset
FKTN	488	Hereditary neuropathy
FKTN	490	Hypotonic infant
FKTN	496	Intellectual disability
FKTN	749	Paediatric disorders
FKTN	847	Paediatric or syndromic cardiomyopathy
FKTN	1220	Unexplained death in infancy and sudden unexplained death in childhood
FLVCR1	20	Childhood onset dystonia, chorea or related movement disorder
FLVCR1	85	Childhood onset hereditary spastic paraplegia
FLVCR1	249	Childhood onset leukodystrophy
FLVCR1	285	Early onset or syndromic epilepsy
FLVCR1	288	Fetal anomalies
FLVCR1	307	Glaucoma (developmental)
FLVCR1	402	Hereditary ataxia
FLVCR1	478	Hereditary ataxia and cerebellar anomalies - childhood onset
FLVCR1	486	Hereditary neuropathy
FLVCR1	488	Hypotonic infant
FLVCR1	490	Intellectual disability
FLVCR1	496	Paediatric disorders
FLVCR1	568	Pain syndromes
FLVCR1	847	Retinal disorders
FLVCR1	1220	Unexplained death in infancy and sudden unexplained death in childhood
TREX1	42	Childhood onset dystonia, chorea or related movement disorder
TREX1	192	Childhood onset leukodystrophy
TREX1	239	Early onset dystonia
TREX1	285	Early onset or syndromic epilepsy
TREX1	307	Fetal anomalies
TREX1	315	Hypotonic infant
TREX1	398	Inherited white matter disorders
TREX1	402	Intellectual disability
TREX1	478	Intracerebral calcification disorders
TREX1	486	Juvenile dermatomyositis
TREX1	490	Paediatric disorders
TREX1	496	Paediatric or syndromic cardiomyopathy
TREX1	749	Primary immunodeficiency or monogenic inflammatory bowel disease
TREX1	847	Retinal disorders
TREX1	1220	Unexplained death in infancy and sudden unexplained death in childhood
MMACHC	20	Childhood onset dystonia, chorea or related movement disorder
MMACHC	85	Childhood onset leukodystrophy
MMACHC	285	Early onset or syndromic epilepsy
MMACHC	307	Fetal anomalies
MMACHC	402	Hereditary ataxia
MMACHC	478	Hereditary ataxia and cerebellar anomalies - childhood onset
MMACHC	486	Hereditary neuropathy
MMACHC	488	Hypotonic infant
MMACHC	490	Intellectual disability
MMACHC	496	Paediatric disorders
MMACHC	678	Paediatric or syndromic cardiomyopathy
MMACHC	749	Retinal disorders
MMACHC	847	Unexplained death in infancy and sudden unexplained death in childhood
MMACHC	1220	Unexplained young onset end-stage renal disease
OFD1	38	Beckwith-Wiedemann syndrome (BWS) and other congenital overgrowth disorders
OFD1	150	Childhood onset dystonia, chorea or related movement disorder
OFD1	156	Childhood onset leukodystrophy
OFD1	249	Deafness and congenital structural abnormalities
OFD1	251	Fetal anomalies
OFD1	285	Glaucoma (developmental)
OFD1	307	Hereditary ataxia and cerebellar anomalies - childhood onset
OFD1	478	Hypotonic infant
OFD1	486	Intellectual disability
OFD1	488	Paediatric disorders
OFD1	490	Rare multisystem ciliopathy disorders
OFD1	496	Retinal disorders
OFD1	678	Unexplained kidney failure in young people
OFD1	847	Unexplained young onset end-stage renal disease
PEX6	42	Bilateral congenital or childhood onset cataracts
PEX6	144	Childhood onset dystonia, chorea or related movement disorder
PEX6	230	Childhood onset leukodystrophy
PEX6	285	Early onset or syndromic epilepsy
PEX6	307	Fetal anomalies
PEX6	385	Fetal hydrops
PEX6	402	Hereditary ataxia and cerebellar anomalies - childhood onset
PEX6	478	Hypotonic infant
PEX6	486	Inherited white matter disorders
PEX6	488	Intellectual disability
PEX6	490	Neonatal cholestasis
PEX6	496	Paediatric disorders
PEX6	847	Retinal disorders
PEX6	1220	Unexplained death in infancy and sudden unexplained death in childhood
PLA2G6	20	Childhood onset dystonia, chorea or related movement disorder
PLA2G6	39	Childhood onset leukodystrophy
PLA2G6	180	Early onset dystonia
PLA2G6	192	Early onset or syndromic epilepsy
PLA2G6	285	Fetal anomalies
PLA2G6	402	Hereditary ataxia
PLA2G6	478	Hereditary ataxia and cerebellar anomalies - childhood onset
PLA2G6	486	Hypotonic infant
PLA2G6	488	Intellectual disability
PLA2G6	490	Paediatric disorders
PLA2G6	496	Parkinson Disease and Complex Parkinsonism
PLA2G6	546	Severe insulin resistance and lipodystrophy syndromes
PLA2G6	847	Structural basal ganglia disorders
PLA2G6	1220	Unexplained death in infancy and sudden unexplained death in childhood
POMGNT1	25	Bilateral congenital or childhood onset cataracts
POMGNT1	207	Cerebellar hypoplasia
POMGNT1	230	Childhood onset dystonia, chorea or related movement disorder
POMGNT1	285	Childhood onset leukodystrophy
POMGNT1	286	Congenital disorders of glycosylation
POMGNT1	307	Congenital muscular dystrophy
POMGNT1	402	Early onset or syndromic epilepsy
POMGNT1	478	Fetal anomalies
POMGNT1	486	Hereditary ataxia and cerebellar anomalies - childhood onset
POMGNT1	488	Hypotonic infant
POMGNT1	490	Intellectual disability
POMGNT1	496	Paediatric disorders
POMGNT1	847	Retinal disorders
POMGNT1	1220	Unexplained death in infancy and sudden unexplained death in childhood
POMT1	25	Bilateral congenital or childhood onset cataracts
POMT1	207	Cerebellar hypoplasia
POMT1	230	Childhood onset dystonia, chorea or related movement disorder
POMT1	285	Childhood onset leukodystrophy
POMT1	286	Congenital disorders of glycosylation
POMT1	307	Congenital muscular dystrophy
POMT1	402	Early onset or syndromic epilepsy
POMT1	478	Fetal anomalies
POMT1	486	Hereditary ataxia and cerebellar anomalies - childhood onset
POMT1	488	Hypotonic infant
POMT1	490	Intellectual disability
POMT1	496	Paediatric disorders
POMT1	847	Retinal disorders
POMT1	1220	Unexplained death in infancy and sudden unexplained death in childhood
ATP1A3	20	Brain channelopathy
ATP1A3	39	Childhood onset dystonia, chorea or related movement disorder
ATP1A3	90	Childhood onset leukodystrophy
ATP1A3	192	Early onset dystonia
ATP1A3	285	Early onset or syndromic epilepsy
ATP1A3	402	Fetal anomalies
ATP1A3	478	Hereditary ataxia
ATP1A3	486	Hereditary ataxia and cerebellar anomalies - childhood onset
ATP1A3	488	Hypotonic infant
ATP1A3	490	Intellectual disability
ATP1A3	496	Paediatric disorders
ATP1A3	847	Parkinson Disease and Complex Parkinsonism
ATP1A3	1220	Unexplained death in infancy and sudden unexplained death in childhood
KIF1A	85	Childhood onset dystonia, chorea or related movement disorder
KIF1A	165	Childhood onset hereditary spastic paraplegia
KIF1A	285	Childhood onset leukodystrophy
KIF1A	288	Early onset or syndromic epilepsy
KIF1A	402	Fetal anomalies
KIF1A	478	Hereditary ataxia and cerebellar anomalies - childhood onset
KIF1A	486	Hereditary neuropathy
KIF1A	488	Hereditary spastic paraplegia
KIF1A	490	Hypotonic infant
KIF1A	496	Intellectual disability
KIF1A	568	Paediatric disorders
KIF1A	847	Pain syndromes
KIF1A	1220	Unexplained death in infancy and sudden unexplained death in childhood
NPC1	20	Childhood onset dystonia, chorea or related movement disorder
NPC1	144	Childhood onset leukodystrophy
NPC1	176	Fetal anomalies
NPC1	285	Fetal hydrops
NPC1	385	Hereditary ataxia
NPC1	398	Hereditary ataxia and cerebellar anomalies - childhood onset
NPC1	478	Hypotonic infant
NPC1	486	Infantile enterocolitis & monogenic inflammatory bowel disease
NPC1	488	Intellectual disability
NPC1	490	Neonatal cholestasis
NPC1	496	Paediatric disorders
NPC1	847	Primary immunodeficiency or monogenic inflammatory bowel disease
NPC1	1220	Unexplained death in infancy and sudden unexplained death in childhood
PEX16	20	Bilateral congenital or childhood onset cataracts
PEX16	42	Childhood onset dystonia, chorea or related movement disorder
PEX16	144	Childhood onset leukodystrophy
PEX16	230	Fetal anomalies
PEX16	285	Fetal hydrops
PEX16	385	Hereditary ataxia
PEX16	478	Hereditary ataxia and cerebellar anomalies - childhood onset
PEX16	486	Hypotonic infant
PEX16	488	Inherited white matter disorders
PEX16	490	Intellectual disability
PEX16	496	Neonatal cholestasis
PEX16	847	Paediatric disorders
PEX16	1220	Unexplained death in infancy and sudden unexplained death in childhood
POLR3A	20	Childhood onset dystonia, chorea or related movement disorder
POLR3A	42	Childhood onset hereditary spastic paraplegia
POLR3A	85	Childhood onset leukodystrophy
POLR3A	165	Fetal anomalies
POLR3A	285	Hereditary ataxia
POLR3A	398	Hereditary ataxia and cerebellar anomalies - childhood onset
POLR3A	478	Hereditary neuropathy
POLR3A	486	Hereditary spastic paraplegia
POLR3A	488	Hypotonic infant
POLR3A	490	Inherited white matter disorders
POLR3A	496	Intellectual disability
POLR3A	568	Paediatric disorders
POLR3A	847	Primary immunodeficiency or monogenic inflammatory bowel disease
CHD7	101	CAKUT
CHD7	126	Childhood onset leukodystrophy
CHD7	156	Deafness and congenital structural abnormalities
CHD7	234	Fetal anomalies
CHD7	251	Hypotonic infant
CHD7	285	Intellectual disability
CHD7	398	Monogenic hearing loss
CHD7	478	Paediatric disorders
CHD7	486	Primary immunodeficiency or monogenic inflammatory bowel disease
CHD7	490	Unexplained kidney failure in young people
CHD7	496	Unexplained young onset end-stage renal disease
CHD7	678	VACTERL-like phenotypes
FOLR1	20	Childhood onset dystonia, chorea or related movement disorder
FOLR1	42	Childhood onset leukodystrophy
FOLR1	219	Early onset or syndromic epilepsy
FOLR1	285	Fetal anomalies
FOLR1	402	Hereditary ataxia
FOLR1	478	Hereditary ataxia and cerebellar anomalies - childhood onset
FOLR1	486	Hypotonic infant
FOLR1	488	Inherited white matter disorders
FOLR1	490	Intellectual disability
FOLR1	496	Neurotransmitter disorders
FOLR1	847	Paediatric disorders
FOLR1	1220	Unexplained death in infancy and sudden unexplained death in childhood
KMT2D	144	CAKUT
KMT2D	173	Childhood onset leukodystrophy
KMT2D	234	Congenital hyperinsulinism
KMT2D	251	Deafness and congenital structural abnormalities
KMT2D	285	Fetal anomalies
KMT2D	308	Fetal hydrops
KMT2D	398	Hypotonic infant
KMT2D	478	Intellectual disability
KMT2D	486	Intestinal failure or congenital diarrhoea
KMT2D	490	Kabuki syndrome
KMT2D	496	Paediatric disorders
KMT2D	514	Primary immunodeficiency or monogenic inflammatory bowel disease
LETM1	126	Bilateral congenital or childhood onset cataracts
LETM1	225	Childhood onset hereditary spastic paraplegia
LETM1	230	Childhood onset leukodystrophy
LETM1	285	Congenital myopathy
LETM1	402	Early onset or syndromic epilepsy
LETM1	486	Hereditary ataxia and cerebellar anomalies - childhood onset
LETM1	488	Hypotonic infant
LETM1	490	Intellectual disability
LETM1	496	Monogenic hearing loss
LETM1	568	Paediatric disorders
LETM1	749	Paediatric or syndromic cardiomyopathy
LETM1	1220	Unexplained death in infancy and sudden unexplained death in childhood
SLC16A2	31	Childhood onset dystonia, chorea or related movement disorder
SLC16A2	42	Childhood onset hereditary spastic paraplegia
SLC16A2	165	Childhood onset leukodystrophy
SLC16A2	285	Congenital hypothyroidism
SLC16A2	402	Early onset or syndromic epilepsy
SLC16A2	478	Fetal anomalies
SLC16A2	486	Hereditary spastic paraplegia
SLC16A2	490	Hypotonic infant
SLC16A2	496	Inherited white matter disorders
SLC16A2	568	Intellectual disability
SLC16A2	847	Paediatric disorders
SLC16A2	1220	Unexplained death in infancy and sudden unexplained death in childhood
WDR73	20	Childhood onset dystonia, chorea or related movement disorder
WDR73	192	Childhood onset leukodystrophy
WDR73	285	Early onset dystonia
WDR73	402	Early onset or syndromic epilepsy
WDR73	478	Fetal anomalies
WDR73	486	Hereditary ataxia
WDR73	488	Hereditary ataxia and cerebellar anomalies - childhood onset
WDR73	490	Hypotonic infant
WDR73	496	Intellectual disability
WDR73	678	Paediatric disorders
WDR73	847	Unexplained death in infancy and sudden unexplained death in childhood
WDR73	1220	Unexplained young onset end-stage renal disease
DHCR7	144	Bilateral congenital or childhood onset cataracts
DHCR7	150	CAKUT
DHCR7	230	Childhood onset dystonia, chorea or related movement disorder
DHCR7	234	Childhood onset leukodystrophy
DHCR7	285	Early onset or syndromic epilepsy
DHCR7	385	Fetal anomalies
DHCR7	402	Fetal hydrops
DHCR7	478	Hereditary ataxia and cerebellar anomalies - childhood onset
DHCR7	486	Hypotonic infant
DHCR7	488	Intellectual disability
DHCR7	490	Neonatal cholestasis
DHCR7	496	Paediatric disorders
DHCR7	678	Paediatric or syndromic cardiomyopathy
DHCR7	749	Rare multisystem ciliopathy disorders
DHCR7	847	Unexplained death in infancy and sudden unexplained death in childhood
DHCR7	1220	Unexplained young onset end-stage renal disease
ATP13A2	39	Childhood onset dystonia, chorea or related movement disorder
ATP13A2	165	Childhood onset hereditary spastic paraplegia
ATP13A2	180	Childhood onset leukodystrophy
ATP13A2	192	Early onset dystonia
ATP13A2	249	Fetal anomalies
ATP13A2	285	Glaucoma (developmental)
ATP13A2	307	Hereditary spastic paraplegia
ATP13A2	478	Hypotonic infant
ATP13A2	486	Intellectual disability
ATP13A2	490	Paediatric disorders
ATP13A2	496	Parkinson Disease and Complex Parkinsonism
ATP13A2	568	Retinal disorders
ATP13A2	847	Structural basal ganglia disorders
ATP13A2	1220	Unexplained death in infancy and sudden unexplained death in childhood
COL4A1	42	Bilateral congenital or childhood onset cataracts
COL4A1	207	Childhood onset leukodystrophy
COL4A1	230	Congenital muscular dystrophy
COL4A1	249	Early onset or syndromic epilepsy
COL4A1	285	Fetal anomalies
COL4A1	307	Glaucoma (developmental)
COL4A1	315	Hypotonic infant
COL4A1	402	Inherited white matter disorders
COL4A1	478	Intellectual disability
COL4A1	486	Intracerebral calcification disorders
COL4A1	490	Paediatric disorders
COL4A1	496	Retinal disorders
COL4A1	678	Unexplained death in infancy and sudden unexplained death in childhood
COL4A1	1220	Unexplained young onset end-stage renal disease
FKRP	25	Bilateral congenital or childhood onset cataracts
FKRP	207	Cerebellar hypoplasia
FKRP	230	Childhood onset dystonia, chorea or related movement disorder
FKRP	285	Childhood onset leukodystrophy
FKRP	286	Congenital disorders of glycosylation
FKRP	402	Congenital muscular dystrophy
FKRP	478	Early onset or syndromic epilepsy
FKRP	486	Fetal anomalies
FKRP	488	Hereditary ataxia and cerebellar anomalies - childhood onset
FKRP	490	Hypotonic infant
FKRP	496	Intellectual disability
FKRP	749	Paediatric disorders
FKRP	847	Paediatric or syndromic cardiomyopathy
FKRP	1220	Unexplained death in infancy and sudden unexplained death in childhood
HRAS	48	Childhood onset leukodystrophy
HRAS	85	Childhood solid tumours
HRAS	144	Congenital myopathy
HRAS	159	Cytopenias and congenital anaemias
HRAS	225	Early onset or syndromic epilepsy
HRAS	243	Fetal anomalies
HRAS	285	Fetal hydrops
HRAS	402	Hereditary neuropathy
HRAS	478	Hypotonic infant
HRAS	486	Intellectual disability
HRAS	490	Paediatric disorders
HRAS	496	Paediatric or syndromic cardiomyopathy
HRAS	749	RASopathies
HRAS	1220	Unexplained death in infancy and sudden unexplained death in childhood
KRAS	48	Childhood onset leukodystrophy
KRAS	85	Childhood solid tumours
KRAS	144	Cytopenias and congenital anaemias
KRAS	159	Early onset or syndromic epilepsy
KRAS	243	Fetal anomalies
KRAS	285	Fetal hydrops
KRAS	398	Hereditary neuropathy
KRAS	402	Hypotonic infant
KRAS	478	Intellectual disability
KRAS	486	Paediatric disorders
KRAS	490	Paediatric or syndromic cardiomyopathy
KRAS	496	Primary immunodeficiency or monogenic inflammatory bowel disease
KRAS	749	RASopathies
KRAS	1220	Unexplained death in infancy and sudden unexplained death in childhood
ARSA	20	Childhood onset dystonia, chorea or related movement disorder
ARSA	39	Childhood onset leukodystrophy
ARSA	42	Early onset dystonia
ARSA	85	Fetal anomalies
ARSA	192	Hereditary ataxia
ARSA	285	Hereditary ataxia and cerebellar anomalies - childhood onset
ARSA	478	Hereditary neuropathy
ARSA	486	Hypotonic infant
ARSA	488	Inherited white matter disorders
ARSA	490	Intellectual disability
ARSA	496	Paediatric disorders
ARSA	847	Parkinson Disease and Complex Parkinsonism
ARSA	1220	Unexplained death in infancy and sudden unexplained death in childhood
CASK	20	Albinism or congenital nystagmus
CASK	253	Cerebellar hypoplasia
CASK	285	Childhood onset dystonia, chorea or related movement disorder
CASK	286	Childhood onset leukodystrophy
CASK	402	Early onset or syndromic epilepsy
CASK	478	Fetal anomalies
CASK	486	Hereditary ataxia
CASK	488	Hereditary ataxia and cerebellar anomalies - childhood onset
CASK	490	Hypotonic infant
CASK	496	Intellectual disability
CASK	511	Non-syndromic familial congenital anorectal malformations
CASK	847	Paediatric disorders
CASK	1220	Unexplained death in infancy and sudden unexplained death in childhood
EXOSC3	20	Cerebellar hypoplasia
EXOSC3	79	Childhood onset dystonia, chorea or related movement disorder
EXOSC3	285	Childhood onset hereditary spastic paraplegia
EXOSC3	286	Childhood onset leukodystrophy
EXOSC3	402	Early onset or syndromic epilepsy
EXOSC3	478	Fetal anomalies
EXOSC3	486	Hereditary ataxia
EXOSC3	488	Hereditary ataxia and cerebellar anomalies - childhood onset
EXOSC3	490	Hypotonic infant
EXOSC3	496	Intellectual disability
EXOSC3	568	Paediatric disorders
EXOSC3	847	Paediatric motor neuronopathies
EXOSC3	1220	Unexplained death in infancy and sudden unexplained death in childhood
GMPPB	25	Bilateral congenital or childhood onset cataracts
GMPPB	207	Cerebellar hypoplasia
GMPPB	230	Childhood onset dystonia, chorea or related movement disorder
GMPPB	232	Childhood onset leukodystrophy
GMPPB	285	Congenital disorders of glycosylation
GMPPB	286	Congenital muscular dystrophy
GMPPB	478	Congenital myaesthenic syndrome
GMPPB	486	Fetal anomalies
GMPPB	488	Hereditary ataxia and cerebellar anomalies - childhood onset
GMPPB	490	Hypotonic infant
GMPPB	496	Intellectual disability
GMPPB	847	Paediatric disorders
GMPPB	1220	Unexplained death in infancy and sudden unexplained death in childhood
PEX1	42	Bilateral congenital or childhood onset cataracts
PEX1	144	Childhood onset dystonia, chorea or related movement disorder
PEX1	230	Childhood onset leukodystrophy
PEX1	285	Early onset or syndromic epilepsy
PEX1	307	Fetal anomalies
PEX1	385	Fetal hydrops
PEX1	402	Hypotonic infant
PEX1	478	Inherited white matter disorders
PEX1	486	Intellectual disability
PEX1	490	Neonatal cholestasis
PEX1	496	Paediatric disorders
PEX1	847	Retinal disorders
PEX1	1220	Unexplained death in infancy and sudden unexplained death in childhood
PEX10	42	Bilateral congenital or childhood onset cataracts
PEX10	85	Childhood onset dystonia, chorea or related movement disorder
PEX10	144	Childhood onset leukodystrophy
PEX10	230	Early onset or syndromic epilepsy
