gene_symbol	panel_id	panel_name
POLG	20	Bilateral congenital or childhood onset cataracts
POLG	42	Childhood onset dystonia, chorea or related movement disorder
POLG	61	Childhood onset leukodystrophy
POLG	85	Early onset or syndromic epilepsy
POLG	155	Fetal anomalies
POLG	230	Gastrointestinal neuromuscular disorders
POLG	285	Hereditary ataxia
POLG	385	Hereditary ataxia and cerebellar anomalies - childhood onset
POLG	402	Hereditary neuropathy
POLG	478	Hypotonic infant
POLG	486	Inherited white matter disorders
POLG	488	Intellectual disability
POLG	490	Mitochondrial liver disease, including transient infantile liver failure
POLG	496	Neonatal cholestasis
POLG	532	Paediatric disorders
POLG	847	Paediatric pseudo-obstruction syndrome
POLG	1217	Primary ovarian insufficiency
POLG	1220	Unexplained death in infancy and sudden unexplained death in childhood
SLC2A1	20	Bilateral congenital or childhood onset cataracts
SLC2A1	90	Brain channelopathy
SLC2A1	159	Childhood onset dystonia, chorea or related movement disorder
SLC2A1	165	Childhood onset hereditary spastic paraplegia
SLC2A1	192	Childhood onset leukodystrophy
SLC2A1	229	Cytopenias and congenital anaemias
SLC2A1	230	Early onset dystonia
SLC2A1	285	Early onset or syndromic epilepsy
SLC2A1	402	Fetal anomalies
SLC2A1	478	Hereditary ataxia
SLC2A1	486	Hereditary ataxia and cerebellar anomalies - childhood onset
SLC2A1	488	Hereditary spastic paraplegia
SLC2A1	490	Hypotonic infant
SLC2A1	496	Intellectual disability
SLC2A1	568	Paediatric disorders
SLC2A1	847	Skeletal Muscle Channelopathies
SLC2A1	1220	Unexplained death in infancy and sudden unexplained death in childhood
TUBB4A	20	Childhood onset dystonia, chorea or related movement disorder
TUBB4A	39	Childhood onset hereditary spastic paraplegia
TUBB4A	42	Childhood onset leukodystrophy
TUBB4A	165	Early onset dystonia
TUBB4A	180	Early onset or syndromic epilepsy
TUBB4A	192	Fetal anomalies
TUBB4A	285	Hereditary ataxia
TUBB4A	402	Hereditary ataxia and cerebellar anomalies - childhood onset
TUBB4A	478	Hereditary spastic paraplegia
TUBB4A	486	Hypotonic infant
TUBB4A	488	Inherited white matter disorders
TUBB4A	490	Intellectual disability
TUBB4A	496	Paediatric disorders
TUBB4A	568	Parkinson Disease and Complex Parkinsonism
TUBB4A	847	Structural basal ganglia disorders
TUBB4A	1220	Unexplained death in infancy and sudden unexplained death in childhood
PMM2	25	Childhood onset dystonia, chorea or related movement disorder
PMM2	85	Childhood onset leukodystrophy
PMM2	144	Congenital disorders of glycosylation
PMM2	150	Congenital hyperinsulinism
PMM2	155	Early onset or syndromic epilepsy
PMM2	156	Fetal anomalies
PMM2	285	Fetal hydrops
PMM2	308	Hereditary ataxia and cerebellar anomalies - childhood onset
PMM2	402	Hereditary neuropathy
PMM2	478	Hypotonic infant
PMM2	486	Intellectual disability
PMM2	488	Paediatric disorders
PMM2	490	Primary ovarian insufficiency
PMM2	496	Rare multisystem ciliopathy disorders
PMM2	678	Unexplained death in infancy and sudden unexplained death in childhood
PMM2	847	Unexplained kidney failure in young people
PMM2	1220	Unexplained young onset end-stage renal disease
ADAR	42	Childhood onset dystonia, chorea or related movement disorder
ADAR	165	Childhood onset hereditary spastic paraplegia
ADAR	180	Childhood onset leukodystrophy
ADAR	192	Early onset dystonia
ADAR	285	Early onset or syndromic epilepsy
ADAR	315	Fetal anomalies
ADAR	398	Hereditary spastic paraplegia
ADAR	402	Hypotonic infant
ADAR	478	Inherited white matter disorders
ADAR	486	Intellectual disability
ADAR	490	Intracerebral calcification disorders
ADAR	496	Paediatric disorders
ADAR	568	Primary immunodeficiency or monogenic inflammatory bowel disease
ADAR	847	Structural basal ganglia disorders
ADAR	1220	Unexplained death in infancy and sudden unexplained death in childhood
IFIH1	42	Childhood onset dystonia, chorea or related movement disorder
IFIH1	176	Childhood onset hereditary spastic paraplegia
IFIH1	180	Childhood onset leukodystrophy
IFIH1	249	Early onset or syndromic epilepsy
IFIH1	285	Fetal anomalies
IFIH1	315	Glaucoma (developmental)
IFIH1	398	Hypotonic infant
IFIH1	402	Infantile enterocolitis & monogenic inflammatory bowel disease
IFIH1	478	Inherited white matter disorders
IFIH1	486	Intellectual disability
IFIH1	490	Intracerebral calcification disorders
IFIH1	496	Paediatric disorders
IFIH1	568	Primary immunodeficiency or monogenic inflammatory bowel disease
IFIH1	847	Structural basal ganglia disorders
IFIH1	1220	Unexplained death in infancy and sudden unexplained death in childhood
ALMS1	126	Childhood onset dystonia, chorea or related movement disorder
ALMS1	130	Childhood onset leukodystrophy
ALMS1	150	Fetal anomalies
ALMS1	156	Glaucoma (developmental)
ALMS1	249	Hypotonic infant
ALMS1	285	Intellectual disability
ALMS1	307	Monogenic hearing loss
ALMS1	478	Paediatric disorders
ALMS1	486	Paediatric or syndromic cardiomyopathy
ALMS1	490	Rare multisystem ciliopathy disorders
ALMS1	496	Retinal disorders
ALMS1	546	Severe early-onset obesity
ALMS1	678	Severe insulin resistance and lipodystrophy syndromes
ALMS1	749	Unexplained death in infancy and sudden unexplained death in childhood
ALMS1	847	Unexplained kidney failure in young people
ALMS1	1220	Unexplained young onset end-stage renal disease
CACNA1A	20	Albinism or congenital nystagmus
CACNA1A	90	Brain channelopathy
CACNA1A	192	Childhood onset dystonia, chorea or related movement disorder
CACNA1A	229	Childhood onset leukodystrophy
CACNA1A	232	Congenital myaesthenic syndrome
CACNA1A	246	Early onset dystonia
CACNA1A	285	Early onset or syndromic epilepsy
CACNA1A	402	Fetal anomalies
CACNA1A	478	Hereditary ataxia
CACNA1A	486	Hereditary ataxia and cerebellar anomalies - childhood onset
CACNA1A	488	Hypotonic infant
CACNA1A	490	Infantile nystagmus
CACNA1A	496	Intellectual disability
CACNA1A	511	Paediatric disorders
CACNA1A	847	Skeletal Muscle Channelopathies
CACNA1A	1220	Unexplained death in infancy and sudden unexplained death in childhood
OPA3	20	Bilateral congenital or childhood onset cataracts
OPA3	39	Childhood onset dystonia, chorea or related movement disorder
OPA3	85	Childhood onset hereditary spastic paraplegia
OPA3	165	Childhood onset leukodystrophy
OPA3	230	Glaucoma (developmental)
OPA3	249	Hereditary ataxia
OPA3	285	Hereditary ataxia and cerebellar anomalies - childhood onset
OPA3	307	Hereditary neuropathy
OPA3	486	Hereditary spastic paraplegia
OPA3	488	Hypotonic infant
OPA3	490	Intellectual disability
OPA3	496	Paediatric disorders
OPA3	568	Parkinson Disease and Complex Parkinsonism
OPA3	847	Retinal disorders
OPA3	1220	Unexplained death in infancy and sudden unexplained death in childhood
RNASEH2B	42	Childhood onset dystonia, chorea or related movement disorder
RNASEH2B	165	Childhood onset hereditary spastic paraplegia
RNASEH2B	192	Childhood onset leukodystrophy
RNASEH2B	239	Early onset dystonia
RNASEH2B	285	Early onset or syndromic epilepsy
RNASEH2B	315	Fetal anomalies
RNASEH2B	398	Hereditary spastic paraplegia
RNASEH2B	402	Hypotonic infant
RNASEH2B	478	Inherited white matter disorders
RNASEH2B	486	Intellectual disability
RNASEH2B	490	Intracerebral calcification disorders
RNASEH2B	496	Juvenile dermatomyositis
RNASEH2B	568	Paediatric disorders
RNASEH2B	847	Primary immunodeficiency or monogenic inflammatory bowel disease
RNASEH2B	1220	Unexplained death in infancy and sudden unexplained death in childhood
CYP27A1	20	Bilateral congenital or childhood onset cataracts
CYP27A1	42	Childhood onset dystonia, chorea or related movement disorder
CYP27A1	85	Childhood onset hereditary spastic paraplegia
CYP27A1	165	Childhood onset leukodystrophy
CYP27A1	192	Early onset dystonia
CYP27A1	230	Early onset or syndromic epilepsy
CYP27A1	249	Glaucoma (developmental)
CYP27A1	285	Hereditary ataxia
CYP27A1	307	Hereditary ataxia and cerebellar anomalies - childhood onset
CYP27A1	385	Hereditary neuropathy
CYP27A1	402	Hereditary spastic paraplegia
CYP27A1	486	Hypotonic infant
CYP27A1	488	Inherited white matter disorders
CYP27A1	490	Intellectual disability
CYP27A1	496	Neonatal cholestasis
CYP27A1	568	Paediatric disorders
CYP27A1	847	Retinal disorders
CYP27A1	1220	Unexplained death in infancy and sudden unexplained death in childhood
CC2D2A	101	Childhood onset dystonia, chorea or related movement disorder
CC2D2A	150	Childhood onset leukodystrophy
CC2D2A	156	Early onset or syndromic epilepsy
CC2D2A	249	Fetal anomalies
CC2D2A	285	Glaucoma (developmental)
CC2D2A	307	Hereditary ataxia and cerebellar anomalies - childhood onset
CC2D2A	385	Hypotonic infant
CC2D2A	402	Intellectual disability
CC2D2A	478	Neonatal cholestasis
CC2D2A	486	Paediatric disorders
CC2D2A	488	Rare multisystem ciliopathy disorders
CC2D2A	490	Retinal disorders
CC2D2A	496	Unexplained death in infancy and sudden unexplained death in childhood
CC2D2A	678	Unexplained kidney failure in young people
CC2D2A	847	Unexplained young onset end-stage renal disease
CC2D2A	1220	VACTERL-like phenotypes
BCS1L	42	Childhood onset dystonia, chorea or related movement disorder
BCS1L	126	Childhood onset leukodystrophy
BCS1L	180	Early onset or syndromic epilepsy
BCS1L	285	Fetal anomalies
BCS1L	385	Hypotonic infant
